country_consuming,sector_consuming,analysis_year,stressor,healthcare_supply_chain,national_supply_chain,model
DNK,health_and_eldercare,2022,PM10 - non combustion - Fertilizer production (N-fertilizer) - air,16678.290983896444,133921.77411639175,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Glass production - air,16.101624389880033,390.76370436003396,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Gold ores and concentrates - air,0.003151282360743995,0.0666351812155853,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Iron ores and concentrates - air,3131.512230601758,83209.41425386799,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Lead ores and concentrates - air,29.16608474394935,509.3627545725808,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Lime production - air,7198.420422151573,202271.3657288622,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Mining of antracite - air,207.51655309456842,2988.7641652436773,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Mining of bituminous coal - air,5194.859338491414,106835.80021703053,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Mining of coking coal - air,1178.7125885085593,24054.517065602136,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Mining of lignite (brown coal) - air,3627.3281329213073,72209.08615217009,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Mining of sub-bituminous coal - air,588.4034469199757,10407.048330787115,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Molybdenum ores and concentrates - air,0.3140518001374844,8.1384087885743,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - N- fertilizer production - air,2106.9407241393574,27794.816870909417,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Nickel ores and concentrates - air,23.388213448330518,746.1397018558848,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM10 - non combustion - Nickel, unwrought - air",23.607805501959554,750.4380219562188,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Oil refinery - air,70102.77792878193,952107.6219135162,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM10 - non combustion - Pig iron production, blast furnace - air",94080.5928700393,3130395.208586026,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Platinum ores and concentrates - air,0.002853989567113906,0.06745380993294937,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Primary aluminium production - air,13509.110132889178,414735.87225085543,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Production of coke oven coke - air,85415.72060228561,1605718.6128254274,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
