method,indicator,unit,producing_sector_group,value
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Paper Products,1268019.6143957325
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Services,3530123.598877446
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,"Steam, hot water supply and water distribution",3529127.9596135975
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Textile,18685697.77307587
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Transport,62651640.39667336
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Transport Equipment,109242.20513800622
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Waste management and disposal,9359858.723316628
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Chemical,77.31412339410785
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Coal and Petroleum,106.58862026804967
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Construction,0.8902078458010064
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,"Electrical, electronic and measuring equipment",3.6461686940157505
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Electricity,88.40976131419127
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Food and catering,118.95552672260493
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Furniture and timber,2.3313347028654112
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,General and special Machinery,0.5723703084846586
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Metal Products,14.195904691292473
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Minerals and Metals,18.523238830825832
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Natural gas and gaseous fuels,20.73744429878481
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Non-metallic mineral products,13.87244625785839
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Paper Products,4.363283404093727
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Services,32.3489614369971
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,"Steam, hot water supply and water distribution",62.858844749747576
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Textile,3.328242515360638
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Transport,152.85716182727234
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Transport Equipment,0.714855442826223
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,Waste management and disposal,33.217466687861986
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Chemical,634.4913954813369
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Coal and Petroleum,108.1056814038472
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Construction,1.203154448329526
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,"Electrical, electronic and measuring equipment",8.985780392785713
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Electricity,170.59202441240726
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Food and catering,606.2952553884212
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Furniture and timber,5.163554543882824
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,General and special Machinery,1.1871328756057244
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Metal Products,107.5580530952362
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Minerals and Metals,42.65803399484835
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Natural gas and gaseous fuels,11.516255355172822
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Non-metallic mineral products,31.619980247718708
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Paper Products,23.51122279837621
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Services,57.97798468759925
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,"Steam, hot water supply and water distribution",75.9334543347593
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Textile,104.48184767746312
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Transport,1174.5534619810435
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Transport Equipment,1.7337725542753744
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,Waste management and disposal,76.8202945476909
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Chemical,225.0367284979577
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Coal and Petroleum,180.62497422342935
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Construction,0.9374574408821628
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,"Electrical, electronic and measuring equipment",11.98871588724954
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Electricity,123.90239253701685
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Food and catering,234.76234039877463
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Furniture and timber,2.689966741968544
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,General and special Machinery,1.2474365578334825
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Metal Products,375.2985856132311
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Minerals and Metals,84.102746633931
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Natural gas and gaseous fuels,2.6106503853647394
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Non-metallic mineral products,78.42261641167364
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Paper Products,28.0589473190232
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Services,54.8238304927772
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,"Steam, hot water supply and water distribution",47.19758077870229
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Textile,2.309143921463557
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Transport,762.733847979918
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Transport Equipment,1.315970720792453
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,Waste management and disposal,24.71499045160624
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Chemical,21.481017697105187
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Coal and Petroleum,21.16942222667296
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Construction,0.03265111684637368
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,"Electrical, electronic and measuring equipment",0.738916417363755
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Electricity,5.941404478026874
