year,using_industry,product,origin,unit,value
2016,Q86,CPA_C10-12,RU,MIO_EUR,0.322
2016,Q86,CPA_C10-12,CA,MIO_EUR,0.273
2016,Q86,CPA_C10-12,HU,MIO_EUR,0.196
2016,Q86,CPA_C10-12,LT,MIO_EUR,0.188
2016,Q86,CPA_C10-12,ZA,MIO_EUR,0.152
2016,Q86,CPA_C10-12,ID,MIO_EUR,0.151
2016,Q86,CPA_C10-12,PT,MIO_EUR,0.139
2016,Q86,CPA_C10-12,TR,MIO_EUR,0.131
2016,Q86,CPA_C10-12,BR,MIO_EUR,0.13
2016,Q86,CPA_C10-12,CH,MIO_EUR,0.129
2016,Q86,CPA_C10-12,EL,MIO_EUR,0.12
2016,Q86,CPA_C10-12,CZ,MIO_EUR,0.115
2016,Q86,CPA_C10-12,LV,MIO_EUR,0.091
2016,Q86,CPA_C10-12,AU,MIO_EUR,0.083
2016,Q86,CPA_C10-12,EE,MIO_EUR,0.068
2016,Q86,CPA_C10-12,IN,MIO_EUR,0.067
2016,Q86,CPA_C10-12,RO,MIO_EUR,0.063
2016,Q86,CPA_C10-12,KR,MIO_EUR,0.035
2016,Q86,CPA_C10-12,BG,MIO_EUR,0.026
2016,Q86,CPA_C10-12,SK,MIO_EUR,0.022
2016,Q86,CPA_C10-12,SI,MIO_EUR,0.018
2016,Q86,CPA_C10-12,RS,MIO_EUR,0.016
2016,Q86,CPA_C10-12,JP,MIO_EUR,0.015
2016,Q86,CPA_C10-12,HR,MIO_EUR,0.006
2016,Q86,CPA_C10-12,CY,MIO_EUR,0.004
2016,Q86,CPA_C10-12,SA,MIO_EUR,0.003
2016,Q86,CPA_C10-12,MK,MIO_EUR,0.002
2016,Q86,CPA_C10-12,MT,MIO_EUR,0.002
2016,Q86,CPA_C10-12,AL,MIO_EUR,0.001
2016,Q86,CPA_C10-12,ME,MIO_EUR,0.0
2016,Q86,CPA_C13-15,CN,MIO_EUR,5.203
2016,Q86,CPA_C13-15,DK,MIO_EUR,4.673
2016,Q86,CPA_C13-15,WRL_REST,MIO_EUR,4.574
2016,Q86,CPA_C13-15,TR,MIO_EUR,3.434
2016,Q86,CPA_C13-15,DE,MIO_EUR,2.899
2016,Q86,CPA_C13-15,IT,MIO_EUR,2.27
2016,Q86,CPA_C13-15,SE,MIO_EUR,1.679
2016,Q86,CPA_C13-15,PT,MIO_EUR,1.242
2016,Q86,CPA_C13-15,NL,MIO_EUR,1.211
2016,Q86,CPA_C13-15,IN,MIO_EUR,1.057
2016,Q86,CPA_C13-15,PL,MIO_EUR,0.858
2016,Q86,CPA_C13-15,UK,MIO_EUR,0.856
2016,Q86,CPA_C13-15,ES,MIO_EUR,0.73
2016,Q86,CPA_C13-15,FR,MIO_EUR,0.56
2016,Q86,CPA_C13-15,LT,MIO_EUR,0.52
2016,Q86,CPA_C13-15,ID,MIO_EUR,0.405
2016,Q86,CPA_C13-15,US,MIO_EUR,0.32
2016,Q86,CPA_C13-15,BE,MIO_EUR,0.317
2016,Q86,CPA_C13-15,NO,MIO_EUR,0.292
2016,Q86,CPA_C13-15,EE,MIO_EUR,0.268
2016,Q86,CPA_C13-15,SK,MIO_EUR,0.216
2016,Q86,CPA_C13-15,FI,MIO_EUR,0.215
2016,Q86,CPA_C13-15,CZ,MIO_EUR,0.17
2016,Q86,CPA_C13-15,AT,MIO_EUR,0.159
2016,Q86,CPA_C13-15,RO,MIO_EUR,0.156
2016,Q86,CPA_C13-15,KR,MIO_EUR,0.138
2016,Q86,CPA_C13-15,LU,MIO_EUR,0.099
2016,Q86,CPA_C13-15,CH,MIO_EUR,0.097
2016,Q86,CPA_C13-15,BG,MIO_EUR,0.09
2016,Q86,CPA_C13-15,LV,MIO_EUR,0.084
2016,Q86,CPA_C13-15,AU,MIO_EUR,0.055
2016,Q86,CPA_C13-15,EL,MIO_EUR,0.054
2016,Q86,CPA_C13-15,HU,MIO_EUR,0.052
2016,Q86,CPA_C13-15,RS,MIO_EUR,0.043
2016,Q86,CPA_C13-15,BR,MIO_EUR,0.041
2016,Q86,CPA_C13-15,RU,MIO_EUR,0.038
2016,Q86,CPA_C13-15,JP,MIO_EUR,0.032
2016,Q86,CPA_C13-15,ZA,MIO_EUR,0.03
2016,Q86,CPA_C13-15,MX,MIO_EUR,0.027
2016,Q86,CPA_C13-15,CA,MIO_EUR,0.024
2016,Q86,CPA_C13-15,SI,MIO_EUR,0.018
2016,Q86,CPA_C13-15,HR,MIO_EUR,0.012
2016,Q86,CPA_C13-15,MK,MIO_EUR,0.012
2016,Q86,CPA_C13-15,IE,MIO_EUR,0.007
2016,Q86,CPA_C13-15,AR,MIO_EUR,0.005
2016,Q86,CPA_C13-15,MT,MIO_EUR,0.005
2016,Q86,CPA_C13-15,SA,MIO_EUR,0.004
2016,Q86,CPA_C13-15,CY,MIO_EUR,0.001
2016,Q86,CPA_C13-15,AL,MIO_EUR,0.0
2016,Q86,CPA_C13-15,ME,MIO_EUR,0.0
2016,Q86,CPA_C16,DK,MIO_EUR,0.078
2016,Q86,CPA_C16,SE,MIO_EUR,0.052
2016,Q86,CPA_C16,EE,MIO_EUR,0.021
2016,Q86,CPA_C16,WRL_REST,MIO_EUR,0.02
2016,Q86,CPA_C16,LV,MIO_EUR,0.019
2016,Q86,CPA_C16,PL,MIO_EUR,0.017
2016,Q86,CPA_C16,DE,MIO_EUR,0.012
2016,Q86,CPA_C16,FI,MIO_EUR,0.009
2016,Q86,CPA_C16,CN,MIO_EUR,0.007
2016,Q86,CPA_C16,LT,MIO_EUR,0.007
2016,Q86,CPA_C16,NO,MIO_EUR,0.007
2016,Q86,CPA_C16,US,MIO_EUR,0.006
2016,Q86,CPA_C16,RU,MIO_EUR,0.004
2016,Q86,CPA_C16,BR,MIO_EUR,0.003
2016,Q86,CPA_C16,PT,MIO_EUR,0.003
2016,Q86,CPA_C16,UK,MIO_EUR,0.003
2016,Q86,CPA_C16,AT,MIO_EUR,0.002
2016,Q86,CPA_C16,BE,MIO_EUR,0.002
2016,Q86,CPA_C16,ES,MIO_EUR,0.002
2016,Q86,CPA_C16,IT,MIO_EUR,0.002
2016,Q86,CPA_C16,NL,MIO_EUR,0.002
2016,Q86,CPA_C16,CA,MIO_EUR,0.001
2016,Q86,CPA_C16,CH,MIO_EUR,0.001
2016,Q86,CPA_C16,CZ,MIO_EUR,0.001
2016,Q86,CPA_C16,FR,MIO_EUR,0.001
2016,Q86,CPA_C16,HU,MIO_EUR,0.001
2016,Q86,CPA_C16,ID,MIO_EUR,0.001
2016,Q86,CPA_C16,IN,MIO_EUR,0.001
2016,Q86,CPA_C16,RO,MIO_EUR,0.001
2016,Q86,CPA_C16,SK,MIO_EUR,0.001
2016,Q86,CPA_C16,TR,MIO_EUR,0.001
2016,Q86,CPA_C16,AL,MIO_EUR,0.0
2016,Q86,CPA_C16,AR,MIO_EUR,0.0
2016,Q86,CPA_C16,AU,MIO_EUR,0.0
2016,Q86,CPA_C16,BG,MIO_EUR,0.0
2016,Q86,CPA_C16,CY,MIO_EUR,0.0
2016,Q86,CPA_C16,EL,MIO_EUR,0.0
2016,Q86,CPA_C16,HR,MIO_EUR,0.0
2016,Q86,CPA_C16,IE,MIO_EUR,0.0
2016,Q86,CPA_C16,JP,MIO_EUR,0.0
2016,Q86,CPA_C16,KR,MIO_EUR,0.0
2016,Q86,CPA_C16,LU,MIO_EUR,0.0
2016,Q86,CPA_C16,ME,MIO_EUR,0.0
2016,Q86,CPA_C16,MK,MIO_EUR,0.0
2016,Q86,CPA_C16,MT,MIO_EUR,0.0
