consuming_country_iso3,model,analysis_year,indicator,unit,scope,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWG,Production of electricity by gas,Electricity,0.00013852527212291553
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWH,Production of electricity by hydro,Electricity,2.203020925994048e-08
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWW,Production of electricity by wind,Electricity,1.4159035612320101e-06
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,3.94864815546782e-05
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWB,Production of electricity by biomass and waste,Electricity,3.4118745191115186e-06
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWZ,Production of electricity nec,Electricity,4.114731460238684e-06
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWT,Transmission of electricity,Electricity,1.3098563474839608e-06
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,POWD,Distribution and trade of electricity,Electricity,3.2125193150776585e-06
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,EST,Estonia,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.028940450314517367
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWC,Production of electricity by coal,Electricity,0.06307335556545711
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWG,Production of electricity by gas,Electricity,0.018355445790249038
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWN,Production of electricity by nuclear,Electricity,1.8890309457245145e-06
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWH,Production of electricity by hydro,Electricity,3.249650466806885e-05
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWW,Production of electricity by wind,Electricity,0.0006838311481157529
DNK,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),2022,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.012578734881729827
