exiobase_industry_code,exiobase_industry_name,industry_group_name
HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution"
WATR,"Collection, purification and distribution of water (41)","Steam, hot water supply and water distribution"
CONS,Construction (45),Construction
CONW,Re-processing of secondary construction material into aggregates,Construction
TDMO,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Services
TDFU,Retail sale of automotive fuel,Services
TDWH,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",Services
TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",Services
HORE,Hotels and restaurants (55),Food and catering
TRAI,Transport via railways,Transport
TLND,Other land transport,Transport
TPIP,Transport via pipelines,Transport
TWAS,Sea and coastal water transport,Transport
TWAI,Inland water transport,Transport
TAIR,Air transport (62),Transport
TAUX,Supporting and auxiliary transport activities; activities of travel agencies (63),Services
PTEL,Post and telecommunications (64),Services
FINT,"Financial intermediation, except insurance and pension funding (65)",Services
FINS,"Insurance and pension funding, except compulsory social security (66)",Services
FAUX,Activities auxiliary to financial intermediation (67),Services
REAL,Real estate activities (70),Services
MARE,Renting of machinery and equipment without operator and of personal and household goods (71),Services
COMP,Computer and related activities (72),Services
RESD,Research and development (73),Services
OBUS,Other business activities (74),Services
PADF,Public administration and defence; compulsory social security (75),Services
EDUC,Education (80),Services
HEAL,Health and social work (85),Services
INCF,Incineration of waste: Food,Waste management and disposal
INCP,Incineration of waste: Paper,Waste management and disposal
INCL,Incineration of waste: Plastic,Waste management and disposal
INCM,Incineration of waste: Metals and Inert materials,Waste management and disposal
INCT,Incineration of waste: Textiles,Waste management and disposal
INCW,Incineration of waste: Wood,Waste management and disposal
INCO,Incineration of waste: Oil/Hazardous waste,Waste management and disposal
BIOF,"Biogasification of food waste, incl. land application",Waste management and disposal
BIOP,"Biogasification of paper, incl. land application",Waste management and disposal
BIOS,"Biogasification of sewage slugde, incl. land application",Waste management and disposal
COMF,"Composting of food waste, incl. land application",Waste management and disposal
COMW,"Composting of paper and wood, incl. land application",Waste management and disposal
WASF,"Waste water treatment, food",Waste management and disposal
WASO,"Waste water treatment, other",Waste management and disposal
LANF,Landfill of waste: Food,Waste management and disposal
LANP,Landfill of waste: Paper,Waste management and disposal
LANL,Landfill of waste: Plastic,Waste management and disposal
LANI,Landfill of waste: Inert/metal/hazardous,Waste management and disposal
LANT,Landfill of waste: Textiles,Waste management and disposal
LANW,Landfill of waste: Wood,Waste management and disposal
ORGA,Activities of membership organisation n.e.c. (91),Services
RECR,"Recreational, cultural and sporting activities (92)",Services
OSER,Other service activities (93),Services
PRHH,Private households with employed persons (95),Services
EXTO,Extra-territorial organizations and bodies,Services
