exiobase_industry_code,exiobase_industry_name,isic_rev3_division,isic_rev3_description,technology_group,isic_multi_division
FURN,Manufacture of furniture; manufacturing n.e.c. (36),36,Manufacture of furniture; manufacturing n.e.c.,Low tech,
FVEG,"Cultivation of vegetables, fruit, nuts",01,"Agriculture, hunting and related service activities",,
GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),18,Manufacture of wearing apparel; dressing and dyeing of fur,Low tech,
GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",11,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying",,
GLAS,Manufacture of glass and glass products,26,Manufacture of other non-metallic mineral products,Mid tech,
HEAL,Health and social work (85),85,Health and social work,,
HORE,Hotels and restaurants (55),55,Hotels and restaurants,,
HWAT,Steam and hot water supply,40,"Electricity, gas, steam and hot water supply",,
INCF,Incineration of waste: Food,90,"Sewage and refuse disposal, sanitation and similar activities",,
INCL,Incineration of waste: Plastic,90,"Sewage and refuse disposal, sanitation and similar activities",,
INCM,Incineration of waste: Metals and Inert materials,90,"Sewage and refuse disposal, sanitation and similar activities",,
INCO,Incineration of waste: Oil/Hazardous waste,90,"Sewage and refuse disposal, sanitation and similar activities",,
INCP,Incineration of waste: Paper,90,"Sewage and refuse disposal, sanitation and similar activities",,
INCT,Incineration of waste: Textiles,90,"Sewage and refuse disposal, sanitation and similar activities",,
INCW,Incineration of waste: Wood,90,"Sewage and refuse disposal, sanitation and similar activities",,
IRON,Mining of iron ores,13,Mining of metal ores,,
LANF,Landfill of waste: Food,90,"Sewage and refuse disposal, sanitation and similar activities",,
LANP,Landfill of waste: Paper,90,"Sewage and refuse disposal, sanitation and similar activities",,
LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",19,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",Low tech,
LZTO,"Mining of lead, zinc and tin ores and concentrates",13,Mining of metal ores,,
LZTP,"Lead, zinc and tin production",27,Manufacture of basic metals,Mid tech,
LZTW,Re-processing of secondary lead into new lead,27,Manufacture of basic metals,Mid tech,
MACH,Manufacture of machinery and equipment n.e.c. (29),29,Manufacture of machinery and equipment n.e.c.,High tech,
MANB,"Manure treatment (biogas), storage and land application",01,"Agriculture, hunting and related service activities",,
MANC,"Manure treatment (conventional), storage and land application",01,"Agriculture, hunting and related service activities",,
MARE,Renting of machinery and equipment without operator and of personal and household goods (71),71,Renting of machinery and equipment without operator and of personal and household goods,,
