exiobase_position,exiobase_code,exiobase_name,exiobase_code1,isic_rev3_division,isic_rev3_division_bronze_csv,nace_rev2_candidates_developer,dst_nace_prefix,dst_industry_code,dst_industry_name,mapping_type,confidence,basis,mapping_group,dst_output_share,dst_import_share,mapping_group_label,mapping_group_type
10,PLTR,Poultry farming,i01.k,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
11,OMEA,Meat animals nec,i01.l,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
12,OANP,Animal products nec,i01.m,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
13,MILK,Raw milk,i01.n,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
14,WOOL,"Wool, silk-worm cocoons",i01.o,01,01,01,01,010000,Agriculture and horticulture,many-to-one,high,"ISIC rev.3 01 = NACE rev.2 01, developer table 01; DST has a single NACE 01 industry so all fifteen crop and livestock activities collapse",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
15,MANC,"Manure treatment (conventional), storage and land application",i01.w.1,01,01,01,01,010000,Agriculture and horticulture,many-to-one,medium,"EXIOBASE hybrid manure-treatment activity, developer table 01; DST has no manure industry, the activity sits inside 010000",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
16,MANB,"Manure treatment (biogas), storage and land application",i01.w.2,01,01,01,01,010000,Agriculture and horticulture,many-to-one,medium,"EXIOBASE hybrid manure-treatment activity, developer table 01; DST has no manure industry, the activity sits inside 010000",0,1.000000,1.000000,NACE 01 (PARI),many-to-one
17,FORE,"Forestry, logging and related service activities (02)",i02,02,02,02,02,020000,Forestry,one-to-one,high,ISIC rev.3 02 = NACE rev.2 02,1,1.000000,1.000000,NACE 02 (FORE),one-to-one
18,FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",i05,05,05,03,03,030000,Fishing,one-to-one,high,ISIC rev.3 05 -> NACE rev.2 03,2,1.000000,1.000000,NACE 03 (FISH),one-to-one
19,COAL,Mining of coal and lignite; extraction of peat (10),i10,10,10,05 08 09,08,080090,Extraction of gravel and stone,many-to-one,medium,"developer table 05 08 09; NACE rev.2 05 coal and lignite has no DST 117 industry, only the peat component NACE 08.92 does, so the match covers part of the industry",3,1.000000,1.000000,NACE 08 (STON),many-to-one
20,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",i11.a,11,11,06 09,06;09,060000;090000,Extraction of oil and gas;Mining support service activities,one-to-many,high,developer table 06 09; ISIC rev.3 11 bundles extraction with the incidental services NACE rev.2 moved to 09.1 = DST 090000,4,0.860997;0.139003,0.994294;0.005706,NACE 06;09 (COIL),many-to-many
21,GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",i11.b,11,11,06 09,06;09,060000;090000,Extraction of oil and gas;Mining support service activities,one-to-many,high,developer table 06 09; ISIC rev.3 11 bundles extraction with the incidental services NACE rev.2 moved to 09.1 = DST 090000,4,0.860997;0.139003,0.994294;0.005706,NACE 06;09 (COIL),many-to-many
22,OGPL,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",i11.c,11,11,06 09,06;09,060000;090000,Extraction of oil and gas;Mining support service activities,one-to-many,high,developer table 06 09; ISIC rev.3 11 bundles extraction with the incidental services NACE rev.2 moved to 09.1 = DST 090000,4,0.860997;0.139003,0.994294;0.005706,NACE 06;09 (COIL),many-to-many
23,ORAN,Mining of uranium and thorium ores (12),i12,12,12,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
24,IRON,Mining of iron ores,i13.1,13,13,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
25,COPO,Mining of copper ores and concentrates,i13.20.11,13,13,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
26,NIKO,Mining of nickel ores and concentrates,i13.20.12,13,13,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
27,ALUO,Mining of aluminium ores and concentrates,i13.20.13,13,13,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
28,PREO,Mining of precious metal ores and concentrates,i13.20.14,13,13,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
29,LZTO,"Mining of lead, zinc and tin ores and concentrates",i13.20.15,13,13,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
30,ONFO,Mining of other non-ferrous metal ores and concentrates,i13.20.16,13,13,07 09,,,,unmatched,high,"developer table 07 09; NACE rev.2 division 07 mining of metal ores has no industry in the DST 117 grouping, Denmark mines no metal ore",-1,,,unmatched,unmatched
31,STON,Quarrying of stone,i14.1,14,14,08 09,08,080090,Extraction of gravel and stone,many-to-one,high,developer table 08 09; the DST name 'Extraction of gravel and stone' is NACE rev.2 08,3,1.000000,1.000000,NACE 08 (STON),many-to-one
32,SDCL,Quarrying of sand and clay,i14.2,14,14,08 09,08,080090,Extraction of gravel and stone,many-to-one,high,developer table 08 09; the DST name 'Extraction of gravel and stone' is NACE rev.2 08,3,1.000000,1.000000,NACE 08 (STON),many-to-one
33,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",i14.3,14,14,08 09,08,080090,Extraction of gravel and stone,many-to-one,high,developer table 08 09; the DST name 'Extraction of gravel and stone' is NACE rev.2 08,3,1.000000,1.000000,NACE 08 (STON),many-to-one
34,PCAT,Processing of meat cattle,i15.a,15,,10,10,100010,Production of meat and meat products,many-to-one,high,"NACE rev.2 10.1, DST 'Production of meat and meat products'",5,1.000000,1.000000,NACE 10 (PCAT),many-to-one
35,PPIG,Processing of meat pigs,i15.b,15,,10,10,100010,Production of meat and meat products,many-to-one,high,"NACE rev.2 10.1, DST 'Production of meat and meat products'",5,1.000000,1.000000,NACE 10 (PCAT),many-to-one
36,PPLT,Processing of meat poultry,i15.c,15,,10,10,100010,Production of meat and meat products,many-to-one,high,"NACE rev.2 10.1, DST 'Production of meat and meat products'",5,1.000000,1.000000,NACE 10 (PCAT),many-to-one
37,POME,Production of meat products nec,i15.d,15,,10,10,100010,Production of meat and meat products,many-to-one,high,"NACE rev.2 10.1, DST 'Production of meat and meat products'",5,1.000000,1.000000,NACE 10 (PCAT),many-to-one
38,VOIL,Processing vegetable oils and fats,i15.e,15,,10,10,100050,Other manufacture of food products,many-to-one,high,"NACE rev.2 10.4 oils and fats, DST other manufacture of food products",6,1.000000,1.000000,NACE 10 (VOIL),many-to-many
39,DAIR,Processing of dairy products,i15.f,15,,10,10,100030,Manufacture of dairy products,one-to-one,high,"NACE rev.2 10.5, DST dairy products",7,1.000000,1.000000,NACE 10 (DAIR),one-to-one
40,RICE,Processed rice,i15.g,15,,10,10,100040,Manufacture of grain mill and bakery products,many-to-one,high,"NACE rev.2 10.61 grain milling, DST 'grain mill and bakery products'",6,1.000000,1.000000,NACE 10 (VOIL),many-to-many
41,SUGR,Sugar refining,i15.h,15,,10,10,100050,Other manufacture of food products,many-to-one,high,"NACE rev.2 10.81 sugar, DST 'Other manufacture of food products'",6,1.000000,1.000000,NACE 10 (VOIL),many-to-many
42,OFOD,Processing of Food products nec,i15.i,15,,10,10,100040;100050,Manufacture of grain mill and bakery products;Other manufacture of food products,one-to-many,medium,"residual food industry: NACE rev.2 10.3 and 10.6-10.9 straddle the DST grain-mill/bakery and other-food split, so a weight is needed",6,0.266923;0.733077,0.173071;0.826929,NACE 10 (VOIL),many-to-many
43,BEVR,Manufacture of beverages,i15.j,15,,11,11,110000,Manufacture of beverages,one-to-one,high,"developer table 11, ISIC rev.3 15.5",8,1.000000,1.000000,NACE 11 (BEVR),one-to-one
44,FSHP,Manufacture of fish products,i15.k,15,,10,10,100020,Processing and preserving of fish,one-to-one,high,"NACE rev.2 10.2, DST 'Processing and preserving of fish'",9,1.000000,1.000000,NACE 10 (FSHP),one-to-one
45,TOBC,Manufacture of tobacco products (16),i16,16,16,12,12,120000,Manufacture of tobacco products,one-to-one,high,ISIC rev.3 16 = NACE rev.2 12,10,1.000000,1.000000,NACE 12 (TOBC),one-to-one
46,TEXT,Manufacture of textiles (17),i17,17,17,13 14,13,130000,Manufacture of textiles,one-to-one,high,"ISIC rev.3 17 -> NACE rev.2 13; the developer table also lists 14 for knitted apparel NACE 14.3, which GARM covers",11,1.000000,1.000000,NACE 13 (TEXT),one-to-one
47,GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),i18,18,18,14,14,140000,Manufacture of wearing apparel,one-to-one,high,ISIC rev.3 18 -> NACE rev.2 14,12,1.000000,1.000000,NACE 14 (GARM),one-to-one
48,LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",i19,19,19,15,15,150000,Manufacture of leather and footwear,one-to-one,high,ISIC rev.3 19 -> NACE rev.2 15,13,1.000000,1.000000,NACE 15 (LETH),one-to-one
49,WOOD,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",i20,20,20,16,16,160000,Manufacture of wood and wood products,many-to-one,high,ISIC rev.3 20 -> NACE rev.2 16,14,1.000000,1.000000,NACE 16 (WOOD),many-to-one
50,WOOW,Re-processing of secondary wood material into new wood material,i20.w,20,20,16,16,160000,Manufacture of wood and wood products,many-to-one,medium,"EXIOBASE hybrid wood re-processing, developer table 16; NACE rev.2 would place materials recovery in 38.32, DST separates neither",14,1.000000,1.000000,NACE 16 (WOOD),many-to-one
51,PULP,Pulp,i21.1,21,21,17,17,170000,Manufacture of paper and paper products,many-to-one,high,ISIC rev.3 21 -> NACE rev.2 17,15,1.000000,1.000000,NACE 17 (PULP),many-to-one
52,PAPR,Re-processing of secondary paper into new pulp,i21.w.1,21,21,17,17,170000,Manufacture of paper and paper products,many-to-one,medium,"EXIOBASE hybrid paper re-processing, developer table 17",15,1.000000,1.000000,NACE 17 (PULP),many-to-one
53,PAPE,Paper,i21.2,21,21,17,17,170000,Manufacture of paper and paper products,many-to-one,high,ISIC rev.3 21 -> NACE rev.2 17,15,1.000000,1.000000,NACE 17 (PULP),many-to-one
54,MDIA,"Publishing, printing and reproduction of recorded media (22)",i22,22,22,18 58 59,18;58;59,180000;580010;590000,"Printing etc.;Publishing;Motion picture and television programme production, and sound recording activities",one-to-many,medium,"ISIC rev.3 22 splits in NACE rev.2 into 18 printing, 58.1 book and news publishing and 59.2 sound recording, developer table 18 58 59; software publishing NACE 58.2 came from ISIC 72 and is left to COMP",16,0.178529;0.369456;0.452015,0.488760;0.248758;0.262483,NACE 18;58;59;60;90;91;92;93 (RECR),many-to-many
55,COKE,Manufacture of coke oven products,i23.1,23,23,19,19,190000,Oil refinery etc.,many-to-one,high,"ISIC rev.3 23.1 and 23.2 -> NACE rev.2 19, DST 'Oil refinery etc.'",17,1.000000,1.000000,NACE 19 (COKE),many-to-one
56,REFN,Petroleum Refinery,i23.2,23,23,19,19,190000,Oil refinery etc.,many-to-one,high,"ISIC rev.3 23.1 and 23.2 -> NACE rev.2 19, DST 'Oil refinery etc.'",17,1.000000,1.000000,NACE 19 (COKE),many-to-one
57,NUCF,Processing of nuclear fuel,i23.3,23,23,24,24,240000,Manufacture of basic metals,many-to-one,low,"developer table 24: NACE rev.2 places processing of nuclear fuel in 24.46; there is no Danish activity, so the assignment rests on the classification alone",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
58,PLAS,"Plastics, basic",i24.a,24,,20,20,200010,Manufacture of basic chemicals,many-to-one,high,"developer table 20, NACE rev.2 20.15-20.16, DST 'basic chemicals'",19,1.000000,1.000000,NACE 20;21 (PLAS),many-to-many
59,PLAW,Re-processing of secondary plastic into new plastic,i24.a.w,24,,20,20,200010,Manufacture of basic chemicals,many-to-one,medium,"EXIOBASE hybrid plastic re-processing, developer table 20",19,1.000000,1.000000,NACE 20;21 (PLAS),many-to-many
60,NFER,N-fertiliser,i24.b,24,,20,20,200010,Manufacture of basic chemicals,many-to-one,high,"developer table 20, NACE rev.2 20.15-20.16, DST 'basic chemicals'",19,1.000000,1.000000,NACE 20;21 (PLAS),many-to-many
61,PFER,P- and other fertiliser,i24.c,24,,20,20,200010,Manufacture of basic chemicals,many-to-one,high,"developer table 20, NACE rev.2 20.15-20.16, DST 'basic chemicals'",19,1.000000,1.000000,NACE 20;21 (PLAS),many-to-many
62,CHEM,Chemicals nec,i24.d,24,,20 21,20;21,200010;200020;210000,Manufacture of basic chemicals;Manufacture of paints and soap etc.;Pharmaceuticals,one-to-many,high,"developer table 20 21: the EXIOBASE residual chemical industry is the only source for DST pharmaceuticals 210000 and paints and soap 200020, which is the pharma-proxy problem this study documents",19,0.085290;0.144093;0.770618,0.185724;0.312977;0.501298,NACE 20;21 (PLAS),many-to-many
63,RUBP,Manufacture of rubber and plastic products (25),i25,25,25,22,22,220000,Manufacture of rubber and plastic products,one-to-one,high,ISIC rev.3 25 -> NACE rev.2 22,20,1.000000,1.000000,NACE 22 (RUBP),one-to-one
64,GLAS,Manufacture of glass and glass products,i26.a,26,26,23,23,230010,Manufacture of glass and ceramic products,many-to-one,high,"NACE rev.2 23.1 glass and 23.2/23.4 ceramics, DST 'glass and ceramic products'",21,1.000000,1.000000,NACE 23 (GLAS),many-to-one
65,GLAW,Re-processing of secondary glass into new glass,i26.a.w,26,,,23,230010,Manufacture of glass and ceramic products,many-to-one,medium,"no developer-table entry; assigned by analogy with GLAS, the industry whose material it re-supplies",21,1.000000,1.000000,NACE 23 (GLAS),many-to-one
66,CRMC,Manufacture of ceramic goods,i26.b,26,26,23,23,230010,Manufacture of glass and ceramic products,many-to-one,high,"NACE rev.2 23.1 glass and 23.2/23.4 ceramics, DST 'glass and ceramic products'",21,1.000000,1.000000,NACE 23 (GLAS),many-to-one
67,BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",i26.c,26,26,23,23,230020,Manufacture of concrete and bricks,many-to-one,high,"NACE rev.2 23.3 clay building materials, 23.5 cement, lime and plaster and 23.6-23.9, DST 'Manufacture of concrete and bricks'",22,1.000000,1.000000,NACE 23 (BRIK),many-to-one
68,CMNT,"Manufacture of cement, lime and plaster",i26.d,26,26,23,23,230020,Manufacture of concrete and bricks,many-to-one,high,"NACE rev.2 23.3 clay building materials, 23.5 cement, lime and plaster and 23.6-23.9, DST 'Manufacture of concrete and bricks'",22,1.000000,1.000000,NACE 23 (BRIK),many-to-one
69,ASHW,Re-processing of ash into clinker,i26.d.w,26,26,,23,230020,Manufacture of concrete and bricks,many-to-one,medium,"no developer-table entry; assigned by analogy with CMNT, since clinker is NACE rev.2 23.5",22,1.000000,1.000000,NACE 23 (BRIK),many-to-one
70,ONMM,Manufacture of other non-metallic mineral products n.e.c.,i26.e,26,26,23,23,230020,Manufacture of concrete and bricks,many-to-one,high,"NACE rev.2 23.3 clay building materials, 23.5 cement, lime and plaster and 23.6-23.9, DST 'Manufacture of concrete and bricks'",22,1.000000,1.000000,NACE 23 (BRIK),many-to-one
71,STEL,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,i27.a,27,27,24,24,240000,Manufacture of basic metals,many-to-one,high,"ISIC rev.3 27 -> NACE rev.2 24, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
72,STEW,Re-processing of secondary steel into new steel,i27.a.w,27,27,24,24,240000,Manufacture of basic metals,many-to-one,medium,"EXIOBASE hybrid secondary-metal activities, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
73,PREM,Precious metals production,i27.41,27,27,24,24,240000,Manufacture of basic metals,many-to-one,high,"ISIC rev.3 27 -> NACE rev.2 24, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
74,PREW,Re-processing of secondary preciuos metals into new preciuos metals,i27.41.w,27,27,24,24,240000,Manufacture of basic metals,many-to-one,medium,"EXIOBASE hybrid secondary-metal activities, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
75,ALUM,Aluminium production,i27.42,27,27,24,24,240000,Manufacture of basic metals,many-to-one,high,"ISIC rev.3 27 -> NACE rev.2 24, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
76,ALUW,Re-processing of secondary aluminium into new aluminium,i27.42.w,27,27,24,24,240000,Manufacture of basic metals,many-to-one,medium,"EXIOBASE hybrid secondary-metal activities, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
77,LZTP,"Lead, zinc and tin production",i27.43,27,27,24,24,240000,Manufacture of basic metals,many-to-one,high,"ISIC rev.3 27 -> NACE rev.2 24, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
78,LZTW,"Re-processing of secondary lead into new lead, zinc and tin",i27.43.w,27,27,24,24,240000,Manufacture of basic metals,many-to-one,medium,"EXIOBASE hybrid secondary-metal activities, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
79,COPP,Copper production,i27.44,27,27,24,24,240000,Manufacture of basic metals,many-to-one,high,"ISIC rev.3 27 -> NACE rev.2 24, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
80,COPW,Re-processing of secondary copper into new copper,i27.44.w,27,27,24,24,240000,Manufacture of basic metals,many-to-one,medium,"EXIOBASE hybrid secondary-metal activities, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
81,ONFM,Other non-ferrous metal production,i27.45,27,27,24,24,240000,Manufacture of basic metals,many-to-one,high,"ISIC rev.3 27 -> NACE rev.2 24, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
82,ONFW,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,i27.45.w,27,27,24,24,240000,Manufacture of basic metals,many-to-one,medium,"EXIOBASE hybrid secondary-metal activities, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
83,METC,Casting of metals,i27.5,27,27,24,24,240000,Manufacture of basic metals,many-to-one,high,"ISIC rev.3 27 -> NACE rev.2 24, developer table 24",18,1.000000,1.000000,NACE 24 (STEL),many-to-one
84,FABM,"Manufacture of fabricated metal products, except machinery and equipment (28)",i28,28,28,25 33,25,250000,Manufacture of fabricated metal products,one-to-one,high,"ISIC rev.3 28 -> NACE rev.2 25; the developer table also lists 33, the repair and installation division NACE rev.2 created, which no EXIOBASE industry can supply on its own",23,1.000000,1.000000,NACE 25 (FABM),one-to-one
85,MACH,Manufacture of machinery and equipment n.e.c. (29),i29,29,29,25 27 28 33 95,28,280010;280020,"Manufacture of engines, windmills and pumps;Manufacture of other machinery",one-to-many,high,"ISIC rev.3 29 -> NACE rev.2 28, which DST splits into engines, windmills and pumps and other machinery; agrees with the seed group",24,0.579968;0.420032,0.428786;0.571214,NACE 28 (MACH),one-to-many
86,OFMA,Manufacture of office machinery and computers (30),i30,30,30,26 28 33,26,260010,Manufacture of computers and communication equipment etc.,many-to-one,high,"ISIC rev.3 30 -> NACE rev.2 26.2 computers, DST 'computers and communication equipment etc.'",25,1.000000,1.000000,NACE 26;32 (OFMA),many-to-many
87,ELMA,Manufacture of electrical machinery and apparatus n.e.c. (31),i31,31,31,26 27 28 29 33,27,270010;270020;270030,"Manufacture of electric motors, etc.;Manufacture of wires and cables;Manufacture of household appliances, lamps, etc.",one-to-many,high,"ISIC rev.3 31 -> NACE rev.2 27, which DST splits three ways; agrees with the seed group",26,0.440128;0.131552;0.428320,0.268627;0.241494;0.489879,NACE 27 (ELMA),one-to-many
88,RATV,"Manufacture of radio, television and communication equipment and apparatus (32)",i32,32,32,26 27 28 33 95,26,260010;260020,Manufacture of computers and communication equipment etc.;Manufacture of other electronic products,one-to-many,high,"ISIC rev.3 32 -> NACE rev.2 26.1 components, 26.3 communication equipment and 26.4 consumer electronics, straddling the DST split",25,0.208151;0.791849,0.722992;0.277008,NACE 26;32 (OFMA),many-to-many
89,MEIN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",i33,33,33,26 28 32 33,26;32,260020;320010,"Manufacture of other electronic products;Manufacture of medical instruments, etc.",one-to-many,high,ISIC rev.3 33 -> NACE rev.2 26.5-26.7 instruments = DST 260020 and 32.5 medical and dental instruments = DST 320010; the seed group names 26 only,25,0.755555;0.244445,0.680598;0.319402,NACE 26;32 (OFMA),many-to-many
90,MOTO,"Manufacture of motor vehicles, trailers and semi-trailers (34)",i34,34,34,29 30,29,290000,Manufacture of motor vehicles and related parts,one-to-one,high,ISIC rev.3 34 -> NACE rev.2 29,27,1.000000,1.000000,NACE 29 (MOTO),one-to-one
91,OTRE,Manufacture of other transport equipment (35),i35,35,35,28 30 33,30,300000,Manufacture of ships and other transport equipment,one-to-one,high,"ISIC rev.3 35 -> NACE rev.2 30, DST 'ships and other transport equipment'",28,1.000000,1.000000,NACE 30 (OTRE),one-to-one
92,FURN,Manufacture of furniture; manufacturing n.e.c. (36),i36,36,36,26 31 32 33 95,31;32,310000;320020,Manufacture of furniture;Manufacture of toys and other manufacturing,one-to-many,high,"ISIC rev.3 36 -> NACE rev.2 31 furniture and 32.1-32.9 other manufacturing, which DST separates",29,0.369020;0.630980,0.503767;0.496233,NACE 31;32 (FURN),one-to-many
93,RYMS,Recycling of waste and scrap,i37,37,37,38,38,383900,Waste management and materials recovery,many-to-one,high,"ISIC rev.3 37 -> NACE rev.2 38.3, developer table 38; DST 383900 spans NACE 38 and 39",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
94,BOTW,Recycling of bottles by direct reuse,i37.w.1,37,37,38,38,383900,Waste management and materials recovery,many-to-one,high,"ISIC rev.3 37 -> NACE rev.2 38.3, developer table 38; DST 383900 spans NACE 38 and 39",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
95,POWC,Production of electricity by coal,i40.11.a,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
96,POWG,Production of electricity by gas,i40.11.b,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
97,POWN,Production of electricity by nuclear,i40.11.c,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
98,POWH,Production of electricity by hydro,i40.11.d,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
99,POWW,Production of electricity by wind,i40.11.e,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
100,POWP,Production of electricity by petroleum and other oil derivatives,i40.11.f,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
