producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
SVN,Slovenia,Europe,Scope 3,climate_change,kt CO2eq,5.566718088593914,0.10595078328733766
MLT,Malta,Europe,Scope 3,climate_change,kt CO2eq,1.6845873483058955,0.032062580901062204
DNK,Denmark,Denmark,Outside protocol,land_use,km2,0.9870380080591756,100.0
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,land_use,km2,0.07258566815210335,62.17264545682724
RoW Europe,RoW Europe,Europe,Scope 2,land_use,km2,0.0205545589921082,17.60583516376645
RoW Africa,RoW Africa,Africa,Scope 2,land_use,km2,0.011051031931708859,9.465668743069935
CAN,Canada,America,Scope 2,land_use,km2,0.004952670324767304,4.242168240720179
RoW America,RoW America,America,Scope 2,land_use,km2,0.0047960589263491,4.108024060522662
RUS,Russia,Europe,Scope 2,land_use,km2,0.002488256297575838,2.1312950687554886
CZE,Czech Republic,Europe,Scope 2,land_use,km2,0.00016018888181194984,0.13720844360280732
RoW Middle East,RoW Middle East,Middle East,Scope 2,land_use,km2,9.069020525940154e-05,0.07767993491751407
BGR,Bulgaria,Europe,Scope 2,land_use,km2,3.678322050248786e-05,0.03150635911030334
LUX,Luxembourg,Europe,Scope 2,land_use,km2,1.8762619421906837e-05,0.0160709643495345
SVK,Slovakia,Europe,Scope 2,land_use,km2,1.0915179279903856e-05,0.00934930529323101
POL,Poland,Europe,Scope 2,land_use,km2,1.6814931261746726e-06,0.0014402688386456715
HUN,Hungary,Europe,Scope 2,land_use,km2,1.293562631441423e-06,0.0011079902260082398
RoW Africa,RoW Africa,Africa,Scope 3,land_use,km2,743.187073401758,14.580723262612569
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,land_use,km2,667.7402034933401,13.100517308370563
DNK,Denmark,Denmark,Scope 3,land_use,km2,454.72373214111553,8.92130815589114
AUS,Australia,Asia and Pacific,Scope 3,land_use,km2,352.9401207058943,6.924396847661248
RoW America,RoW America,America,Scope 3,land_use,km2,306.39594881479866,6.011238217593596
SWE,Sweden,Europe,Scope 3,land_use,km2,290.7774276474734,5.704815591228945
RUS,Russia,Europe,Scope 3,land_use,km2,238.1459395533996,4.672228790053073
CHN,China,Asia and Pacific,Scope 3,land_use,km2,233.4762141328585,4.580612592051081
NOR,Norway,Europe,Scope 3,land_use,km2,193.5503128309202,3.797299024406124
RoW Europe,RoW Europe,Europe,Scope 3,land_use,km2,155.34682789932666,3.0477778588868354
USA,United States,America,Scope 3,land_use,km2,153.91589839810146,3.0197041910145286
BRA,Brazil,America,Scope 3,land_use,km2,144.83276176746492,2.841500470433646
CAN,Canada,America,Scope 3,land_use,km2,133.97034646424987,2.628388755808697
RoW Middle East,RoW Middle East,Middle East,Scope 3,land_use,km2,98.12813993159557,1.9251939435228242
IND,India,Asia and Pacific,Scope 3,land_use,km2,87.11737437318706,1.7091717180799018
FIN,Finland,Europe,Scope 3,land_use,km2,81.28181480232439,1.5946828064310818
DEU,Germany,Europe,Scope 3,land_use,km2,73.83633328254453,1.448608541307098
POL,Poland,Europe,Scope 3,land_use,km2,71.52339868283391,1.4032306539219777
LVA,Latvia,Europe,Scope 3,land_use,km2,70.49450000894923,1.3830445024587759
EST,Estonia,Europe,Scope 3,land_use,km2,53.49527938436784,1.0495336806510254
IRL,Ireland,Europe,Scope 3,land_use,km2,43.90333128176397,0.8613474946437191
FRA,France,Europe,Scope 3,land_use,km2,40.11649128400857,0.7870527873981648
IDN,Indonesia,Asia and Pacific,Scope 3,land_use,km2,39.10067990644765,0.7671233979976818
ESP,Spain,Europe,Scope 3,land_use,km2,38.12899960079221,0.748059824176836
MEX,Mexico,America,Scope 3,land_use,km2,32.579185417941304,0.63917700361232
LTU,Lithuania,Europe,Scope 3,land_use,km2,29.722608894785427,0.58313330579615
GRC,Greece,Europe,Scope 3,land_use,km2,25.926799402551893,0.5086626243962115
ZAF,South Africa,Africa,Scope 3,land_use,km2,25.544334622772627,0.5011589778565428
