producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Africa,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,36.83141295936203,0.7410532426313704
Middle East,Chemical,Scope 3,climate_change,kt CO2eq,35.98267017721158,0.7239764177056873
Europe,Metal Products,Scope 3,climate_change,kt CO2eq,35.58426973564208,0.7159605444233728
Asia and Pacific,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,33.98715913160612,0.6838264529817096
Middle East,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,33.555776573209606,0.6751469748398563
Middle East,Minerals and Metals,Scope 3,climate_change,kt CO2eq,27.910738925376428,0.5615680182486834
Asia and Pacific,Services,Scope 3,climate_change,kt CO2eq,25.299215770995833,0.5090238026929041
Europe,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,22.88574661144197,0.46046446154974585
Asia and Pacific,Minerals and Metals,Scope 3,climate_change,kt CO2eq,22.627572219514093,0.4552699562367505
America,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,22.137324219174292,0.44540609706995166
Denmark,Minerals and Metals,Scope 3,climate_change,kt CO2eq,20.86356570693109,0.4197778954891811
Middle East,Food and catering,Scope 3,climate_change,kt CO2eq,20.54183428578886,0.4133046137512008
America,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,18.723175246535927,0.37671293643037007
Europe,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,18.334201465906425,0.368886728900615
America,Minerals and Metals,Scope 3,climate_change,kt CO2eq,17.533772329787453,0.35278198137240985
Asia and Pacific,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,14.110796103906058,0.28391121514798434
Europe,Minerals and Metals,Scope 3,climate_change,kt CO2eq,13.821102015726112,0.2780825290844398
Denmark,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,13.622532104365625,0.27408727435812585
Denmark,Operational impact,Scope 3,climate_change,kt CO2eq,12.8,0.2575378119798813
Africa,Transport,Scope 3,climate_change,kt CO2eq,12.79512495243608,0.2574397253327789
America,Waste management and disposal,Scope 3,climate_change,kt CO2eq,12.163824013704879,0.24473786107796033
Asia and Pacific,Waste management and disposal,Scope 3,climate_change,kt CO2eq,10.180480889132395,0.20483271664766825
Europe,Paper Products,Scope 3,climate_change,kt CO2eq,9.56956828804269,0.1925410686323885
Asia and Pacific,Textile,Scope 3,climate_change,kt CO2eq,8.480028128432133,0.17061936638470776
America,Services,Scope 3,climate_change,kt CO2eq,7.060016872089521,0.14204853888898286
Middle East,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,6.63060162362502,0.13340864330145594
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,6.590924631729486,0.13261033660780597
America,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,6.556108043235763,0.1319098219186437
Middle East,Textile,Scope 3,climate_change,kt CO2eq,6.033672130244078,0.12139833739273821
Africa,Minerals and Metals,Scope 3,climate_change,kt CO2eq,5.766831860204785,0.11602947338539132
America,Metal Products,Scope 3,climate_change,kt CO2eq,5.588064276369033,0.11243264429211089
Denmark,Metal Products,Scope 3,climate_change,kt CO2eq,5.443979849157406,0.1095336452198877
Asia and Pacific,Furniture and timber,Scope 3,climate_change,kt CO2eq,4.752082227155592,0.0956125671195416
Africa,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,4.693494548121389,0.09443377472364721
Middle East,Waste management and disposal,Scope 3,climate_change,kt CO2eq,4.549955952873761,0.09154575786780815
Asia and Pacific,Paper Products,Scope 3,climate_change,kt CO2eq,4.4412700439395385,0.08935898199437343
Middle East,Furniture and timber,Scope 3,climate_change,kt CO2eq,3.8081672967728277,0.07662086509876666
Africa,Chemical,Scope 3,climate_change,kt CO2eq,3.3893856535008617,0.06819491915301655
Denmark,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,3.0314284159996308,0.060992768861732986
Denmark,Paper Products,Scope 3,climate_change,kt CO2eq,2.9362555270263764,0.05907787686282861
America,Paper Products,Scope 3,climate_change,kt CO2eq,2.6530105265540014,0.05337894735689924
Africa,Services,Scope 3,climate_change,kt CO2eq,2.4290374466120683,0.048872577282630454
Denmark,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,2.422689836084199,0.04874486246023608
Europe,Textile,Scope 3,climate_change,kt CO2eq,2.15198601243449,0.04329826320731939
Europe,Furniture and timber,Scope 3,climate_change,kt CO2eq,2.1087299154329617,0.0424279444122754
Africa,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,2.086482986745254,0.04198033305778284
Africa,Waste management and disposal,Scope 3,climate_change,kt CO2eq,2.080326150384262,0.0418564566386322
America,Textile,Scope 3,climate_change,kt CO2eq,2.063554969573377,0.04151901810657328
Denmark,Electricity,Scope 3,climate_change,kt CO2eq,1.7486213124224825,0.03518250834239645
Asia and Pacific,General and special Machinery,Scope 3,climate_change,kt CO2eq,1.6822572481789884,0.03384725397525881
Europe,Construction,Scope 3,climate_change,kt CO2eq,1.6800665623090605,0.03380317706544034
Europe,Transport Equipment,Scope 3,climate_change,kt CO2eq,1.6177027347724267,0.03254840802712195
Denmark,Construction,Scope 3,climate_change,kt CO2eq,1.6127111278926036,0.03244797619008341
Middle East,Metal Products,Scope 3,climate_change,kt CO2eq,1.5853012386773215,0.031896485338902575
Africa,Paper Products,Scope 3,climate_change,kt CO2eq,1.3930949367931782,0.028029267336091106
Asia and Pacific,Transport Equipment,Scope 3,climate_change,kt CO2eq,1.2929045331794498,0.026013422232336353
Africa,Metal Products,Scope 3,climate_change,kt CO2eq,1.2611297673142063,0.025374109445062305
Denmark,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.9985356337010775,0.020090678303696853
Denmark,Textile,Scope 3,climate_change,kt CO2eq,0.9114878426141997,0.018339264424462765
Europe,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.9031063111069686,0.018170626824039894
America,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,0.8818142676888252,0.017742227896345417
America,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.8762599857099639,0.017630474956661417
Africa,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,0.6703681750066485,0.013487902579074874
Denmark,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.6099631190799164,0.012272544302833237
