producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Transport,Scope 3,waste_generation,kt,3.357501205743308,1.9867715953797283
Construction,Scope 3,waste_generation,kt,2.4019505074424976,1.4213329346037245
"Electrical, electronic and measuring equipment",Scope 3,waste_generation,kt,0.9691662851796057,0.5734955636950385
Furniture and timber,Scope 3,waste_generation,kt,0.8249977936102463,0.4881851359552715
Non-metallic mineral products,Scope 3,waste_generation,kt,0.8023066541256197,0.4747578551793962
Textile,Scope 3,waste_generation,kt,0.3842639994168017,0.227384817572775
General and special Machinery,Scope 3,waste_generation,kt,0.34716807208877154,0.20543363119835806
Transport Equipment,Scope 3,waste_generation,kt,0.2078216260820736,0.122976606203208
Minerals and Metals,Scope 3,waste_generation,kt,0.20657923284870036,0.1222414310133568
Natural gas and gaseous fuels,Scope 3,waste_generation,kt,0.17265991639030076,0.10216997598037932
