producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
DNK,Denmark,BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",material_extraction,kt,41.2047650698107,10,0.9732453170274025,99.39815009258048
DEU,Europe,PLAS,"Plastics, basic",material_extraction,kt,34.23450291874691,11,0.8086096253669149,99.39815009258048
DEU,Europe,SDCL,Quarrying of sand and clay,material_extraction,kt,32.93668767220218,12,0.7779555830752907,99.39815009258048
RoW Africa,Africa,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",material_extraction,kt,31.10355891734712,13,0.7346575816633593,99.39815009258048
RoW Africa,Africa,SDCL,Quarrying of sand and clay,material_extraction,kt,30.42747375552299,14,0.7186886344665424,99.39815009258048
TUR,Middle East,STON,Quarrying of stone,material_extraction,kt,25.75705362397344,15,0.6083745842861811,99.39815009258048
CHN,Asia and Pacific,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",material_extraction,kt,25.06933449350949,16,0.5921308459219358,99.39815009258048
GBR,Europe,OFOD,Processing of Food products nec,material_extraction,kt,24.72392380981123,17,0.583972339744531,99.39815009258048
RUS,Europe,SDCL,Quarrying of sand and clay,material_extraction,kt,24.35584648088166,18,0.5752784535865166,99.39815009258048
DNK,Denmark,GLAS,Manufacture of glass and glass products,material_extraction,kt,22.28169961365547,19,0.5262876700707056,99.39815009258048
TUR,Middle East,SDCL,Quarrying of sand and clay,material_extraction,kt,22.12750968981708,20,0.5226457461074387,99.39815009258048
OTH,Other,OTHER,All other pairs,material_extraction,kt,993.6426227095692,21,23.46956784518702,99.39815009258048
DNK,Denmark,CHEM,Chemicals nec,waste_generation,kt,36.83571328611021,1,17.001539505734893,83.51809403500485
DNK,Denmark,INCF,Incineration of waste: Food,waste_generation,kt,12.51972689149458,2,5.778485397947174,83.51809403500485
DNK,Denmark,HORE,Hotels and restaurants (55),waste_generation,kt,7.642564105843658,3,3.5274287906787367,83.51809403500485
DNK,Denmark,INCP,Incineration of waste: Paper,waste_generation,kt,6.618880945135212,4,3.054947382134847,83.51809403500485
RoW Europe,Europe,CHEM,Chemicals nec,waste_generation,kt,6.548687251865764,5,3.022549452443502,83.51809403500485
RoW Africa,Africa,HORE,Hotels and restaurants (55),waste_generation,kt,6.454274692075343,6,2.978973294364335,83.51809403500485
SWE,Europe,PAPE,Paper,waste_generation,kt,5.129002179156124,7,2.3672931889934214,83.51809403500485
DNK,Denmark,INCM,Incineration of waste: Metals and Inert materials,waste_generation,kt,5.124005495947544,8,2.36498696768291,83.51809403500485
IND,Asia and Pacific,RICE,Processed rice,waste_generation,kt,4.505926606615305,9,2.079712387195685,83.51809403500485
DNK,Denmark,HWAT,Steam and hot water supply,waste_generation,kt,3.846923992784953,10,1.7755494438478754,83.51809403500485
RoW Asia and Pacific,Asia and Pacific,HORE,Hotels and restaurants (55),waste_generation,kt,3.421132393666744,11,1.5790251458821851,83.51809403500485
POL,Europe,CHEM,Chemicals nec,waste_generation,kt,3.239680163543123,12,1.4952757900630402,83.51809403500485
DEU,Europe,CHEM,Chemicals nec,waste_generation,kt,2.698912766014509,13,1.2456843622797498,83.51809403500485
DNK,Denmark,POWC,Production of electricity by coal,waste_generation,kt,2.68286734290738,14,1.2382785902583635,83.51809403500485
DNK,Denmark,HEAL,Health and social work (85),waste_generation,kt,2.479894968474647,15,1.1445966024633245,83.51809403500485
CHN,Asia and Pacific,POWC,Production of electricity by coal,waste_generation,kt,2.274125758752196,16,1.0496237341225545,83.51809403500485
CHN,Asia and Pacific,HORE,Hotels and restaurants (55),waste_generation,kt,2.272450168624023,17,1.0488503647693324,83.51809403500485
DNK,Denmark,INCO,Incineration of waste: Oil/Hazardous waste,waste_generation,kt,2.094202935334125,18,0.9665802766342709,83.51809403500485
USA,America,CHEM,Chemicals nec,waste_generation,kt,2.070033826724767,19,0.9554250140322205,83.51809403500485
RoW Europe,Europe,REFN,Petroleum Refinery,waste_generation,kt,1.759672304691446,20,0.8121775184041341,83.51809403500485
OTH,Other,OTHER,All other pairs,waste_generation,kt,96.44236767062463,21,44.51301679006744,83.51809403500485
