producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
USA,America,SDCL,Quarrying of sand and clay,material_extraction,kt,43.60310006382556,11,0.7709914475337372,99.56595899906104
CHE,Europe,SDCL,Quarrying of sand and clay,material_extraction,kt,39.82662068394847,12,0.7042156150949715,99.56595899906104
DNK,Denmark,STON,Quarrying of stone,material_extraction,kt,36.65043664671569,13,0.6480542246223877,99.56595899906104
POL,Europe,SDCL,Quarrying of sand and clay,material_extraction,kt,36.03918433619693,14,0.6372460411903529,99.56595899906104
DEU,Europe,SDCL,Quarrying of sand and clay,material_extraction,kt,35.11139244219179,15,0.6208407944459238,99.56595899906104
CHN,Asia and Pacific,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",material_extraction,kt,32.3681374877123,16,0.5723344702347486,99.56595899906104
AUS,Asia and Pacific,IRON,Mining of iron ores,material_extraction,kt,29.71669174433355,17,0.5254515195098592,99.56595899906104
RoW Asia and Pacific,Asia and Pacific,COPO,Mining of copper ores and concentrates,material_extraction,kt,29.56053818129292,18,0.5226904070790913,99.56595899906104
RoW Asia and Pacific,Asia and Pacific,STON,Quarrying of stone,material_extraction,kt,27.7315614058632,19,0.4903503796606274,99.56595899906104
SWE,Europe,STON,Quarrying of stone,material_extraction,kt,26.72328163443177,20,0.472521943623809,99.56595899906104
OTH,Other,OTHER,All other pairs,material_extraction,kt,889.1428050810855,21,15.721852284590263,99.56595899906104
DNK,Denmark,HWAT,Steam and hot water supply,waste_generation,kt,36.27904882663425,1,13.100112013555343,84.93962096388351
DNK,Denmark,INCF,Incineration of waste: Food,waste_generation,kt,23.32016757937246,2,8.420750194541501,84.93962096388351
DNK,Denmark,INCM,Incineration of waste: Metals and Inert materials,waste_generation,kt,17.20498708677336,3,6.212601082943395,84.93962096388351
DNK,Denmark,INCP,Incineration of waste: Paper,waste_generation,kt,12.34102084714559,4,4.456256729105307,84.93962096388351
DNK,Denmark,CHEM,Chemicals nec,waste_generation,kt,11.04878842989717,5,3.9896405977288496,84.93962096388351
BRA,America,CHEM,Chemicals nec,waste_generation,kt,9.2898182361442,6,3.3544887039517373,84.93962096388351
