consuming_country_iso3,model,scenario,analysis_year,indicator,unit,demand_component,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PLAS,"Plastics, basic",Chemical,0.07354391433848631
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_NFER,N-fertiliser,Chemical,0.0003124236755038773
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PFER,P- and other fertiliser,Chemical,0.0010284287670843714
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CHEM,Chemicals nec,Chemical,0.0069497501973976965
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_RUBP,Manufacture of rubber and plastic products (25),Chemical,0.010192009492641933
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_GLAS,Manufacture of glass and glass products,Non-metallic mineral products,0.007700726519736649
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CRMC,Manufacture of ceramic goods,Non-metallic mineral products,0.009828557463548708
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",Non-metallic mineral products,0.0037701195837858107
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CMNT,"Manufacture of cement, lime and plaster",Non-metallic mineral products,0.09908462853436176
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_ONMM,Manufacture of other non-metallic mineral products n.e.c.,Non-metallic mineral products,0.0073346857822550945
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_STEL,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Metal Products,0.23594485587853387
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_STEW,Re-processing of secondary steel into new steel,Metal Products,0.022661164843448958
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PREM,Precious metals production,Metal Products,9.042360279135852e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_ALUM,Aluminium production,Metal Products,0.01731185901052144
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_LZTP,"Lead, zinc and tin production",Metal Products,0.00036333995527327705
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_COPP,Copper production,Metal Products,0.0026555769069283035
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_ONFM,Other non-ferrous metal production,Metal Products,0.0021432564835321124
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_METC,Casting of metals,Metal Products,0.03686358331942571
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_FABM,"Manufacture of fabricated metal products, except machinery and equipment (28)",Metal Products,0.0164221740825715
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_MACH,Manufacture of machinery and equipment n.e.c. (29),General and special Machinery,0.011869202317738485
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OFMA,Manufacture of office machinery and computers (30),General and special Machinery,0.036723337948788744
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_MOTO,"Manufacture of motor vehicles, trailers and semi-trailers (34)",Transport Equipment,0.0014465459704042923
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OTRE,Manufacture of other transport equipment (35),Transport Equipment,0.0003562197778760144
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_FURN,Manufacture of furniture; manufacturing n.e.c. (36),Furniture and timber,7.06034570490707e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_RYMS,Recycling of waste and scrap,Waste management and disposal,9.630107609011755e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWC,Production of electricity by coal,Electricity,1.9220301608266065e-08
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWG,Production of electricity by gas,Electricity,0.1842774710814377
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWH,Production of electricity by hydro,Electricity,5.445772954000434e-06
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWW,Production of electricity by wind,Electricity,5.3641279148356525e-06
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.0015826906151104989
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWB,Production of electricity by biomass and waste,Electricity,0.021116244903024457
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWZ,Production of electricity nec,Electricity,4.579976712880197e-11
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWT,Transmission of electricity,Electricity,9.643379541772205e-07
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POWD,Distribution and trade of electricity,Electricity,2.120519190590501e-06
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_GASD,Manufacture of gas; distribution of gaseous fuels through mains,Natural gas and gaseous fuels,0.12142933818150348
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.06472868912543674
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_WATR,"Collection, purification and distribution of water (41)","Steam, hot water supply and water distribution",0.0003914166753951656
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CONS,Construction (45),Construction,0.011088848266878957
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TDMO,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Services,0.0007737954109350528
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TDFU,Retail sale of automotive fuel,Services,1.6471341298553233e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TDWH,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",Services,0.009696286043939515
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",Services,0.01049623341506846
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_HORE,Hotels and restaurants (55),Food and catering,0.013898955514077438
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TRAI,Transport via railways,Transport,0.017449291565321545
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TLND,Other land transport,Transport,0.12638375124904852
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TPIP,Transport via pipelines,Transport,0.0074441135343435
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TWAS,Sea and coastal water transport,Transport,0.0008595022342021148
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TWAI,Inland water transport,Transport,0.0014011870496206255
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TAIR,Air transport (62),Transport,0.09328334103811525
