time,c_dest,c_orig,nace_r2,na_item,unit,value
2021,DK,DK,C10-C12,TOTAL,THS_T,299.569
2021,DK,EE,C10-C12,TOTAL,THS_T,0.723
2021,DK,EL,C10-C12,TOTAL,THS_T,3.929
2021,DK,ES,C10-C12,TOTAL,THS_T,10.532
2021,DK,EU27_2020,C10-C12,TOTAL,THS_T,553.275
2021,DK,EXT_EU27_2020,C10-C12,TOTAL,THS_T,158.707
2021,DK,FI,C10-C12,TOTAL,THS_T,1.001
2021,DK,FR,C10-C12,TOTAL,THS_T,16.7
2021,DK,HR,C10-C12,TOTAL,THS_T,0.148
2021,DK,HU,C10-C12,TOTAL,THS_T,3.554
2021,DK,ID,C10-C12,TOTAL,THS_T,2.841
2021,DK,IE,C10-C12,TOTAL,THS_T,4.881
2021,DK,IN,C10-C12,TOTAL,THS_T,3.95
2021,DK,IT,C10-C12,TOTAL,THS_T,18.383
2021,DK,JP,C10-C12,TOTAL,THS_T,0.686
2021,DK,KR,C10-C12,TOTAL,THS_T,0.967
2021,DK,LT,C10-C12,TOTAL,THS_T,3.194
2021,DK,LU,C10-C12,TOTAL,THS_T,0.613
2021,DK,LV,C10-C12,TOTAL,THS_T,1.082
2021,DK,MT,C10-C12,TOTAL,THS_T,0.024
2021,DK,MX,C10-C12,TOTAL,THS_T,1.67
2021,DK,NL,C10-C12,TOTAL,THS_T,40.195
2021,DK,NO,C10-C12,TOTAL,THS_T,5.202
2021,DK,PL,C10-C12,TOTAL,THS_T,34.299
2021,DK,PT,C10-C12,TOTAL,THS_T,1.666
2021,DK,RO,C10-C12,TOTAL,THS_T,0.819
2021,DK,RU,C10-C12,TOTAL,THS_T,7.357
2021,DK,SA,C10-C12,TOTAL,THS_T,0.441
2021,DK,SE,C10-C12,TOTAL,THS_T,15.655
2021,DK,SI,C10-C12,TOTAL,THS_T,0.397
2021,DK,SK,C10-C12,TOTAL,THS_T,1.938
2021,DK,TR,C10-C12,TOTAL,THS_T,2.555
2021,DK,UK,C10-C12,TOTAL,THS_T,12.253
2021,DK,US,C10-C12,TOTAL,THS_T,10.914
2021,DK,WORLD,C10-C12,TOTAL,THS_T,711.982
2021,DK,WRL_REST,C10-C12,TOTAL,THS_T,78.645
2021,DK,ZA,C10-C12,TOTAL,THS_T,2.282
2021,DK,AR,C13-C15,TOTAL,THS_T,0.054
2021,DK,AT,C13-C15,TOTAL,THS_T,0.347
2021,DK,AU,C13-C15,TOTAL,THS_T,0.055
2021,DK,BE,C13-C15,TOTAL,THS_T,2.18
2021,DK,BG,C13-C15,TOTAL,THS_T,0.451
2021,DK,BR,C13-C15,TOTAL,THS_T,0.139
2021,DK,CA,C13-C15,TOTAL,THS_T,0.094
2021,DK,CH,C13-C15,TOTAL,THS_T,0.152
2021,DK,CN,C13-C15,TOTAL,THS_T,68.799
2021,DK,CY,C13-C15,TOTAL,THS_T,0.001
2021,DK,CZ,C13-C15,TOTAL,THS_T,0.554
2021,DK,DE,C13-C15,TOTAL,THS_T,15.497
2021,DK,DK,C13-C15,TOTAL,THS_T,5.381
2021,DK,EE,C13-C15,TOTAL,THS_T,0.205
2021,DK,EL,C13-C15,TOTAL,THS_T,0.056
