time,geo,nace_r2,cpa2_1,unit,value
2022,DK,C10-C12,CPA_C21,MIO_EUR,14.942
2022,DK,C10-C12,CPA_C22,MIO_EUR,0.38
2022,DK,C10-C12,CPA_C23,MIO_EUR,0.113
2022,DK,C10-C12,CPA_C24,MIO_EUR,0
2022,DK,C10-C12,CPA_C25,MIO_EUR,0
2022,DK,C10-C12,CPA_C26,MIO_EUR,0
2022,DK,C10-C12,CPA_C27,MIO_EUR,0
2022,DK,C10-C12,CPA_C28,MIO_EUR,4.334
2022,DK,C10-C12,CPA_C29,MIO_EUR,0
2022,DK,C10-C12,CPA_C30,MIO_EUR,0
2022,DK,C10-C12,CPA_C31_32,MIO_EUR,0.019
2022,DK,C10-C12,CPA_C33,MIO_EUR,3.535
2022,DK,C10-C12,CPA_D35,MIO_EUR,0
2022,DK,C10-C12,CPA_E36,MIO_EUR,0
2022,DK,C10-C12,CPA_E37-39,MIO_EUR,0.008
2022,DK,C10-C12,CPA_F,MIO_EUR,0
2022,DK,C10-C12,CPA_G45,MIO_EUR,0
2022,DK,C10-C12,CPA_G46,MIO_EUR,0
2022,DK,C10-C12,CPA_G47,MIO_EUR,0
2022,DK,C10-C12,CPA_H49,MIO_EUR,0
2022,DK,C10-C12,CPA_H50,MIO_EUR,0
2022,DK,C10-C12,CPA_H51,MIO_EUR,0
2022,DK,C10-C12,CPA_H52,MIO_EUR,0
2022,DK,C10-C12,CPA_H53,MIO_EUR,0
2022,DK,C10-C12,CPA_I,MIO_EUR,0
2022,DK,C10-C12,CPA_J58,MIO_EUR,0
2022,DK,C10-C12,CPA_J59_60,MIO_EUR,0
2022,DK,C10-C12,CPA_J61,MIO_EUR,0
2022,DK,C10-C12,CPA_J62_63,MIO_EUR,41.93
2022,DK,C10-C12,CPA_K64,MIO_EUR,0
2022,DK,C10-C12,CPA_K65,MIO_EUR,0
2022,DK,C10-C12,CPA_K66,MIO_EUR,0
2022,DK,C10-C12,CPA_L,MIO_EUR,0
2022,DK,C10-C12,CPA_M69_70,MIO_EUR,0
2022,DK,C10-C12,CPA_M71,MIO_EUR,0
2022,DK,C10-C12,CPA_M72,MIO_EUR,177.196
2022,DK,C10-C12,CPA_M73,MIO_EUR,0
2022,DK,C10-C12,CPA_M74_75,MIO_EUR,0
2022,DK,C10-C12,CPA_N77,MIO_EUR,36.044
2022,DK,C10-C12,CPA_N78,MIO_EUR,0
2022,DK,C10-C12,CPA_N79,MIO_EUR,0
2022,DK,C10-C12,CPA_N80-82,MIO_EUR,32.296
2022,DK,C10-C12,CPA_O84,MIO_EUR,0
2022,DK,C10-C12,CPA_P85,MIO_EUR,0
2022,DK,C10-C12,CPA_Q86,MIO_EUR,0
2022,DK,C10-C12,CPA_Q87_88,MIO_EUR,0
2022,DK,C10-C12,CPA_R90-92,MIO_EUR,0
2022,DK,C10-C12,CPA_R93,MIO_EUR,0
2022,DK,C10-C12,CPA_S94,MIO_EUR,0
2022,DK,C10-C12,CPA_S95,MIO_EUR,0
2022,DK,C10-C12,CPA_S96,MIO_EUR,0
2022,DK,C10-C12,CPA_T,MIO_EUR,0
2022,DK,C10-C12,CPA_U,MIO_EUR,0
2022,DK,C13-C15,CPA_A01,MIO_EUR,0
2022,DK,C13-C15,CPA_A02,MIO_EUR,0
2022,DK,C13-C15,CPA_A03,MIO_EUR,0
2022,DK,C13-C15,CPA_B,MIO_EUR,0
2022,DK,C13-C15,CPA_C10-12,MIO_EUR,12.89
2022,DK,C13-C15,CPA_C13-15,MIO_EUR,1570.969
2022,DK,C13-C15,CPA_C16,MIO_EUR,4.479
2022,DK,C13-C15,CPA_C17,MIO_EUR,4.43
