time,c_dest,c_orig,nace_r2,na_item,unit,value
2022,WORLD,MT,A02,TOTAL,THS_T,0
2022,WORLD,MX,A02,TOTAL,THS_T,157.01
2022,WORLD,NL,A02,TOTAL,THS_T,76.108
2022,WORLD,NO,A02,TOTAL,THS_T,55.732
2022,WORLD,PL,A02,TOTAL,THS_T,877.145
2022,WORLD,PT,A02,TOTAL,THS_T,45.724
2022,WORLD,RO,A02,TOTAL,THS_T,62.46
2022,WORLD,RU,A02,TOTAL,THS_T,585.171
2022,WORLD,SA,A02,TOTAL,THS_T,4.299
2022,WORLD,SE,A02,TOTAL,THS_T,663.551
2022,WORLD,SI,A02,TOTAL,THS_T,31.213
2022,WORLD,SK,A02,TOTAL,THS_T,126.271
2022,WORLD,TR,A02,TOTAL,THS_T,27.842
2022,WORLD,UK,A02,TOTAL,THS_T,91.406
2022,WORLD,US,A02,TOTAL,THS_T,2676.024
2022,WORLD,WORLD,A02,TOTAL,THS_T,33383.459
2022,WORLD,WRL_REST,A02,TOTAL,THS_T,8562.377
2022,WORLD,ZA,A02,TOTAL,THS_T,160.183
2022,WORLD,AR,A03,TOTAL,THS_T,1377.098
2022,WORLD,AT,A03,TOTAL,THS_T,2.499
2022,WORLD,AU,A03,TOTAL,THS_T,955.755
2022,WORLD,BE,A03,TOTAL,THS_T,227.151
2022,WORLD,BG,A03,TOTAL,THS_T,1.353
2022,WORLD,BR,A03,TOTAL,THS_T,1610.008
2022,WORLD,CA,A03,TOTAL,THS_T,2093.845
2022,WORLD,CH,A03,TOTAL,THS_T,8.387
2022,WORLD,CN,A03,TOTAL,THS_T,55066.235
2022,WORLD,CY,A03,TOTAL,THS_T,6.156
2022,WORLD,CZ,A03,TOTAL,THS_T,74.847
2022,WORLD,DE,A03,TOTAL,THS_T,51.089
2022,WORLD,DK,A03,TOTAL,THS_T,406.415
2022,WORLD,EE,A03,TOTAL,THS_T,79.034
2022,WORLD,EL,A03,TOTAL,THS_T,92.338
2022,WORLD,ES,A03,TOTAL,THS_T,1304.893
2022,WORLD,EU27_2020,A03,TOTAL,THS_T,5564.169
2022,WORLD,EXT_EU27_2020,A03,TOTAL,THS_T,172255.359
2022,WORLD,FI,A03,TOTAL,THS_T,100.223
