producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
POL,Poland,Europe,Scope 2,climate_change,kt CO2eq,0.4014141251635135,0.5473216460649071
NOR,Norway,Europe,Scope 2,climate_change,kt CO2eq,0.35100504422357265,0.47858968217243336
RoW Middle East,RoW Middle East,Middle East,Scope 2,climate_change,kt CO2eq,0.3439352047185066,0.46895007072689365
TUR,Turkey,Middle East,Scope 2,climate_change,kt CO2eq,0.20325335345172568,0.27713264931595505
NLD,Netherlands,Europe,Scope 2,climate_change,kt CO2eq,0.17181197763682998,0.23426284357968633
CAN,Canada,America,Scope 2,climate_change,kt CO2eq,0.16888021442304696,0.23026543201030858
FIN,Finland,Europe,Scope 2,climate_change,kt CO2eq,0.16125360385852014,0.21986667225970813
HRV,Croatia,Europe,Scope 2,climate_change,kt CO2eq,0.15990405836861724,0.218026588882791
SWE,Sweden,Europe,Scope 2,climate_change,kt CO2eq,0.15546401957142067,0.21197266802964768
RoW Africa,RoW Africa,Africa,Scope 2,climate_change,kt CO2eq,0.14810794385468457,0.201942778154143
HUN,Hungary,Europe,Scope 2,climate_change,kt CO2eq,0.13812589897448493,0.18833242193486655
RoW America,RoW America,America,Scope 2,climate_change,kt CO2eq,0.13598145210982338,0.1854085034320306
BEL,Belgium,Europe,Scope 2,climate_change,kt CO2eq,0.13114128551381016,0.1788090148179236
ESP,Spain,Europe,Scope 2,climate_change,kt CO2eq,0.09524892524287268,0.1298703640002872
SVK,Slovakia,Europe,Scope 2,climate_change,kt CO2eq,0.0678884919603646,0.09256485718701443
SVN,Slovenia,Europe,Scope 2,climate_change,kt CO2eq,0.05830969160778824,0.07950431833785551
EST,Estonia,Europe,Scope 2,climate_change,kt CO2eq,0.05497254228174138,0.07495416938245354
BRA,Brazil,America,Scope 2,climate_change,kt CO2eq,0.02677893254263228,0.03651263999024523
AUT,Austria,Europe,Scope 2,climate_change,kt CO2eq,0.022797812501358546,0.031084447414101206
BGR,Bulgaria,Europe,Scope 2,climate_change,kt CO2eq,0.020249926014303626,0.027610445532594455
IRL,Ireland,Europe,Scope 2,climate_change,kt CO2eq,0.017169874823059945,0.023410845712162183
LVA,Latvia,Europe,Scope 2,climate_change,kt CO2eq,0.016583424536443767,0.02261123026246854
AUS,Australia,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.01231537798917595,0.016791818051249734
ZAF,South Africa,Africa,Scope 2,climate_change,kt CO2eq,0.010833202386627683,0.014770895667879405
PRT,Portugal,Europe,Scope 2,climate_change,kt CO2eq,0.004706386794064414,0.00641708202494418
CHE,Switzerland,Europe,Scope 2,climate_change,kt CO2eq,0.002901008513798339,0.003955478034993518
LTU,Lithuania,Europe,Scope 2,climate_change,kt CO2eq,0.0020954015992117056,0.0028570460792340675
FRA,France,Europe,Scope 2,climate_change,kt CO2eq,0.002031271386750941,0.002769605575160574
LUX,Luxembourg,Europe,Scope 2,climate_change,kt CO2eq,0.001727890102610397,0.0023559501170885653
CHN,China,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.00011854767040875446,0.00016163782497402053
MEX,Mexico,America,Scope 2,climate_change,kt CO2eq,1.5198807333652593e-05,2.0723327174123668e-05
TWN,Taiwan,Asia and Pacific,Scope 2,climate_change,kt CO2eq,1.1309785761536315e-05,1.542070936622873e-05
MLT,Malta,Europe,Scope 2,climate_change,kt CO2eq,2.1760087660023673e-06,2.9669526431710545e-06
CYP,Cyprus,Middle East,Scope 2,climate_change,kt CO2eq,2.1249235788727844e-06,2.8972988194599235e-06
ROU,Romania,Europe,Scope 2,climate_change,kt CO2eq,1.3315131328863972e-06,1.8154965507294144e-06
USA,United States,America,Scope 2,climate_change,kt CO2eq,4.662418398521637e-07,6.357131831080168e-07
DNK,Denmark,Denmark,Scope 3,climate_change,kt CO2eq,992.2324516365758,23.719448820562114
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,climate_change,kt CO2eq,339.1696049007678,8.107894547960866
RoW Europe,RoW Europe,Europe,Scope 3,climate_change,kt CO2eq,301.4022620099954,7.205061189397817
RUS,Russia,Europe,Scope 3,climate_change,kt CO2eq,295.93046663425645,7.074257192655564
RoW Middle East,RoW Middle East,Middle East,Scope 3,climate_change,kt CO2eq,279.35383008627207,6.677990489658243
CHN,China,Asia and Pacific,Scope 3,climate_change,kt CO2eq,191.7843515643989,4.58463045026733
USA,United States,America,Scope 3,climate_change,kt CO2eq,178.08604002152342,4.25717048961654
IND,India,Asia and Pacific,Scope 3,climate_change,kt CO2eq,172.86689515013452,4.1324061368080605
DEU,Germany,Europe,Scope 3,climate_change,kt CO2eq,171.8464812381496,4.108013006426974
NOR,Norway,Europe,Scope 3,climate_change,kt CO2eq,154.8412225045103,3.701500033032802
RoW Africa,RoW Africa,Africa,Scope 3,climate_change,kt CO2eq,145.74471926662955,3.484046912404554
POL,Poland,Europe,Scope 3,climate_change,kt CO2eq,86.05460812791824,2.057146860997147
NLD,Netherlands,Europe,Scope 3,climate_change,kt CO2eq,82.33180747640037,1.9681528159251602
GBR,United Kingdom,Europe,Scope 3,climate_change,kt CO2eq,74.66121608005531,1.7847863076548878
RoW America,RoW America,America,Scope 3,climate_change,kt CO2eq,58.396687001149324,1.3959805752467764
EST,Estonia,Europe,Scope 3,climate_change,kt CO2eq,50.97062699370079,1.218459622374723
ZAF,South Africa,Africa,Scope 3,climate_change,kt CO2eq,47.910815748244055,1.1453144272972149
SWE,Sweden,Europe,Scope 3,climate_change,kt CO2eq,40.40529005248466,0.9658938365693633
FRA,France,Europe,Scope 3,climate_change,kt CO2eq,39.79410843284957,0.9512834586049138
AUS,Australia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,39.719975745156766,0.9495113068387022
TUR,Turkey,Middle East,Scope 3,climate_change,kt CO2eq,38.4593050897407,0.919374807028194
CAN,Canada,America,Scope 3,climate_change,kt CO2eq,30.856825936075523,0.7376365309847899
ESP,Spain,Europe,Scope 3,climate_change,kt CO2eq,29.31836700858347,0.7008594655572318
JPN,Japan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,27.305174649748565,0.652733834267336
BEL,Belgium,Europe,Scope 3,climate_change,kt CO2eq,26.196826408981277,0.6262386220528209
ITA,Italy,Europe,Scope 3,climate_change,kt CO2eq,25.99931557668118,0.6215170993183833
TWN,Taiwan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,23.856396078157307,0.5702903234877953
BRA,Brazil,America,Scope 3,climate_change,kt CO2eq,22.64701062049976,0.5413798031556634
CZE,Czech Republic,Europe,Scope 3,climate_change,kt CO2eq,19.450418498253935,0.4649648430132462
IDN,Indonesia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,19.253414135628926,0.4602554275038017
HUN,Hungary,Europe,Scope 3,climate_change,kt CO2eq,18.253288963092135,0.43634730213961437
GRC,Greece,Europe,Scope 3,climate_change,kt CO2eq,17.85885198204933,0.4269182336089989
KOR,South Korea,Asia and Pacific,Scope 3,climate_change,kt CO2eq,17.23181122822908,0.41192874093103354
BGR,Bulgaria,Europe,Scope 3,climate_change,kt CO2eq,16.834908473860157,0.40244072776086764
IRL,Ireland,Europe,Scope 3,climate_change,kt CO2eq,15.218568056555444,0.3638018949534647
FIN,Finland,Europe,Scope 3,climate_change,kt CO2eq,14.599431811299805,0.3490013606048109
MEX,Mexico,America,Scope 3,climate_change,kt CO2eq,10.998833218890335,0.26292857202066433
CHE,Switzerland,Europe,Scope 3,climate_change,kt CO2eq,10.63233131272344,0.25416729517306114
AUT,Austria,Europe,Scope 3,climate_change,kt CO2eq,8.543509013285313,0.20423372008684873
PRT,Portugal,Europe,Scope 3,climate_change,kt CO2eq,7.929077766466637,0.18954565935205658
ROU,Romania,Europe,Scope 3,climate_change,kt CO2eq,6.964809457351091,0.16649469708043213
LTU,Lithuania,Europe,Scope 3,climate_change,kt CO2eq,5.967369064001825,0.14265075172006134
HRV,Croatia,Europe,Scope 3,climate_change,kt CO2eq,5.801457800329854,0.13868462087951966
LVA,Latvia,Europe,Scope 3,climate_change,kt CO2eq,5.440740282504266,0.1300616206051061
SVN,Slovenia,Europe,Scope 3,climate_change,kt CO2eq,5.235380856849218,0.12515247620188613
SVK,Slovakia,Europe,Scope 3,climate_change,kt CO2eq,4.731358230238786,0.11310374822834245
LUX,Luxembourg,Europe,Scope 3,climate_change,kt CO2eq,2.6957630622426683,0.06444257480367793
CYP,Cyprus,Middle East,Scope 3,climate_change,kt CO2eq,0.9327051903681629,0.02229644171697919
MLT,Malta,Europe,Scope 3,climate_change,kt CO2eq,0.48526504395426595,0.011600325463550627
DNK,Denmark,Denmark,Outside protocol,land_use,km2,0.6924,99.99999999999999
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,land_use,km2,0.02767649693160258,40.91472486581434
RoW Europe,RoW Europe,Europe,Scope 2,land_use,km2,0.0178773301390777,26.428418516379807
RoW Africa,RoW Africa,Africa,Scope 2,land_use,km2,0.011759802668217507,17.384753996702003
CAN,Canada,America,Scope 2,land_use,km2,0.005046423332811816,7.460229621136004
RoW America,RoW America,America,Scope 2,land_use,km2,0.004285891567263952,6.335920138761745
RUS,Russia,Europe,Scope 2,land_use,km2,0.0008855023576062757,1.3090560347657714
