producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
IND,India,Asia and Pacific,Scope 3,climate_change,kt CO2eq,114.67890058183544,1.7570527623758552
RoW Africa,RoW Africa,Africa,Scope 3,climate_change,kt CO2eq,112.3273233400407,1.7210230719299906
CZE,Czech Republic,Europe,Scope 3,climate_change,kt CO2eq,111.95771932180067,1.7153601840060655
GBR,United Kingdom,Europe,Scope 3,climate_change,kt CO2eq,92.55591603603159,1.418095457143719
BRA,Brazil,America,Scope 3,climate_change,kt CO2eq,91.05604423759425,1.3951151715525314
NLD,Netherlands,Europe,Scope 3,climate_change,kt CO2eq,69.47376718026952,1.064442316044358
GRC,Greece,Europe,Scope 3,climate_change,kt CO2eq,67.11409234879076,1.0282885583790595
RoW America,RoW America,America,Scope 3,climate_change,kt CO2eq,66.52279475175571,1.0192289923125428
JPN,Japan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,66.12147900893544,1.0130802332040258
IDN,Indonesia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,60.50484708456809,0.9270250078060835
KOR,South Korea,Asia and Pacific,Scope 3,climate_change,kt CO2eq,60.03021630005463,0.9197529522945043
NOR,Norway,Europe,Scope 3,climate_change,kt CO2eq,58.04460070646245,0.8893303432004444
AUS,Australia,Asia and Pacific,Scope 3,climate_change,kt CO2eq,57.09569815081045,0.8747917328006694
FRA,France,Europe,Scope 3,climate_change,kt CO2eq,55.24212178647045,0.8463921627427571
RoW Europe,RoW Europe,Europe,Scope 3,climate_change,kt CO2eq,51.85515926930116,0.7944988169166077
TWN,Taiwan,Asia and Pacific,Scope 3,climate_change,kt CO2eq,49.17459535733649,0.7534285572407091
BEL,Belgium,Europe,Scope 3,climate_change,kt CO2eq,45.01678428081138,0.689724655299025
CAN,Canada,America,Scope 3,climate_change,kt CO2eq,43.96607654361542,0.6736262368216659
ZAF,South Africa,Africa,Scope 3,climate_change,kt CO2eq,42.024092792330826,0.6438721329946182
ITA,Italy,Europe,Scope 3,climate_change,kt CO2eq,38.0541752666742,0.5830470420714484
POL,Poland,Europe,Scope 3,climate_change,kt CO2eq,33.58171284073273,0.5145222095150451
IRL,Ireland,Europe,Scope 3,climate_change,kt CO2eq,27.510377413615096,0.4215002444508184
