producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
RoW Middle East,RoW Middle East,Middle East,Natural gas and gaseous fuels,climate_change,kt CO2eq,29.232384015578596,2019,EXIOBASE v3.7 IOT_2016_ixi
CZE,Czech Republic,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,28.498465944148876,2019,EXIOBASE v3.7 IOT_2016_ixi
NOR,Norway,Europe,Transport,climate_change,kt CO2eq,28.483012256631444,2019,EXIOBASE v3.7 IOT_2016_ixi
TUR,Turkey,Middle East,Minerals and Metals,material_extraction,kt,28.446425429400474,2019,EXIOBASE v3.7 IOT_2016_ixi
BEL,Belgium,Europe,Transport,climate_change,kt CO2eq,28.304416071090895,2019,EXIOBASE v3.7 IOT_2016_ixi
GLO,Unallocated,Unallocated,Private travel,material_extraction,kt,27.9464815083494,2019,EXIOBASE v3.7 IOT_2016_ixi
IND,India,Asia and Pacific,Transport,climate_change,kt CO2eq,26.960065467840284,2019,EXIOBASE v3.7 IOT_2016_ixi
IND,India,Asia and Pacific,Electricity,climate_change,kt CO2eq,26.657861007204968,2019,EXIOBASE v3.7 IOT_2016_ixi
ZAF,South Africa,Africa,Electricity,climate_change,kt CO2eq,26.390840469120864,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Electricity,climate_change,kt CO2eq,26.230228508048732,2019,EXIOBASE v3.7 IOT_2016_ixi
POL,Poland,Europe,Food and catering,land_use,km2,25.932932998766184,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Coal and Petroleum,climate_change,kt CO2eq,25.73388737204708,2019,EXIOBASE v3.7 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,climate_change,kt CO2eq,25.34380095740273,2019,EXIOBASE v3.7 IOT_2016_ixi
ESP,Spain,Europe,Food and catering,land_use,km2,24.962549165344313,2019,EXIOBASE v3.7 IOT_2016_ixi
FRA,France,Europe,Minerals and Metals,material_extraction,kt,24.167417240535418,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Minerals and Metals,climate_change,kt CO2eq,22.891764388210245,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Chemical,climate_change,kt CO2eq,22.628886998449698,2019,EXIOBASE v3.7 IOT_2016_ixi
FRA,France,Europe,Food and catering,land_use,km2,22.39458643496437,2019,EXIOBASE v3.7 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Transport,climate_change,kt CO2eq,22.256714330693566,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Services,climate_change,kt CO2eq,22.195984799514136,2019,EXIOBASE v3.7 IOT_2016_ixi
ITA,Italy,Europe,Transport,climate_change,kt CO2eq,22.06132754279182,2019,EXIOBASE v3.7 IOT_2016_ixi
FIN,Finland,Europe,Food and catering,land_use,km2,21.91470360572392,2019,EXIOBASE v3.7 IOT_2016_ixi
CAN,Canada,America,Transport,climate_change,kt CO2eq,21.748358292906925,2019,EXIOBASE v3.7 IOT_2016_ixi
ZAF,South Africa,Africa,Minerals and Metals,material_extraction,kt,21.348280676087352,2019,EXIOBASE v3.7 IOT_2016_ixi
CAN,Canada,America,Minerals and Metals,material_extraction,kt,20.307603690119542,2019,EXIOBASE v3.7 IOT_2016_ixi
AUT,Austria,Europe,Minerals and Metals,material_extraction,kt,20.15008596547753,2019,EXIOBASE v3.7 IOT_2016_ixi
NOR,Norway,Europe,Coal and Petroleum,climate_change,kt CO2eq,19.95285611060308,2019,EXIOBASE v3.7 IOT_2016_ixi
IRL,Ireland,Europe,Food and catering,land_use,km2,19.946090257522464,2019,EXIOBASE v3.7 IOT_2016_ixi
ITA,Italy,Europe,Minerals and Metals,material_extraction,kt,19.700558654300636,2019,EXIOBASE v3.7 IOT_2016_ixi
TWN,Taiwan,Asia and Pacific,Electricity,climate_change,kt CO2eq,19.682549540393726,2019,EXIOBASE v3.7 IOT_2016_ixi
BRA,Brazil,America,Electricity,climate_change,kt CO2eq,19.37357218670717,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Minerals and Metals,climate_change,kt CO2eq,19.3587066380975,2019,EXIOBASE v3.7 IOT_2016_ixi
DEU,Germany,Europe,Electricity,climate_change,kt CO2eq,19.22295431637781,2019,EXIOBASE v3.7 IOT_2016_ixi
USA,United States,America,Chemical,climate_change,kt CO2eq,18.809592068168286,2019,EXIOBASE v3.7 IOT_2016_ixi
ZAF,South Africa,Africa,Food and catering,land_use,km2,18.53533848430276,2019,EXIOBASE v3.7 IOT_2016_ixi
USA,United States,America,Electricity,climate_change,kt CO2eq,18.51940078932439,2019,EXIOBASE v3.7 IOT_2016_ixi
GBR,United Kingdom,Europe,Minerals and Metals,material_extraction,kt,18.513716841177995,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,18.190806480663923,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,17.698426063794365,2019,EXIOBASE v3.7 IOT_2016_ixi
USA,United States,America,Coal and Petroleum,climate_change,kt CO2eq,17.64273009569157,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Electricity,climate_change,kt CO2eq,17.611558373893686,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Chemical,climate_change,kt CO2eq,16.849942843975313,2019,EXIOBASE v3.7 IOT_2016_ixi
LVA,Latvia,Europe,Food and catering,land_use,km2,16.6545791595053,2019,EXIOBASE v3.7 IOT_2016_ixi
GBR,United Kingdom,Europe,Food and catering,land_use,km2,16.454930472783406,2019,EXIOBASE v3.7 IOT_2016_ixi
