producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Africa,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,3.5614713182215882,0.08392671960355731
America,Metal Products,Scope 3,climate_change,kt CO2eq,3.5510585812259583,0.08368134156171637
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,2.7760379850858223,0.06541784020303774
Asia and Pacific,Paper Products,Scope 3,climate_change,kt CO2eq,2.6578230132354514,0.06263208288283482
Africa,Minerals and Metals,Scope 3,climate_change,kt CO2eq,2.531467555934365,0.05965449354187028
America,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,2.4499936673285183,0.05773454653315793
Denmark,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,2.405291524675052,0.056681132408225685
Africa,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,2.2768341908035046,0.053654011963453624
Denmark,Paper Products,Scope 3,climate_change,kt CO2eq,2.188277903328131,0.05156716693677826
Middle East,Furniture and timber,Scope 3,climate_change,kt CO2eq,2.1373115900094826,0.05036613649039039
Europe,Furniture and timber,Scope 3,climate_change,kt CO2eq,2.09319743797274,0.04932657847132282
Denmark,Textile,Scope 3,climate_change,kt CO2eq,2.0500836767598085,0.04831059484403384
America,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,1.9641185608604281,0.046284811246995836
Africa,Chemical,Scope 3,climate_change,kt CO2eq,1.92702529933844,0.04541070179031998
Africa,Services,Scope 3,climate_change,kt CO2eq,1.8963434999116346,0.04468767960444656
Africa,Paper Products,Scope 3,climate_change,kt CO2eq,1.7339654823500377,0.040861212076840944
America,Textile,Scope 3,climate_change,kt CO2eq,1.6059366321445754,0.03784418892762036
Europe,Textile,Scope 3,climate_change,kt CO2eq,1.5685190595721943,0.03696243702203543
Europe,Transport Equipment,Scope 3,climate_change,kt CO2eq,1.5113162995854903,0.03561444357522846
Europe,Construction,Scope 3,climate_change,kt CO2eq,1.455993848971848,0.03431075996090939
America,Paper Products,Scope 3,climate_change,kt CO2eq,1.3727248127477827,0.032348509971956714
Middle East,Metal Products,Scope 3,climate_change,kt CO2eq,1.2340197269674906,0.02907989938893428
Asia and Pacific,Transport Equipment,Scope 3,climate_change,kt CO2eq,1.1800707712990686,0.02780858243289901
Asia and Pacific,Construction,Scope 3,climate_change,kt CO2eq,1.1028802885410829,0.025989574662333096
Asia and Pacific,General and special Machinery,Scope 3,climate_change,kt CO2eq,1.0937581496387414,0.025774609799377575
Europe,General and special Machinery,Scope 3,climate_change,kt CO2eq,1.0934835918197887,0.02576813979441971
Denmark,Construction,Scope 3,climate_change,kt CO2eq,1.0553471514817334,0.024869447639142714
Africa,Metal Products,Scope 3,climate_change,kt CO2eq,0.9943992539413131,0.02343319934447571
Denmark,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.875940608966703,0.02064169982276515
Middle East,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,0.8726881163283909,0.020565054241970592
America,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.7100140168504115,0.016731609490134993
Africa,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,0.6270907664544715,0.014777508007135872
Africa,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,0.539327002180793,0.012709338933903584
America,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,0.4547684117619516,0.010716700365723881
America,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.4442436158492461,0.010468681635113584
Africa,Textile,Scope 3,climate_change,kt CO2eq,0.3612662057714528,0.008513303869357544
Denmark,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,0.2850176725174251,0.006716493310234813
Denmark,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.2781320742157822,0.0065542329334607324
Middle East,Paper Products,Scope 3,climate_change,kt CO2eq,0.26980340663252766,0.00635796636650714
America,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.2658420617301389,0.006264616553137934
Africa,Construction,Scope 3,climate_change,kt CO2eq,0.2486508908308764,0.005859503483060005
America,Construction,Scope 3,climate_change,kt CO2eq,0.2110624295106476,0.00497372455303979
Middle East,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,0.1965110780797325,0.004630819309033765
Middle East,Construction,Scope 3,climate_change,kt CO2eq,0.1921507025585833,0.004528066266532094
Africa,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.1497699454577739,0.003529356014511247
Middle East,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.1305638794073106,0.003076761573596436
Africa,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.1061272212007886,0.002500907276847292
Middle East,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.09249178494828755,0.0021795857406662067
Denmark,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.0827124355093601,0.0019491335918402802
Africa,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.0304620953461035,0.0007178448192377638
