producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
RoW Europe,RoW Europe,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,9.025557692047151,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Food and catering,blue_water_consumption,Mm3,8.94949483907133,2019,EXIOBASE v3.8.2 IOT_2016_ixi
HUN,Hungary,Europe,Services,material_extraction,kt,8.892990697699018,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Waste management and disposal,climate_change,kt CO2eq,8.833567883123996,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CZE,Czech Republic,Europe,Minerals and Metals,material_extraction,kt,8.758874690625404,2019,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Coal and Petroleum,climate_change,kt CO2eq,8.748812411332926,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ZAF,South Africa,Africa,Food and catering,land_use,km2,8.680077169993499,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ESP,Spain,Europe,Minerals and Metals,material_extraction,kt,8.592124252987192,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CYP,Cyprus,Middle East,Transport,climate_change,kt CO2eq,8.572119780478966,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Natural gas and gaseous fuels,climate_change,kt CO2eq,8.549325256290677,2019,EXIOBASE v3.8.2 IOT_2016_ixi
BEL,Belgium,Europe,Minerals and Metals,material_extraction,kt,8.547238782496297,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CAN,Canada,America,Minerals and Metals,material_extraction,kt,8.533908758032766,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Transport,material_extraction,kt,8.092906045791707,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,7.973004173304666,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Food and catering,waste_generation,kt,7.81758964438295,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Transport,climate_change,kt CO2eq,7.732426356003687,2019,EXIOBASE v3.8.2 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Electricity,climate_change,kt CO2eq,7.7053845203165805,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,blue_water_consumption,Mm3,7.65676617405317,2019,EXIOBASE v3.8.2 IOT_2016_ixi
PRT,Portugal,Europe,Minerals and Metals,material_extraction,kt,7.563997839840638,2019,EXIOBASE v3.8.2 IOT_2016_ixi
FRA,France,Europe,Food and catering,climate_change,kt CO2eq,7.512170504268109,2019,EXIOBASE v3.8.2 IOT_2016_ixi
SVK,Slovakia,Europe,Food and catering,land_use,km2,7.18793126061989,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CZE,Czech Republic,Europe,Food and catering,land_use,km2,7.176975166714205,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IDN,Indonesia,Asia and Pacific,Minerals and Metals,material_extraction,kt,7.125406813956727,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Metal Products,climate_change,kt CO2eq,7.0995311450432705,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NLD,Netherlands,Europe,Chemical,climate_change,kt CO2eq,6.871540207025361,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Waste management and disposal,climate_change,kt CO2eq,6.750101028356109,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Minerals and Metals,climate_change,kt CO2eq,6.7360906798169236,2019,EXIOBASE v3.8.2 IOT_2016_ixi
BGR,Bulgaria,Europe,Food and catering,land_use,km2,6.596967170887023,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Non-metallic mineral products,climate_change,kt CO2eq,6.508164782182789,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Transport,climate_change,kt CO2eq,6.447375253437231,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CZE,Czech Republic,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,6.412244514024674,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Waste management and disposal,climate_change,kt CO2eq,6.38146243232235,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,6.3363721606809245,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW America,RoW America,America,Electricity,climate_change,kt CO2eq,6.327094086382092,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GBR,United Kingdom,Europe,Food and catering,climate_change,kt CO2eq,6.2719263848011035,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NLD,Netherlands,Europe,Food and catering,land_use,km2,6.11590101643073,2019,EXIOBASE v3.8.2 IOT_2016_ixi
POL,Poland,Europe,Food and catering,climate_change,kt CO2eq,5.971285427828403,2019,EXIOBASE v3.8.2 IOT_2016_ixi
PRT,Portugal,Europe,Food and catering,land_use,km2,5.8580748257648105,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NLD,Netherlands,Europe,Food and catering,climate_change,kt CO2eq,5.850473887182996,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Services,climate_change,kt CO2eq,5.820790178337851,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CAN,Canada,America,Coal and Petroleum,climate_change,kt CO2eq,5.734312174746093,2019,EXIOBASE v3.8.2 IOT_2016_ixi
SWE,Sweden,Europe,Paper Products,waste_generation,kt,5.399507549003991,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Electricity,climate_change,kt CO2eq,5.390403593786458,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,waste_generation,kt,5.351605843220721,2019,EXIOBASE v3.8.2 IOT_2016_ixi
SWE,Sweden,Europe,Paper Products,land_use,km2,5.329250870774855,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GBR,United Kingdom,Europe,Electricity,climate_change,kt CO2eq,5.296240343937787,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IDN,Indonesia,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,5.227839700377274,2019,EXIOBASE v3.8.2 IOT_2016_ixi
ZAF,South Africa,Africa,Coal and Petroleum,climate_change,kt CO2eq,5.21073959099388,2019,EXIOBASE v3.8.2 IOT_2016_ixi
