producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Construction,Scope 3,blue_water_consumption,Mm3,3.079168252823741e-05,3.16010529774792e-05
America,Construction,Scope 3,blue_water_consumption,Mm3,3.0351272015517876e-05,3.114906611604265e-05
Denmark,Transport,Scope 3,blue_water_consumption,Mm3,2.506916506354649e-05,2.5728117083170363e-05
Middle East,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,1.2413188218193716e-05,1.2739473334814702e-05
Middle East,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,6.2054215232296376e-06,6.3685332596989e-06
America,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,4.337375824108745e-06,4.451385307548633e-06
Middle East,Construction,Scope 3,blue_water_consumption,Mm3,7.546428679932984e-07,7.744789271798898e-07
Denmark,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,8.250482348914394e-08,8.467349244676864e-08
Denmark,Private travel,Outside protocol,climate_change,kt CO2eq,263.56770753446403,100.0
Denmark,Operational impact,Scope 1,climate_change,kt CO2eq,130.1262816237094,100.0
Denmark,Electricity,Scope 2,climate_change,kt CO2eq,58.513105531321685,79.78166992187239
Europe,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,4.82078068347456,6.573056236928435
Denmark,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,4.194322696580718,5.718890937096053
Europe,Electricity,Scope 2,climate_change,kt CO2eq,3.0115054133530736,4.1061387645449035
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.9693380785071491,1.321676740961258
Asia and Pacific,Electricity,Scope 2,climate_change,kt CO2eq,0.7946997200240707,1.0835601729603275
Middle East,Electricity,Scope 2,climate_change,kt CO2eq,0.4391635493597384,0.5987923734107973
America,Electricity,Scope 2,climate_change,kt CO2eq,0.33163602794058966,0.45218034276430474
Africa,Electricity,Scope 2,climate_change,kt CO2eq,0.15867662159390392,0.2163529987576228
Middle East,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.10802713373407273,0.1472932439308709
Africa,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.0002645246474083415,0.0003606750643996331
America,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,2.0236184086469234e-05,2.759170863697734e-05
Denmark,Transport,Scope 3,climate_change,kt CO2eq,915.8565709031494,16.369011185681067
Europe,Transport,Scope 3,climate_change,kt CO2eq,464.95814163289884,8.310149496178312
Asia and Pacific,Transport,Scope 3,climate_change,kt CO2eq,356.3256152044197,6.368571418638251
Denmark,Private travel,Scope 3,climate_change,kt CO2eq,340.3307,6.082695928727229
Europe,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,311.3212524936308,5.56421302888417
Europe,Chemical,Scope 3,climate_change,kt CO2eq,208.68754684896774,3.72985126406254
Europe,Food and catering,Scope 3,climate_change,kt CO2eq,180.01410533847704,3.217373765152038
Europe,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,164.1352436339576,2.9335724876213805
Asia and Pacific,Food and catering,Scope 3,climate_change,kt CO2eq,159.00894161625186,2.8419506139187587
Middle East,Transport,Scope 3,climate_change,kt CO2eq,155.05004903801103,2.771193730193799
Asia and Pacific,Electricity,Scope 3,climate_change,kt CO2eq,142.75841633394472,2.5515066311268195
Denmark,Food and catering,Scope 3,climate_change,kt CO2eq,122.62852427252909,2.1917271211158464
America,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,116.37752541426627,2.0800036553643473
Asia and Pacific,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,110.2237822903417,1.9700184314444094
Denmark,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,100.95872261584074,1.8044249637922058
Europe,Electricity,Scope 3,climate_change,kt CO2eq,99.68139321800241,1.7815953855970128
Asia and Pacific,Chemical,Scope 3,climate_change,kt CO2eq,85.8658374185449,1.5346713643010672
