indicator,unit,layer,origin,value,share_of_total_pct
climate_change,kt CO2eq,9,imported,17.201663858472482,99.66122793664618
climate_change,kt CO2eq,10,domestic,0.020923897134221218,0.21126227968268532
climate_change,kt CO2eq,10,imported,9.883303760376995,99.78873772031731
climate_change,kt CO2eq,11,domestic,0.008096378383189865,0.14086651459694283
climate_change,kt CO2eq,11,imported,5.739457187739882,99.85913348540306
climate_change,kt CO2eq,12,domestic,0.0034045468707746235,0.10104993739562823
climate_change,kt CO2eq,12,imported,3.365768120149518,99.89895006260436
climate_change,kt CO2eq,13,domestic,0.0015489048806755846,0.07772735021466802
climate_change,kt CO2eq,13,imported,1.991192229865082,99.92227264978533
climate_change,kt CO2eq,14,domestic,0.0007537926717550212,0.06344161204555598
climate_change,kt CO2eq,14,imported,1.1874137955253097,99.93655838795443
climate_change,kt CO2eq,15,domestic,0.0003870105226259237,0.054224580334956134
climate_change,kt CO2eq,15,imported,0.7133308647200812,99.94577541966504
climate_change,kt CO2eq,16,domestic,0.00020700250956246101,0.04793798141264323
climate_change,kt CO2eq,16,imported,0.4316061516168353,99.95206201858736
climate_change,kt CO2eq,17,domestic,0.00011421191239498894,0.043392767228705026
climate_change,kt CO2eq,17,imported,0.2630907406388585,99.9566072327713
climate_change,kt CO2eq,18,domestic,6.454147452823289e-05,0.039894208908032226
climate_change,kt CO2eq,18,imported,0.16171702105004718,99.96010579109199
climate_change,kt CO2eq,19,domestic,3.716895353524965e-05,0.036998177955046355
climate_change,kt CO2eq,19,imported,0.10042440939881168,99.96300182204494
climate_change,kt CO2eq,20,domestic,2.1739070022928248e-05,0.03438782194892398
climate_change,kt CO2eq,20,imported,0.06319561169798196,99.96561217805107
land_use,km2,0,domestic,0.0002110045990640106,0.2535373380664932
land_use,km2,0,imported,0.08301326551166506,99.7464626619335
land_use,km2,1,domestic,145.03565101924283,17.672518900085784
land_use,km2,1,imported,675.649005419511,82.32748109991421
land_use,km2,2,domestic,169.3184266866044,15.464276724194256
land_use,km2,2,imported,925.5819666935877,84.53572327580574
land_use,km2,3,domestic,40.938158706182826,4.33726768983697
land_use,km2,3,imported,902.9316144717234,95.66273231016304
land_use,km2,4,domestic,12.374883427295517,2.1889990185127153
land_use,km2,4,imported,552.9466778269191,97.81100098148728
land_use,km2,5,domestic,3.4857804881397767,1.121214252276399
land_use,km2,5,imported,307.40756403210725,98.87878574772361
land_use,km2,6,domestic,1.0038202584139437,0.5939320053462079
land_use,km2,6,imported,168.00883596791763,99.40606799465378
land_use,km2,7,domestic,0.299853534082377,0.3244214015463263
land_use,km2,7,imported,92.12732070693605,99.67557859845367
land_use,km2,8,domestic,0.09422680433182468,0.184475194835445
land_use,km2,8,imported,50.98407909792055,99.81552480516456
land_use,km2,9,domestic,0.03165662967327115,0.11081362154118314
land_use,km2,9,imported,28.535796751052292,99.88918637845882
land_use,km2,10,domestic,0.01157224766074596,0.07157428178268217
land_use,km2,10,imported,16.156592311618052,99.92842571821733
land_use,km2,11,domestic,0.00465743989357599,0.05032816976638606
land_use,km2,11,imported,9.249483760144006,99.94967183023363
land_use,km2,12,domestic,0.002063477229137819,0.0385505304843196
land_use,km2,12,imported,5.350592383050495,99.96144946951567
land_use,km2,13,domestic,0.0009941194750842516,0.03179855249316198
land_use,km2,13,imported,3.125310058358259,99.96820144750684
land_use,km2,14,domestic,0.0005112866970380573,0.027747259777410847
land_use,km2,14,imported,1.842145253586979,99.9722527402226
land_use,km2,15,domestic,0.00027574311499005123,0.02517067431707568
land_use,km2,15,imported,1.0952178122681817,99.97482932568293
land_use,km2,16,domestic,0.00015377183180938456,0.02341101411202154
land_use,km2,16,imported,0.656681643642238,99.97658898588797
land_use,km2,17,domestic,8.780825254024133e-05,0.022102408455719674
land_use,km2,17,imported,0.39719130599493113,99.97789759154428
land_use,km2,18,domestic,5.101144948169178e-05,0.021026155514771057
land_use,km2,18,imported,0.24255848245374656,99.97897384448524
land_use,km2,19,domestic,3.0021367763486855e-05,0.020034550005246753
land_use,km2,19,imported,0.14981795503113096,99.97996544999476
land_use,km2,20,domestic,1.784866265303783e-05,0.019010977644999774
land_use,km2,20,imported,0.09386823645266108,99.980989022355
material_extraction,kt,0,domestic,1.1028595359806732,0.7412054298019118
material_extraction,kt,0,imported,147.68983566532322,99.25879457019808
material_extraction,kt,1,domestic,1212.110604165534,77.1866756195037
material_extraction,kt,1,imported,358.25188966786413,22.81332438049629
material_extraction,kt,2,domestic,318.5709864134636,49.770690208203746
material_extraction,kt,2,imported,321.50650714910967,50.22930979179626
material_extraction,kt,3,domestic,97.22881920442623,21.204603812293804
material_extraction,kt,3,imported,361.29811232945053,78.79539618770619
material_extraction,kt,4,domestic,30.684734048246238,11.797528006511316
material_extraction,kt,4,imported,229.4098724770416,88.2024719934887
material_extraction,kt,5,domestic,9.446024245698796,6.098435676860807
material_extraction,kt,5,imported,145.4465538877345,93.9015643231392
material_extraction,kt,6,domestic,2.9309620988015155,3.144201654698073
material_extraction,kt,6,imported,90.28704427245223,96.85579834530193
material_extraction,kt,7,domestic,0.9267299970536872,1.6520932954537768
material_extraction,kt,7,imported,55.16755956902947,98.34790670454623
material_extraction,kt,8,domestic,0.3031420356887723,0.9002233985791708
material_extraction,kt,8,imported,33.37094776993321,99.09977660142083
material_extraction,kt,9,domestic,0.10411776413632283,0.5158807476728433
material_extraction,kt,9,imported,20.07840786916204,99.48411925232715
material_extraction,kt,10,domestic,0.03809393083291069,0.31488716723512633
material_extraction,kt,10,imported,12.0595508120111,99.68511283276487
material_extraction,kt,11,domestic,0.015004137499449025,0.2066176929548287
material_extraction,kt,11,imported,7.2467832171436335,99.79338230704518
material_extraction,kt,12,domestic,0.006381720053441581,0.14608422483108044
material_extraction,kt,12,imported,4.362139289535969,99.85391577516891
material_extraction,kt,13,domestic,0.0029162542140981637,0.11069114934279566
material_extraction,kt,13,imported,2.631670369389308,99.88930885065722
material_extraction,kt,14,domestic,0.0014166996914728456,0.08893742417752484
material_extraction,kt,14,imported,1.5915006852836322,99.91106257582247
material_extraction,kt,15,domestic,0.0007227879910685717,0.07486664347901661
material_extraction,kt,15,imported,0.9647111589323732,99.92513335652097
material_extraction,kt,16,domestic,0.0003830820768072688,0.06532478613184538
material_extraction,kt,16,imported,0.5860437544903911,99.93467521386815
material_extraction,kt,17,domestic,0.0002091220924986454,0.05859062251229166
material_extraction,kt,17,imported,0.3567116333658922,99.94140937748772
material_extraction,kt,18,domestic,0.00011684278628198416,0.053690159631692574
material_extraction,kt,18,imported,0.21750736821161834,99.9463098403683
material_extraction,kt,19,domestic,6.651596971067775e-05,0.05004718121128611
material_extraction,kt,19,imported,0.13284000963432827,99.9499528187887
material_extraction,kt,20,domestic,3.8454294779993914e-05,0.04730497205357229
material_extraction,kt,20,imported,0.08125172115748515,99.95269502794643
waste_generation,kt,0,domestic,64.4616490553532,84.47720507343062
waste_generation,kt,0,imported,11.844910802209343,15.522794926569375
waste_generation,kt,1,domestic,31.686504430380335,49.60650984872694
waste_generation,kt,1,imported,32.189193591929765,50.39349015127306
waste_generation,kt,2,domestic,13.771048112676896,34.211901544510546
waste_generation,kt,2,imported,26.48116673355261,65.78809845548945
waste_generation,kt,3,domestic,3.8112543400769177,19.57707176059711
waste_generation,kt,3,imported,15.656694629430625,80.42292823940288
waste_generation,kt,4,domestic,1.0885063070658074,11.174827426029982
waste_generation,kt,4,imported,8.652192726283962,88.82517257397001
waste_generation,kt,5,domestic,0.310081046045601,6.09127007557041
waste_generation,kt,5,imported,4.7805001003923,93.90872992442958
waste_generation,kt,6,domestic,0.09063060448909065,3.2949766202665574
waste_generation,kt,6,imported,2.659938365610576,96.70502337973345
waste_generation,kt,7,domestic,0.027248524817679618,1.7854155772135758
waste_generation,kt,7,imported,1.4989241581946005,98.21458442278642
waste_generation,kt,8,domestic,0.008515905003199917,0.9847724989671169
waste_generation,kt,8,imported,0.8562427079893301,99.01522750103288
waste_generation,kt,9,domestic,0.0028009039730340257,0.5621866765713436
waste_generation,kt,9,imported,0.4954150961136526,99.43781332342866
waste_generation,kt,10,domestic,0.0009856033008441485,0.33884705381702274
waste_generation,kt,10,imported,0.2898840648109447,99.66115294618298
waste_generation,kt,11,domestic,0.0003765534867446928,0.2194168252362033
waste_generation,kt,11,imported,0.17123903995707215,99.7805831747638
waste_generation,kt,12,domestic,0.00015732124182353869,0.15406749859396712
waste_generation,kt,12,imported,0.10195457338829994,99.84593250140604
waste_generation,kt,13,domestic,7.158837298373071e-05,0.11703748358822053
waste_generation,kt,13,imported,0.06109545895999214,99.88296251641178
waste_generation,kt,14,domestic,3.5032820093876095e-05,0.09509652840452901
waste_generation,kt,14,imported,0.036804188002826976,99.90490347159546
waste_generation,kt,15,domestic,1.8144996117072133e-05,0.08142514552127016
waste_generation,kt,15,imported,0.02226612112451545,99.91857485447872
waste_generation,kt,16,domestic,9.805074014059808e-06,0.07247999918313788
waste_generation,kt,16,imported,0.013518166952151345,99.92752000081686
waste_generation,kt,17,domestic,5.466870374395961e-06,0.06637440466882082
waste_generation,kt,17,imported,0.008230946550843086,99.93362559533116
waste_generation,kt,18,domestic,3.1207084223154616e-06,0.06207882735968001
waste_generation,kt,18,imported,0.005023888587733223,99.93792117264032
waste_generation,kt,19,domestic,1.8141411610042191e-06,0.05900353853434853
waste_generation,kt,19,imported,0.0030728169844758567,99.94099646146566
waste_generation,kt,20,domestic,1.0701031731397137e-06,0.05679897853682041
waste_generation,kt,20,imported,0.0018829482378363038,99.94320102146318
