model_id,indicator_id,demand_component_id,purchased_region_id,purchased_industry_id,value
1,1,1,1,126,0.0002250050035091
1,1,1,1,127,0.0001812761619516
1,1,1,1,128,1.1238295871736982e-05
1,1,1,1,129,5.663510150846971e-06
1,1,1,1,130,6.753132905920357e-06
1,1,1,1,131,0.0001614016705408
1,1,1,1,132,1.1928281761765344e-05
1,1,1,1,133,6.33462583885588e-06
1,1,1,1,134,0.0002311351071367
1,1,1,1,135,0.0011246968716167
1,1,1,1,136,9.810368072448731e-06
1,1,1,1,137,1.847517811517574e-05
1,1,1,1,138,3.807209565990037e-05
1,1,1,1,139,7.173935727842482e-07
1,1,1,1,140,8.639202457215146e-07
1,1,1,1,141,1.0400818492732991e-06
1,1,1,1,142,3.5384851629256963e-06
1,1,1,1,143,7.09275211388367e-08
1,1,1,1,144,2.928851201595329e-07
1,1,1,1,145,5.268688897214174e-07
1,1,1,1,146,1.8663893723360736e-07
1,1,1,1,147,9.497183739332123e-09
1,1,1,1,148,1.6570598683722093e-07
1,1,1,1,149,3.2751945614451426e-06
1,1,1,1,150,2.6363911679037207e-10
1,1,1,1,151,3.354029892455666e-07
1,1,1,1,152,5.839440540654544e-07
1,1,1,1,153,1.146996854436095e-07
1,1,1,1,154,8.190360082778233e-08
1,1,1,1,155,3.5799960647668255e-08
1,1,1,1,156,3.351585807054117e-07
1,1,1,1,157,7.052458111277768e-08
1,1,1,1,158,1.5140931958470938e-07
1,1,1,1,159,7.374207084383788e-07
1,1,1,1,160,0.0001767022999546
1,1,1,1,161,3.749701181071298e-05
1,1,1,2,2,8.200601493226211e-06
1,1,1,2,3,0.0002088430533199
1,1,1,2,4,0.0001998234545825
1,1,1,2,5,1.3922107808450968e-10
1,1,1,2,6,1.166777289695454e-08
1,1,1,2,7,3.480086353719391e-06
1,1,1,2,8,0.0001167028908434
1,1,1,2,9,0.0001332050468669
1,1,1,2,10,2.5139746559395817e-05
1,1,1,2,11,2.24274144488569e-06
1,1,1,2,12,2.127851896120888e-05
1,1,1,2,13,1.139068305938647e-06
1,1,1,2,14,6.092206825248629e-05
1,1,1,2,15,1.4427120899075976e-12
1,1,1,2,18,9.276055363831703e-05
1,1,1,2,19,8.612895724438223e-06
1,1,1,2,32,0.0002205199118795
1,1,1,2,33,1.5158567001478e-05
1,1,1,2,34,8.904106996581047e-05
1,1,1,2,35,0.0007379378085219
1,1,1,2,36,0.0012845958695906
1,1,1,2,37,0.0001410116816144
1,1,1,2,38,0.0032902320279083
1,1,1,2,39,0.0003688385242521
1,1,1,2,40,0.0120123878428166
1,1,1,2,41,0.0011477430353201
1,1,1,2,42,0.000856927319785
1,1,1,2,43,0.0364682686143638
1,1,1,2,44,0.0046400771329862
1,1,1,2,45,0.0152189464916381
1,1,1,2,46,5.533261862968451e-05
1,1,1,2,47,0.0040949255017311
1,1,1,2,48,0.0002480493850251
1,1,1,2,49,1.7881638697484567e-06
1,1,1,2,50,1.251543616993205e-05
1,1,1,2,51,3.6167399071713095e-06
1,1,1,2,52,2.0451149248296533e-05
1,1,1,2,53,6.43091238195219e-05
1,1,1,2,54,9.870232957298252e-05
1,1,1,2,55,0.0001663739565749
1,1,1,2,56,8.88908060746264e-05
1,1,1,2,57,0.0113859210182375
1,1,1,2,58,0.0008296164579768
1,1,1,2,59,0.483003993108566
1,1,1,2,60,0.0040279418693425
1,1,1,2,61,0.0010494271462723
1,1,1,2,62,0.000216936329672
1,1,1,2,63,0.0002992164797257
1,1,1,2,64,0.0125776024661023
1,1,1,2,65,9.126190062249388e-05
1,1,1,2,66,2.3669866910556233e-05
1,1,1,2,67,2.579749493536434e-05
1,1,1,2,68,7.159029149674784e-05
1,1,1,2,69,0.0003054349806095
1,1,1,2,70,0.0001406191122027
