model_id,capital_treatment_id,indicator_id,producing_region_id,producing_industry_id,value
1,4,2,1,138,0.0022125896857718
1,4,2,1,139,0.0026975588999663
1,4,2,1,140,0.0026373223342878
1,4,2,1,141,0.0345049857309063
1,4,2,1,142,0.116142610032229
1,4,2,1,143,0.0039606805369154
1,4,2,1,144,0.0010775936529393
1,4,2,1,145,0.0107656616951632
1,4,2,1,146,0.0002754044545063
1,4,2,1,147,2.981919682130791e-06
1,4,2,1,148,0.0002589504378263
1,4,2,1,149,0.0161749518071255
1,4,2,1,150,1.6430938287250727e-06
1,4,2,1,151,0.0742532112626076
1,4,2,1,152,0.1398099951838972
1,4,2,1,153,0.1450202867789728
1,4,2,1,154,0.1157180490711104
1,4,2,1,155,0.0062891930355766
1,4,2,1,156,9.145501384686416e-05
1,4,2,1,157,0.009022847262942
1,4,2,1,158,0.0156286635279317
1,4,2,1,159,0.0004973286525897
1,4,2,1,160,0.0018896274766443
1,4,2,1,161,0.0008842636384281
1,4,2,1,162,6.810527358475767e-05
1,4,2,2,2,0.4412919903589857
1,4,2,2,3,0.1276644881445646
1,4,2,2,4,0.0583319088575032
1,4,2,2,5,0.0789282019229368
1,4,2,2,6,0.0410179491830843
1,4,2,2,7,0.1109644956586981
1,4,2,2,8,0.0351784822773609
1,4,2,2,9,0.4927134971782757
1,4,2,2,10,0.1636459443442534
1,4,2,2,11,0.0360323310199696
1,4,2,2,12,0.1177456388541201
1,4,2,2,13,0.000453756932078
1,4,2,2,14,0.4076337690735205
1,4,2,2,15,0.0028724462206351
1,4,2,2,18,0.0379393413251725
1,4,2,2,19,0.0100559308979789
1,4,2,2,20,0.0245977178608738
1,4,2,2,23,4.385308507088151e-05
1,4,2,2,24,1.5863794549115948e-05
1,4,2,2,27,0.0001021895241789
1,4,2,2,28,0.0001445503416891
1,4,2,2,29,0.0001213873563461
1,4,2,2,30,0.0007102431638068
1,4,2,2,31,0.0097214517620705
1,4,2,2,32,0.0832091442580902
1,4,2,2,33,0.2896072543537106
1,4,2,2,34,0.0479701637210066
1,4,2,2,35,0.0250915435298507
1,4,2,2,36,0.026893011516519
