model_id,indicator_id,demand_component_id,producing_region_id,producing_industry_id,value
1,1,1,2,76,0.0008377101669183
1,1,1,2,77,1.555062307748679e-05
1,1,1,2,78,0.0001170542604334
1,1,1,2,79,4.038734287503695e-05
1,1,1,2,80,0.0003207367572727
1,1,1,2,81,0.0003964436202836
1,1,1,2,82,6.682409926260835e-06
1,1,1,2,84,4.035806790499008e-06
1,1,1,2,85,0.0010359877339166
1,1,1,2,86,3.190592627502144e-06
1,1,1,2,87,1.5473270374172886e-08
1,1,1,2,88,1.4591126297014414e-07
1,1,1,2,89,5.2867284908484854e-08
1,1,1,2,90,6.037597287311106e-07
1,1,1,2,91,6.216662621665537e-05
1,1,1,2,92,3.0425979983952705e-06
1,1,1,2,93,3.220117372910443e-07
1,1,1,2,95,0.0001083949591622
1,1,1,2,96,0.0011084526008688
1,1,1,2,97,0.0028261444431944
1,1,1,2,98,0.0061113863950667
1,1,1,2,101,0.0002612121543794
1,1,1,2,102,0.0006241860240131
1,1,1,2,113,5.749619353503603e-05
1,1,1,2,114,3.010650240596185e-07
1,1,1,2,115,2.9155312701594386e-07
1,1,1,2,116,9.902099223389836e-09
1,1,1,2,117,0.0725866831438918
1,1,1,2,118,6.849505980207273e-06
1,1,1,2,119,8.562057773418448e-08
1,1,1,2,120,5.5710264045214154e-05
1,1,1,2,121,0.0001596361132077
1,1,1,2,122,6.255715193419872e-06
1,1,1,2,126,3.510525536151648e-05
1,1,1,2,127,8.10916347886561e-08
1,1,1,2,128,2.3454900007109287e-06
1,1,1,2,132,3.529470858989694e-07
1,1,1,2,133,1.161422068239677e-05
1,1,1,2,135,0.000283902136582
1,1,1,2,136,1.718647570588759e-06
1,1,1,2,138,2.140594183041618e-07
1,1,1,2,139,3.471709708401139e-05
1,1,1,2,140,2.520876224433416e-05
1,1,1,2,141,5.576674607590287e-06
1,1,1,2,142,3.935470964480888e-05
1,1,1,2,143,2.985011760222338e-06
1,1,1,2,144,1.177262835478956e-05
1,1,1,2,145,2.676078179849593e-05
1,1,1,2,146,2.631157860797979e-06
1,1,1,2,147,3.0773279604270173e-07
1,1,1,2,148,6.824312461443044e-06
1,1,1,2,149,3.325240958941411e-05
1,1,1,2,151,2.813148037317484e-06
1,1,1,2,152,7.591189132497299e-06
1,1,1,2,153,2.0055713379689197e-06
1,1,1,2,154,1.8837267637979369e-06
1,1,1,2,155,2.865218624315236e-06
1,1,1,2,156,3.9540535695194815e-06
1,1,1,2,157,2.058634212205887e-07
1,1,1,2,158,2.338475934584192e-07
1,1,1,2,159,3.200444913469595e-06
1,1,1,2,160,4.0278050137285107e-07
1,1,1,3,1,0.0027507107797626
1,1,1,3,2,6.236941950710519e-05
1,1,1,3,3,0.0018986370439903
1,1,1,3,4,0.001251496907266
1,1,1,3,5,0.0030304042143232
1,1,1,3,6,7.073996476159654e-10
1,1,1,3,7,8.607105904519007e-07
1,1,1,3,8,0.0005932579376964
1,1,1,3,9,0.0007403565160415
1,1,1,3,10,5.147117295288116e-05
1,1,1,3,11,2.7166953115799417e-05
1,1,1,3,12,0.000137429642637
1,1,1,3,13,1.4554608445075691e-05
1,1,1,3,14,9.324544642391008e-08
1,1,1,3,15,2.194936162540248e-10
1,1,1,3,18,4.437117136183991e-06
1,1,1,3,19,1.197426772625257e-06
1,1,1,3,20,3.50512068204555e-07
1,1,1,3,21,7.970495306350989e-09
1,1,1,3,22,2.0821702829559508e-08
1,1,1,3,23,4.904535626078661e-10
1,1,1,3,26,4.040647205116549e-07
1,1,1,3,29,9.937063032003671e-07
1,1,1,3,30,1.243755420118962e-08
1,1,1,3,31,1.3679728568146231e-08
1,1,1,3,32,5.39145619052359e-07
1,1,1,3,33,3.410074106252101e-06
1,1,1,3,34,6.369632919550362e-07
1,1,1,3,35,1.794025812314647e-05
1,1,1,3,36,2.7175846443051975e-05
1,1,1,3,37,6.06784126755809e-06
1,1,1,3,38,2.2634396629848818e-05
1,1,1,3,39,0.0001123424703533
1,1,1,3,40,0.0001576102851467
1,1,1,3,41,5.654014805128636e-07
1,1,1,3,42,1.1610183450799011e-05
1,1,1,3,43,0.0008301377708161
1,1,1,3,44,0.0002716736677063
1,1,1,3,45,0.0012455030624512
1,1,1,3,46,8.38067619198019e-08
1,1,1,3,47,9.399831874227684e-05
1,1,1,3,48,0.0002138867876676
1,1,1,3,49,9.515803180854232e-05
1,1,1,3,50,2.4876539308419964e-06
1,1,1,3,51,2.1639611173633207e-08
1,1,1,3,52,2.096485184988556e-05
1,1,1,3,53,7.087783565586555e-06
1,1,1,3,54,0.0006463996969589
1,1,1,3,55,5.755253200526588e-05
1,1,1,3,56,6.125610474842679e-07
1,1,1,3,57,4.644753909614798e-05
1,1,1,3,59,0.0002502538166042
1,1,1,3,60,0.0007901702964791
1,1,1,3,61,5.848974533666758e-06
1,1,1,3,62,3.075868338953371e-05
1,1,1,3,63,0.0006488098088846
1,1,1,3,64,0.0007528173077514
1,1,1,3,65,7.236414397029115e-06
1,1,1,3,66,4.470442207042799e-07
1,1,1,3,67,0.000137388766133
1,1,1,3,68,0.0001203985108753
1,1,1,3,69,0.0001602226550977
1,1,1,3,70,2.197087266206853e-05
1,1,1,3,71,0.0007511302666039
1,1,1,3,72,0.0006009494751709
1,1,1,3,73,0.0002246273394472
1,1,1,3,74,4.3637702403675403e-07
1,1,1,3,76,3.714550611255949e-06
1,1,1,3,77,1.1865090570527758e-05
1,1,1,3,78,1.2277302096189828e-05
1,1,1,3,80,1.8576807199820497e-05
1,1,1,3,81,3.192753018545583e-07
1,1,1,3,82,1.2362543143107248e-07
1,1,1,3,84,1.447550191883254e-06
1,1,1,3,85,0.0003812975671251
1,1,1,3,86,0.0001989171991205
1,1,1,3,87,1.2472956137081952e-05
1,1,1,3,88,0.000149238980667
1,1,1,3,89,1.5804886101602385e-05
1,1,1,3,90,2.9253075090847737e-05
1,1,1,3,91,1.8252686788242068e-05
1,1,1,3,92,5.998955695533921e-06
1,1,1,3,93,0.0002420124243291
1,1,1,3,94,1.1700053241525882e-08
1,1,1,3,95,3.6638899141215954e-05
1,1,1,3,96,0.0019874627205501
1,1,1,3,97,5.428389259838109e-05
1,1,1,3,98,0.0014307324005197
1,1,1,3,99,3.520104733224564e-07
1,1,1,3,100,9.987324101274547e-09
1,1,1,3,101,3.6185560494547594e-07
1,1,1,3,102,2.2152879331076628e-10
1,1,1,3,107,1.733090052430178e-08
1,1,1,3,108,9.66127254131424e-07
1,1,1,3,109,2.3161268661419657e-06
1,1,1,3,110,2.571626466665167e-06
1,1,1,3,111,1.820957412835528e-05
1,1,1,3,112,3.72852600881124e-08
1,1,1,3,113,1.7886361771456963e-05
1,1,1,3,115,0.0001861658355876
1,1,1,3,116,9.63690724331686e-05
1,1,1,3,117,0.0016457787510098
1,1,1,3,118,0.0005944288756186
1,1,1,3,119,0.0001006582309324
1,1,1,3,120,5.9101380608953875e-06
1,1,1,3,121,4.740755914376308e-05
1,1,1,3,122,1.3416086415831046e-06
1,1,1,3,126,5.70420215261532e-06
1,1,1,3,127,3.627907007282844e-06
1,1,1,3,128,1.2663053597900518e-07
1,1,1,3,129,1.402661113293911e-07
1,1,1,3,130,2.525977646128196e-08
1,1,1,3,131,1.866073176997691e-05
1,1,1,3,132,8.267141714117452e-07
1,1,1,3,133,5.936154025016108e-06
1,1,1,3,134,9.40320845029118e-08
1,1,1,3,135,2.008234040893546e-05
1,1,1,3,137,3.8711258430544506e-09
1,1,1,3,138,8.69500582985197e-09
1,1,1,3,139,9.96784724460586e-09
1,1,1,3,140,3.799045986997477e-08
1,1,1,3,141,2.5712740730775276e-08
1,1,1,3,142,3.5982087311722214e-06
1,1,1,3,143,1.4702706307178286e-10
1,1,1,3,144,2.0845956527849038e-10
1,1,1,3,145,1.9305361015697673e-06
1,1,1,3,149,2.386697390520376e-08
1,1,1,3,151,1.3603317700860566e-06
1,1,1,3,152,2.199574395427888e-06
