model_id,indicator_id,scope_id,producing_region_id,producing_industry_id,value
1,2,3,13,109,1.934687952604439e-13
1,2,3,13,111,0.0418425074529687
1,2,3,14,96,0.0290179300253308
1,2,3,14,97,0.0041889987234434
1,2,3,14,98,2.0032494699347465e-06
1,2,3,14,99,0.0001792842210549
1,2,3,14,100,0.0006558760511775
1,2,3,14,101,0.0006111278788375
1,2,3,14,102,0.0005613277999725
1,2,3,14,107,2.0260612486280804e-06
1,2,3,14,108,4.791867919004016e-07
1,2,3,14,109,5.074737247074452e-06
1,2,3,14,111,0.1029017710399108
1,2,3,15,96,0.0079672412370526
1,2,3,15,97,0.0088782667222844
1,2,3,15,99,5.436760937084692e-19
1,2,3,15,100,3.50537558143106e-07
1,2,3,15,101,0.0001474478026203
1,2,3,15,102,0.0001765685235445
1,2,3,16,96,0.0096571716628692
1,2,3,16,97,0.0080731686316836
1,2,3,16,99,1.3694179029762984e-07
1,2,3,16,100,4.862411729448098e-07
1,2,3,16,101,0.0013995600176706
1,2,3,16,102,0.0005000941059363
1,2,3,16,103,1.0765191204259804e-06
1,2,3,16,107,0.0003013366096569
1,2,3,16,108,1.996498104289676e-05
1,2,3,16,109,0.0016262900944162
1,2,3,16,111,0.5315346940902019
1,2,3,17,96,9.683345943273036e-06
1,2,3,17,97,9.082395107451849e-08
1,2,3,17,98,2.483109153982307e-07
1,2,3,17,99,6.247132704247535e-08
1,2,3,17,100,4.709924417488308e-05
1,2,3,17,101,6.342444836583555e-09
1,2,3,17,102,1.957448679819091e-06
1,2,3,17,108,4.233386958627863e-05
1,2,3,17,109,0.0007473798658145
1,2,3,17,111,0.0012465398763746
1,2,3,18,97,0.0016214132862684
1,2,3,18,99,3.604171331052915e-08
1,2,3,18,100,2.1878295441556983e-06
1,2,3,18,101,4.3525139251143696e-08
1,2,3,18,102,0.0001033791655775
1,2,3,18,103,2.121998195171312e-09
1,2,3,18,108,3.895587558127376e-08
1,2,3,18,109,7.891764940031143e-07
1,2,3,19,96,4.3763120428943935e-08
1,2,3,19,97,1.5099230770402772e-05
1,2,3,19,99,1.731789679817641e-05
1,2,3,19,100,9.027299896305496e-07
1,2,3,19,101,2.04387843689211e-06
1,2,3,19,102,8.041766813430306e-05
1,2,3,19,108,3.448362616342865e-06
1,2,3,19,109,2.9849212448690765e-05
1,2,3,19,111,0.0164343017941289
1,2,3,20,101,2.175530229090519e-06
1,2,3,20,102,2.6611073720685624e-10
1,2,3,20,103,6.292470390649084e-16
1,2,3,20,108,3.710623482761756e-11
1,2,3,20,109,1.7531931056685183e-10
1,2,3,21,96,0.0304542001146103
1,2,3,21,97,0.0061799145777634
1,2,3,21,98,0.0001316144528108
1,2,3,21,99,1.898926626253527e-07
1,2,3,21,100,0.0007467826528357
1,2,3,21,101,1.1307456828436335e-06
1,2,3,21,102,0.0001058259453002
1,2,3,21,103,0.0001061038575957
1,2,3,21,107,3.0006150657002323e-05
1,2,3,21,108,0.0013771802031932
1,2,3,21,109,2.0237043643101953e-06
1,2,3,21,111,0.1326770053393539
1,2,3,22,96,0.0037386062253854
1,2,3,22,97,6.605433178393735e-05
1,2,3,22,99,0.0003446112089769
1,2,3,22,100,0.0015003047264888
1,2,3,22,101,0.0001657927062718
1,2,3,22,102,0.0001667408748264
1,2,3,22,107,1.152493669339871e-05
1,2,3,22,108,0.0009247609734287
1,2,3,22,109,0.0017489944132014
1,2,3,22,111,0.3927467347664568
1,2,3,23,96,0.0026101537704726
1,2,3,23,97,0.0005397239612548
1,2,3,23,99,5.230211478077964e-09
1,2,3,23,100,4.164358961891526e-07
1,2,3,23,101,0.0001867693127062
1,2,3,23,102,4.390472575051581e-06
1,2,3,23,103,1.8340733474041695e-06
1,2,3,23,106,4.1792224965436856e-10
1,2,3,23,108,1.862919344814627e-07
