producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
AUS,Australia,Asia and Pacific,Scope 3,land_use,km2,248.94126883440674,7.468915723724706
RoW America,RoW America,America,Scope 3,land_use,km2,182.53520778710546,5.476553124188295
RUS,Russia,Europe,Scope 3,land_use,km2,154.99511182919076,4.650275276822688
RoW Europe,RoW Europe,Europe,Scope 3,land_use,km2,137.3714057366531,4.121516119447233
NOR,Norway,Europe,Scope 3,land_use,km2,135.01101155377447,4.050697868583342
CHN,China,Asia and Pacific,Scope 3,land_use,km2,130.26591538810348,3.908332066688355
SWE,Sweden,Europe,Scope 3,land_use,km2,116.36995931834356,3.4914155575391375
USA,United States,America,Scope 3,land_use,km2,110.9615059283645,3.3291472331484666
RoW Middle East,RoW Middle East,Middle East,Scope 3,land_use,km2,103.97548063873835,3.1195474573606465
CAN,Canada,America,Scope 3,land_use,km2,80.3893686199009,2.411899891555842
BRA,Brazil,America,Scope 3,land_use,km2,77.92646013824536,2.3380059326680196
IND,India,Asia and Pacific,Scope 3,land_use,km2,66.665251745386,2.000139026038262
LVA,Latvia,Europe,Scope 3,land_use,km2,41.91462658230041,1.2575528959115065
DEU,Germany,Europe,Scope 3,land_use,km2,40.69852524830521,1.2210665454656862
POL,Poland,Europe,Scope 3,land_use,km2,40.349839546656945,1.2106050252369487
FIN,Finland,Europe,Scope 3,land_use,km2,29.060480884607593,0.8718935339018722
FRA,France,Europe,Scope 3,land_use,km2,26.730818455490752,0.8019973193076749
ESP,Spain,Europe,Scope 3,land_use,km2,25.63353405499186,0.769075800305795
GRC,Greece,Europe,Scope 3,land_use,km2,19.73257513309527,0.5920309692772986
TUR,Turkey,Middle East,Scope 3,land_use,km2,18.636032210366324,0.5591316966269404
IRL,Ireland,Europe,Scope 3,land_use,km2,17.964644409656138,0.5389882349786556
EST,Estonia,Europe,Scope 3,land_use,km2,17.86100176668544,0.5358786735573744
GBR,United Kingdom,Europe,Scope 3,land_use,km2,16.880383657938772,0.5064574608927153
ITA,Italy,Europe,Scope 3,land_use,km2,16.538542835984277,0.4962013056876686
LTU,Lithuania,Europe,Scope 3,land_use,km2,14.517025502169922,0.43555028277369984
ROU,Romania,Europe,Scope 3,land_use,km2,14.247918712812274,0.4274763465404455
IDN,Indonesia,Asia and Pacific,Scope 3,land_use,km2,14.146293202106202,0.4244273045780659
BGR,Bulgaria,Europe,Scope 3,land_use,km2,9.944766102055459,0.2983700543352438
HUN,Hungary,Europe,Scope 3,land_use,km2,9.886837594068407,0.2966320414047955
ZAF,South Africa,Africa,Scope 3,land_use,km2,9.840734639816729,0.29524882727749235
SVK,Slovakia,Europe,Scope 3,land_use,km2,8.343439472351688,0.2503258963721486
CZE,Czech Republic,Europe,Scope 3,land_use,km2,7.8096314090247185,0.2343102013598205
NLD,Netherlands,Europe,Scope 3,land_use,km2,7.3128416114853785,0.21940515509087194
PRT,Portugal,Europe,Scope 3,land_use,km2,6.106311651351706,0.1832059719157365
CHE,Switzerland,Europe,Scope 3,land_use,km2,5.267698089888017,0.15804528222908049
MEX,Mexico,America,Scope 3,land_use,km2,5.237657701001742,0.15714398878765937
AUT,Austria,Europe,Scope 3,land_use,km2,4.681537947073685,0.14045888232124168
HRV,Croatia,Europe,Scope 3,land_use,km2,4.095006161796382,0.12286133212784243
BEL,Belgium,Europe,Scope 3,land_use,km2,3.197091636581695,0.09592145210177153
CYP,Cyprus,Middle East,Scope 3,land_use,km2,3.162324051730858,0.09487832991321594
KOR,South Korea,Asia and Pacific,Scope 3,land_use,km2,2.5616287126616726,0.07685583455055921
TWN,Taiwan,Asia and Pacific,Scope 3,land_use,km2,2.1868154931626593,0.06561041766293892
SVN,Slovenia,Europe,Scope 3,land_use,km2,1.4002182915674146,0.04201036036934254
JPN,Japan,Asia and Pacific,Scope 3,land_use,km2,1.2251109133207512,0.03675666235112969
LUX,Luxembourg,Europe,Scope 3,land_use,km2,0.6089665045213171,0.01827065284168064
MLT,Malta,Europe,Scope 3,land_use,km2,0.03431043724358798,0.0010294065159078417
DNK,Denmark,Denmark,Outside protocol,material_extraction,kt,9.9254,100.0
POL,Poland,Europe,Scope 2,material_extraction,kt,0.14516712709607218,71.33268762994624
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,material_extraction,kt,0.027571631939459797,13.548236766328822
RoW Europe,RoW Europe,Europe,Scope 2,material_extraction,kt,0.018460826958215062,9.071340248604232
RoW America,RoW America,America,Scope 2,material_extraction,kt,0.006526654421681426,3.2070883432328077
RoW Middle East,RoW Middle East,Middle East,Scope 2,material_extraction,kt,0.002676782863383076,1.315326132482678
CZE,Czech Republic,Europe,Scope 2,material_extraction,kt,0.001882963889979405,0.9252568241119623
RUS,Russia,Europe,Scope 2,material_extraction,kt,0.0005548497506087755,0.27264384667153924
AUT,Austria,Europe,Scope 2,material_extraction,kt,0.00027657559833286615,0.13590460289874834
HUN,Hungary,Europe,Scope 2,material_extraction,kt,0.00026292575103780346,0.12919729723821274
CAN,Canada,America,Scope 2,material_extraction,kt,8.240011076051163e-05,0.04049003020954311
RoW Africa,RoW Africa,Africa,Scope 2,material_extraction,kt,4.442210930150886e-05,0.02182827827522391
