country_producing,sector_producing,background_year,analysis_year,country_consuming,sector_consuming,value,unit
DNK,Sea and coastal water transport,2022,2022,DNK,Re-processing of secondary paper into new pulp,0.3270558388774325,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Incineration of waste: Paper,0.3145424545486294,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Incineration of waste: Food,0.3142834625399435,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Cultivation of crops nec,0.2832716783313224,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Pigs farming,0.2781186976416508,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.2373459159309628,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Processing of meat poultry,0.2203321561617327,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Recycling of bottles by direct reuse,0.2162911729244439,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,P- and other fertiliser,0.204348346968985,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Aluminium production,0.2041930626101672,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Raw milk,0.1951771049823161,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Cultivation of wheat,0.1838210190574865,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Cultivation of cereal grains nec,0.1738068171232679,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Precious metals production,0.1726856129363173,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Biogasification of sewage slugde, incl. land application",0.1631251229635655,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.1562148311127633,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",0.1321804301949608,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Incineration of waste: Oil/Hazardous waste,0.127828747893974,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Lead, zinc and tin production",0.123332978471657,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Distribution and trade of electricity,0.1196885537617188,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Landfill of waste: Inert/metal/hazardous,0.0988556305731261,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.0967342565090197,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0928541904963729,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Insurance and pension funding, except compulsory social security (66)",0.092602796109451,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Other non-ferrous metal production,0.0854568708651761,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Incineration of waste: Wood,0.0820397724681224,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of electricity by coal,0.0811618702125045,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Recycling of waste and scrap,0.0752427862823472,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Meat animals nec,0.0728152123891786,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Incineration of waste: Textiles,0.0702774097289855,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Manufacture of gas; distribution of gaseous fuels through mains,0.0692817465181582,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Incineration of waste: Plastic,0.0680682702088639,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Pulp,0.0657758899905219,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Waste water treatment, other",0.064881884088706,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of electricity by gas,0.0564760394017688,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,N-fertiliser,0.0533594911507849,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Cultivation of oil seeds,0.04858505691468,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Incineration of waste: Metals and Inert materials,0.0438002721933218,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Steam and hot water supply,0.0406731913518488,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Cattle farming,0.0342831708603726,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Waste water treatment, food",0.0306906825224867,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Mining of coal and lignite; extraction of peat (10),0.0273371839325155,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Cultivation of vegetables, fruit, nuts",0.0242781273018373,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Transmission of electricity,0.0230898970159912,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of electricity by wind,0.0213352713850054,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Poultry farming,0.0198394584698366,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Cultivation of sugar cane, sugar beet",0.0179647200101756,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Quarrying of stone,0.0177581795474832,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Biogasification of food waste, incl. land application",0.0117810001340244,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",0.0114453046760277,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Composting of food waste, incl. land application",0.0113071345942328,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Retail sale of automotive fuel,0.0111891318824471,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Paper,0.0077367178973676,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of electricity by biomass and waste,0.0063251377214877,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of electricity by petroleum and other oil derivatives,0.0036857581779472,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Animal products nec,0.0018808970800768,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Landfill of waste: Food,0.001483560830019,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Biogasification of paper, incl. land application",0.0011815754816674,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Landfill of waste: Paper,0.0009885007550223,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Mining of nickel ores and concentrates,0.0007715584815229,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Landfill of waste: Wood,0.0001631834600773,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Landfill of waste: Textiles,0.0001326309031324,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Processing of nuclear fuel,5.77114518310843e-05,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Landfill of waste: Plastic,4.250801993381551e-05,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of electricity by hydro,2.32180584773571e-05,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Mining of iron ores,1.9483560739422624e-06,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Production of electricity by solar photovoltaic,1.0544076371226333e-06,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,Mining of aluminium ores and concentrates,1.7333165490877685e-07,M.EUR
DNK,Sea and coastal water transport,2022,2022,DNK,"Wool, silk-worm cocoons",8.74052781924433e-08,M.EUR
