pharma_scenario,indicator,unit,group,deterministic,median,mean,sd,cv_pct,p2_5,p16,p84,p97_5,share_pct,share_p2_5,share_p97_5,draws,seed
A,Material extraction (kt),kt,Other,1198.098489815724,1197.1996476478892,1201.8756638922644,100.76361066534403,8.383863130984942,1016.8439921386997,1102.3398674979478,1301.464010172954,1411.8614798503322,34.24719620344945,34.026446764205915,34.37577448114043,100000,42
A,Material extraction (kt),kt,Pharmaceuticals and chemical products,1451.0202410072616,1449.9316508870957,1455.5947864936775,122.03507464138238,8.38386313098494,1231.5024408108707,1335.046720954303,1576.2064953390386,1709.9091620392524,41.47686964916831,41.20951942107259,41.632591140405786,100000,42
A,Material extraction (kt),kt,Services,412.4811120182333,412.1716588137856,413.78151676510646,34.69087602690003,8.38386313098494,350.07884926968046,379.5133523935254,448.0677730012143,486.07539211066495,11.790617961364907,11.714618387915333,11.834884865475207,100000,42
A,Material extraction (kt),kt,Transport,129.15992139083727,129.0630225259049,129.5671162174333,10.8627296864338,8.38386313098494,109.61994461038002,118.83674993524085,140.30314759247975,152.20444671478361,3.691987935127483,3.6681902419811117,3.7058491997733407,100000,42
A,Blue water consumption (Mm3),Mm3,Food and food services,20.07811070740653,20.0630476281124,20.141409776652157,1.6886282283253364,8.38386313098494,17.04059091958475,18.473357645426827,21.810342555374525,23.660418018152942,26.848877921153495,26.7921000589954,26.881621292339698,100000,42
A,Blue water consumption (Mm3),Mm3,Heat and electricity,0.2896993224979012,0.28948198313117324,0.29061264037638274,0.024364566010497406,8.38386313098494,0.24587211995730904,0.26654495894214797,0.31469302833400353,0.3413870542783464,0.3873921135775884,0.38657288768329096,0.38786455506310336,100000,42
A,Blue water consumption (Mm3),Mm3,Individual travel,0.2213066746152781,0.2219144568669592,0.22992327644591398,0.06108384019931895,26.56705364656197,0.13398717236979896,0.17142679624047807,0.28799137094380833,0.37123693507283306,0.2969090723421075,0.17531682836666085,0.507753204080162,100000,42
A,Blue water consumption (Mm3),Mm3,"Medical, electrical equipment and machinery",1.49600024650456,1.4948779113075126,1.5007165977875538,0.12581802554248228,8.38386313098494,1.2696776398826335,1.3764316769670388,1.6250671347853995,1.7629144346983134,2.000483440585863,1.9962529780178297,2.0029231169119766,100000,42
A,Blue water consumption (Mm3),Mm3,Operational impacts,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
A,Blue water consumption (Mm3),Mm3,Other,2.366040324224594,2.364265264133718,2.3734995992780874,0.1989909578179509,8.383863130984942,2.008093582703475,2.1769333653877627,2.5701696102378677,2.788185797696057,3.1639195912092912,3.1572287868130506,3.167778128384755,100000,42
A,Blue water consumption (Mm3),Mm3,Pharmaceuticals and chemical products,36.68438528919845,36.65686378518245,36.80003797577307,3.0852648160392957,8.383863130984942,31.134582927619,33.75236740775663,39.849317560322795,43.22955995860879,49.05514251791231,48.95140462137127,49.11496739196376,100000,42
A,Blue water consumption (Mm3),Mm3,Services,11.169149838272672,11.160770474690427,11.204362154776476,0.9393583877563347,8.38386313098494,9.479423442133982,10.276449939169794,12.132764261289347,13.161933307969683,14.93562541122124,14.904040743760145,14.953840054238125,100000,42
A,Blue water consumption (Mm3),Mm3,Transport,2.476515933146181,2.4746579916088627,2.4843234981020954,0.2082822818117769,8.38386313098494,2.101855873670938,2.2785791558929387,2.690176462959551,2.9183723040853504,3.311649931998109,3.304646719278865,3.3156886327319204,100000,42
A,Land use (km2),km2,Food and food services,1581.2739141597938,1580.087604615941,1586.2591026791388,132.98979207140889,8.383863130984942,1342.0506687946333,1454.8898039934677,1717.697757736778,1863.4025061142963,38.40189521949779,38.388120772314586,38.409840497125245,100000,42
A,Land use (km2),km2,Heat and electricity,14.755983397771924,14.744913105789644,14.802503711784256,1.2410216511549574,8.38386313098494,12.52362238469275,13.576604028608417,16.02905060823802,17.38872449445248,0.35835519907566343,0.3582266599831452,0.3584293420712011,100000,42
A,Land use (km2),km2,Individual travel,2.079285157472756,2.084792451385058,2.1592913991615847,0.5700734074528867,26.400948370110505,1.262471800104439,1.613308175639678,2.701777663755498,3.4767301150652004,0.050662665323151,0.02998334131412004,0.08651367893180832,100000,42
A,Land use (km2),km2,"Medical, electrical equipment and machinery",74.46336225871143,74.40749806179787,74.69811848615556,6.262588015300242,8.38386313098494,63.198162080034194,68.5118407071398,80.88766230820443,87.74900705315615,1.8083737482445916,1.8077250993031706,1.808747897265151,100000,42
A,Land use (km2),km2,Operational impacts,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
A,Land use (km2),km2,Other,207.5789663921212,207.4232356823884,208.2333882926212,17.45800226746578,8.38386313098494,176.17535341577337,190.98811345905824,225.48776776256426,244.61490367228433,5.041141604740561,5.039333388287163,5.042184607159585,100000,42
A,Land use (km2),km2,Pharmaceuticals and chemical products,1332.487512907068,1331.4878488770278,1336.6883672891151,112.0661232013167,8.38386313098494,1130.9019530671376,1225.9877805593158,1447.4473983521577,1570.2279969858048,32.36001390634179,32.348406632798316,32.36670913044583,100000,42
A,Land use (km2),km2,Services,727.0131706703802,726.4677479860811,729.3051819907367,61.143948265283996,8.38386313098494,617.026881417392,668.9062786059542,789.735972953907,856.7258032110859,17.655817473036183,17.64948447504563,17.65947042742193,100000,42
A,Land use (km2),km2,Transport,178.03854536537594,177.90497658665308,178.59983693188354,14.97356588053141,8.38386313098494,151.10395911753525,163.8087253893308,193.3987574362274,209.8039236896309,4.323740183740275,4.3221892933361845,4.324634757196937,100000,42
A,Waste generation (kt),kt,Food and food services,33.90525775966839,33.879821223653394,34.01214885564827,2.8515320079644115,8.38386313098494,28.775896095266376,31.19536303899788,36.83042179331405,39.95458453723203,15.334538818878297,14.537409254818847,16.01350613990691,100000,42
A,Waste generation (kt),kt,Heat and electricity,0.7331793700764082,0.7326293213617048,0.7354908212080534,0.06166254379104035,8.383863130984938,0.6222602264834669,0.6745796414337901,0.7964341590168321,0.8639921669469971,0.3315995292332318,0.31436211562059735,0.3462817604158651,100000,42
A,Waste generation (kt),kt,Individual travel,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
A,Waste generation (kt),kt,"Medical, electrical equipment and machinery",4.550893456083055,4.54747926687038,4.565240788070811,0.3827435392717551,8.383863130984942,3.862410902790745,4.1871610155751595,4.943520167640542,5.362857247683253,2.058260487430884,1.9512667066302047,2.1493940797505657,100000,42
A,Waste generation (kt),kt,Operational impacts,42.75704592555413,42.770460509603915,42.9636091441405,4.114685483292896,9.577141132367062,35.474431669664085,38.884985442178234,47.01179877722115,51.58701531263292,19.342844033999558,15.771587424664633,23.535614637201565,100000,42
A,Waste generation (kt),kt,Other,35.974516262783546,35.94752731950442,36.08793098736497,3.025562740784981,8.38386313098494,30.532106536194476,33.09923501908342,39.07820483656198,42.39303713293675,16.27041504985209,15.424636183663557,16.990820159448315,100000,42
A,Waste generation (kt),kt,Pharmaceuticals and chemical products,63.330923853772305,63.283411478644894,63.53058350267198,5.326317167180116,8.383863130984938,53.749896176905004,58.2691680215936,68.79477674608015,74.63033517906216,28.64306524831432,27.15412356024695,29.9112941469724,100000,42
A,Waste generation (kt),kt,Services,31.411078811393196,31.387513468132305,31.510106657276562,2.641764214573441,8.38386313098494,26.659049358181733,28.900532593313294,34.121058444888114,37.01539780854749,14.206481212749392,13.467991042963767,14.835501531142594,100000,42
A,Waste generation (kt),kt,Transport,8.430238417497447,8.423913850828715,8.456815930348268,0.7090078728397295,8.383863130984942,7.1548686188959385,7.756447386516255,9.157554233490307,9.934349294981361,3.8127956195422277,3.614596498854502,3.981614757698712,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Food and food services,433.74297726496013,433.41757290022554,435.11041303383314,36.47906149741982,8.383863130984938,368.12411025746627,399.0758524033876,471.16399809704774,511.1307684313873,12.259906857313585,10.43457617695277,13.850561670890585,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Heat and electricity,74.17316862665821,74.11752213995425,74.40700997784343,6.238181876400701,8.383863130984942,62.951870432211805,68.2448409465813,80.57243232393434,87.40703749533056,2.096532246836002,1.784387572569358,2.36854566007492,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Individual travel,707.7282098561154,709.5122494660822,733.6843473472056,189.05816388677948,25.768324562239897,434.2877111915039,552.0598691685186,914.1767750652184,1168.9633097553638,20.09606788767554,12.917624267039898,29.991608509716322,100000,42
B,Global warming (ktCO2eq),ktCO2eq,"Medical, electrical equipment and machinery",114.58196947514112,114.49600733871137,114.94320525702331,9.636681007115921,8.383863130984942,97.24742019008596,105.42394813326912,124.46748806900555,135.02551782050932,3.2387020584189234,2.7565040857440173,3.658905660201803,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Operational impacts,131.2330621077094,131.66961550152203,132.2245623432753,11.9674574279546,9.05085803716653,110.43864438296718,120.39174037564929,144.0010613884661,157.2735498817697,3.7093239581640427,2.8715997040882493,4.748286074627619,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Other,292.9539024596476,292.7341214291223,293.8774808594185,24.638285768040113,8.383863130984942,248.63433033414196,269.5394149691686,318.2283960224266,345.22231166339606,8.280451202436,7.047606466913353,9.354793749817341,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Pharmaceuticals and chemical products,1154.3021094761225,391.774487326657,424.0456588774778,171.5874515424635,40.4643811227039,181.88862637301722,264.61975781417124,585.136978527143,848.6453301263776,11.121128155049114,5.502181358562273,21.196137513326647,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Services,791.6334163197931,791.0395139802911,794.1291520574338,66.57870119174652,8.383863130984938,671.8710441616745,728.361718732429,859.9313072741945,932.8754991053731,22.37581346081118,19.04436410451494,25.27895096449523,100000,42
B,Global warming (ktCO2eq),ktCO2eq,Transport,566.531646076224,566.1066204733752,568.3177168085459,47.646979526367076,8.383863130984938,480.82382672701715,521.2513203026515,615.4089620008222,667.6113984036881,16.013228055960397,13.629079725769584,18.090855446165627,100000,42
B,Material extraction (kt),kt,Food and food services,140.02462546730888,139.91957564129277,140.46607280230532,11.77648328921494,8.38386313098494,118.84098041038693,128.83308709271796,152.1052001423348,165.0076154909186,6.206689478317466,5.578601836775812,6.54165431142316,100000,42
B,Material extraction (kt),kt,Heat and electricity,30.351828955493048,30.329058286830985,30.447517367156028,2.5526781828452307,8.38386313098494,25.760048264948143,27.92594381307054,32.97042218505361,35.76715813393406,1.3453660511288539,1.2092213651387311,1.4179732463746852,100000,42
B,Material extraction (kt),kt,Individual travel,31.934595047576096,32.01896632231865,33.16419583514174,8.758769507067713,26.410317773442493,19.38872726822101,24.775635656450493,41.49912669487898,53.40566538724087,1.412114440571202,0.8320013135829133,2.403705222476402,100000,42
B,Material extraction (kt),kt,"Medical, electrical equipment and machinery",105.20808655446024,105.12915692939501,105.53976985141279,8.848309853098955,8.38386313098494,89.29166645871119,96.79927750346643,114.28487673901589,123.97916034252614,4.663422035032932,4.191505765058487,4.915099259924433,100000,42
B,Material extraction (kt),kt,Operational impacts,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
B,Material extraction (kt),kt,Other,1198.098489815724,1197.1996476478892,1201.8756638922644,100.76361066534403,8.383863130984942,1016.8439921386997,1102.3398674979478,1301.464010172954,1411.8614798503322,53.10655369303889,47.732421448145566,55.972627137948784,100000,42
B,Material extraction (kt),kt,Pharmaceuticals and chemical products,1451.0202410072616,207.1054020717985,225.5694509954733,97.2061395197088,43.09366321136257,91.96492671257492,137.3207058761037,311.89917648772666,466.9506309554973,9.18408104256586,4.36518901523513,18.3558991707295,100000,42
B,Material extraction (kt),kt,Services,412.4811120182333,412.1716588137856,413.78151676510646,34.69087602690003,8.38386313098494,350.07884926968046,379.5133523935254,448.0677730012143,486.07539211066495,18.283513842113187,16.433308651680477,19.27024504303824,100000,42
B,Material extraction (kt),kt,Transport,129.15992139083727,129.0630225259049,129.5671162174333,10.8627296864338,8.38386313098494,109.61994461038002,118.83674993524085,140.30314759247975,152.20444671478361,5.725103869704553,5.1457504157150185,6.0340783187933456,100000,42
B,Blue water consumption (Mm3),Mm3,Food and food services,20.07811070740653,20.0630476281124,20.141409776652157,1.6886282283253364,8.38386313098494,17.04059091958475,18.473357645426827,21.810342555374525,23.660418018152942,33.99593107702377,27.133837941340396,45.51411543336458,100000,42
B,Blue water consumption (Mm3),Mm3,Heat and electricity,0.2896993224979012,0.28948198313117324,0.29061264037638274,0.024364566010497406,8.38386313098494,0.24587211995730904,0.26654495894214797,0.31469302833400353,0.3413870542783464,0.4905141895181465,0.3915036919023699,0.6567056331785779,100000,42
B,Blue water consumption (Mm3),Mm3,Individual travel,0.2213066746152781,0.2219144568669592,0.22992327644591398,0.06108384019931895,26.56705364656197,0.13398717236979896,0.17142679624047807,0.28799137094380833,0.37123693507283306,0.3796514946542222,0.20850243247192593,0.7082022691537282,100000,42
B,Blue water consumption (Mm3),Mm3,"Medical, electrical equipment and machinery",1.49600024650456,1.4948779113075126,1.5007165977875538,0.12581802554248228,8.38386313098494,1.2696776398826335,1.3764316769670388,1.6250671347853995,1.7629144346983134,2.53300332947257,2.021715530928222,3.391211897374055,100000,42
B,Blue water consumption (Mm3),Mm3,Operational impacts,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
B,Blue water consumption (Mm3),Mm3,Other,2.366040324224594,2.364265264133718,2.3734995992780874,0.1989909578179509,8.383863130984942,2.008093582703475,2.1769333653877627,2.5701696102378677,2.788185797696057,4.006141063766856,3.1974997874926676,5.36346442183073,100000,42
B,Blue water consumption (Mm3),Mm3,Pharmaceuticals and chemical products,36.68438528919845,20.88908606170225,21.016474303844124,9.311610835074019,44.30624614029971,5.96516364902069,10.20215324197214,31.57511765240079,37.59788640360671,35.48440342912126,13.623885877979596,48.50325642108177,100000,42
B,Blue water consumption (Mm3),Mm3,Services,11.169149838272672,11.160770474690427,11.204362154776476,0.9393583877563347,8.38386313098494,9.479423442133982,10.276449939169794,12.132764261289347,13.161933307969683,18.911423172440273,15.09414436799792,25.31881522319544,100000,42
B,Blue water consumption (Mm3),Mm3,Transport,2.476515933146181,2.4746579916088627,2.4843234981020954,0.2082822818117769,8.38386313098494,2.101855873670938,2.2785791558929387,2.690176462959551,2.9183723040853504,4.193196571195902,3.346798061251236,5.613896331999126,100000,42
B,Land use (km2),km2,Food and food services,1581.2739141597938,1580.087604615941,1586.2591026791388,132.98979207140889,8.383863130984942,1342.0506687946333,1454.8898039934677,1717.697757736778,1863.4025061142963,44.59562483521311,38.66637986581231,52.63947385418464,100000,42
B,Land use (km2),km2,Heat and electricity,14.755983397771924,14.744913105789644,14.802503711784256,1.2410216511549574,8.38386313098494,12.52362238469275,13.576604028608417,16.02905060823802,17.38872449445248,0.4161532633840509,0.36082329205755287,0.4912160981751985,100000,42
B,Land use (km2),km2,Individual travel,2.079285157472756,2.084792451385058,2.1592913991615847,0.5700734074528867,26.400948370110505,1.262471800104439,1.613308175639678,2.701777663755498,3.4767301150652004,0.05908983742365807,0.03382540153124092,0.10423272822459596,100000,42
B,Land use (km2),km2,"Medical, electrical equipment and machinery",74.46336225871143,74.40749806179787,74.69811848615556,6.262588015300242,8.38386313098494,63.198162080034194,68.5118407071398,80.88766230820443,87.74900705315615,2.1000410729108427,1.8208285265432962,2.4788318934577815,100000,42
B,Land use (km2),km2,Operational impacts,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
B,Land use (km2),km2,Other,207.5789663921212,207.4232356823884,208.2333882926212,17.45800226746578,8.38386313098494,176.17535341577337,190.98811345905824,225.48776776256426,244.61490367228433,5.854212623132464,5.075861363927714,6.910154829109851,100000,42
B,Land use (km2),km2,Pharmaceuticals and chemical products,1332.487512907068,757.5821936507137,763.8670662788567,337.96149215459144,44.24349563870522,217.7353862307458,372.35268659236203,1146.9776656229958,1364.0817000010484,21.44862098322816,7.279548093572958,31.89449468503001,100000,42
B,Land use (km2),km2,Services,727.0131706703802,726.4677479860811,729.3051819907367,61.143948265283996,8.38386313098494,617.026881417392,668.9062786059542,789.735972953907,856.7258032110859,20.503472750135245,17.77741805063941,24.201746734996135,100000,42
B,Land use (km2),km2,Transport,178.03854536537594,177.90497658665308,178.59983693188354,14.97356588053141,8.38386313098494,151.10395911753525,163.8087253893308,193.3987574362274,209.8039236896309,5.021103620456635,4.353518997695056,5.926775411821984,100000,42
B,Waste generation (kt),kt,Food and food services,33.90525775966839,33.879821223653394,34.01214885564827,2.8515320079644115,8.38386313098494,28.775896095266376,31.19536303899788,36.83042179331405,39.95458453723203,17.444166999135966,15.16200243408245,20.500176505514947,100000,42
B,Waste generation (kt),kt,Heat and electricity,0.7331793700764082,0.7326293213617048,0.7354908212080534,0.06166254379104035,8.383863130984938,0.6222602264834669,0.6745796414337901,0.7964341590168321,0.8639921669469971,0.3772188804046793,0.32786854099487206,0.44330311845166864,100000,42
B,Waste generation (kt),kt,Individual travel,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,42
B,Waste generation (kt),kt,"Medical, electrical equipment and machinery",4.550893456083055,4.54747926687038,4.565240788070811,0.3827435392717551,8.383863130984942,3.862410902790745,4.1871610155751595,4.943520167640542,5.362857247683253,2.3414228555908876,2.035101993545677,2.7516121472603143,100000,42
B,Waste generation (kt),kt,Operational impacts,42.75704592555413,42.770460509603915,42.9636091441405,4.114685483292896,9.577141132367062,35.474431669664085,38.884985442178234,47.01179877722115,51.58701531263292,22.113671093476803,17.20265267499136,28.134048846883058,100000,42
B,Waste generation (kt),kt,Other,35.974516262783546,35.94752731950442,36.08793098736497,3.025562740784981,8.38386313098494,30.532106536194476,33.09923501908342,39.07820483656198,42.39303713293675,18.508795121080553,16.087348664551122,21.751314746376774,100000,42
B,Waste generation (kt),kt,Pharmaceuticals and chemical products,63.330923853772305,36.090572668036856,36.34054541038316,16.073768381058787,44.23094975472277,10.364156820629747,17.710022316041194,54.56456600526694,64.9679148529669,18.63383426867165,6.190322198849534,28.329133505774752,100000,42
B,Waste generation (kt),kt,Services,31.411078811393196,31.387513468132305,31.510106657276562,2.641764214573441,8.38386313098494,26.659049358181733,28.900532593313294,34.121058444888114,37.01539780854749,16.160918412505335,14.046637154961338,18.99211810824762,100000,42
B,Waste generation (kt),kt,Transport,8.430238417497447,8.423913850828715,8.456815930348268,0.7090078728397295,8.383863130984942,7.1548686188959385,7.756447386516255,9.157554233490307,9.934349294981361,4.337335755998556,3.769895994067258,5.097185125896561,100000,42
