study,consuming_country_iso3,reference_year,figure,article_page,indicator,figure_group,published_share_pct,archive_share_pct,difference_pp,note,source
steenmeijer_2022,NLD,2016,1,e954,waste_generation,Services (scope 3),5.832,5.808863310069929,-0.023136689930070453,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,waste_generation,Medical and electrical equipment and machinery (scope 3),7.807,7.8647678524056195,0.0577678524056191,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,waste_generation,Operational impacts (scope 1),3.951,3.9555683876412284,0.004568387641228355,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,waste_generation,Heat and electricity (scope 2),1.599,1.6021885599096481,0.00318855990964817,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,waste_generation,Pharmaceuticals and chemical products (scope 3),54.302,54.39415788387678,0.09215788387678003,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,climate_change,Other,30.778,27.152072693839155,-3.6259273061608432,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,climate_change,Mining of minerals and metals,2.453,2.604209696931948,0.1512096969319483,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,climate_change,Operational (direct) impacts,10.174,9.880393837744066,-0.2936061622559336,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,climate_change,Agricultural sector,11.265,11.977549370750477,0.7125493707504766,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,climate_change,Fossil fuel industry,11.718,12.462714819712387,0.744714819712387,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,climate_change,Pharmaceutical and chemical industry,12.082,13.011978875570364,0.9299788755703631,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,climate_change,Electricity sector,21.529,22.911080705451596,1.382080705451596,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
