study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,COAL,Mining of coal and lignite; extraction of peat (10),Coal and Petroleum,MRIO supply-chain node,0.007112475878906114,climate_change,kt CO2eq per M.EUR,5.224984910765495,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Coal and Petroleum,MRIO supply-chain node,0.003693770336766957,climate_change,kt CO2eq per M.EUR,6.421266927991513,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Natural gas and gaseous fuels,MRIO supply-chain node,0.01114877333520811,climate_change,kt CO2eq per M.EUR,7.667539718521215,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,ORAN,Mining of uranium and thorium ores (12),Minerals and Metals,MRIO supply-chain node,3.233281132400365e-05,climate_change,kt CO2eq per M.EUR,216.4884703296213,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,IRON,Mining of iron ores,Minerals and Metals,MRIO supply-chain node,0.01944158225361279,climate_change,kt CO2eq per M.EUR,4.284693349764768,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,COPO,Mining of copper ores and concentrates,Minerals and Metals,MRIO supply-chain node,0.3010329706810912,climate_change,kt CO2eq per M.EUR,0.8094208303278573,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,NIKO,Mining of nickel ores and concentrates,Minerals and Metals,MRIO supply-chain node,0.02098194151633863,climate_change,kt CO2eq per M.EUR,1.201216390413214,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,ALUO,Mining of aluminium ores and concentrates,Minerals and Metals,MRIO supply-chain node,0.001139246241591319,climate_change,kt CO2eq per M.EUR,1.721131182472525,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PREO,Mining of precious metal ores and concentrates,Minerals and Metals,MRIO supply-chain node,5.288763066268963e-05,climate_change,kt CO2eq per M.EUR,6.372953135941092,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,LZTO,"Mining of lead, zinc and tin ores and concentrates",Minerals and Metals,MRIO supply-chain node,0.02006772997916187,climate_change,kt CO2eq per M.EUR,4.153568853959511,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,ONFO,Mining of other non-ferrous metal ores and concentrates,Minerals and Metals,MRIO supply-chain node,0.01866515723145341,climate_change,kt CO2eq per M.EUR,4.22491946569241,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,SDCL,Quarrying of sand and clay,Minerals and Metals,MRIO supply-chain node,0.04084743809897855,climate_change,kt CO2eq per M.EUR,1.516538296146371,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals,MRIO supply-chain node,0.0006481898690533292,climate_change,kt CO2eq per M.EUR,13.09529360803942,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PCAT,Processing of meat cattle,Food and catering,MRIO supply-chain node,0.01440250505593075,climate_change,kt CO2eq per M.EUR,2.226075990481074,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PPIG,Processing of meat pigs,Food and catering,MRIO supply-chain node,0.2579311948999464,climate_change,kt CO2eq per M.EUR,1.002285845377987,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PPLT,Processing of meat poultry,Food and catering,MRIO supply-chain node,0.90912644228412,climate_change,kt CO2eq per M.EUR,0.7550372548318769,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,POME,Production of meat products nec,Food and catering,MRIO supply-chain node,0.06356555454467348,climate_change,kt CO2eq per M.EUR,0.8794859722959818,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,VOIL,Processing vegetable oils and fats,Food and catering,MRIO supply-chain node,0.0578391392909181,climate_change,kt CO2eq per M.EUR,1.2785826384767,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,DAIR,Processing of dairy products,Food and catering,MRIO supply-chain node,0.03918259815463302,climate_change,kt CO2eq per M.EUR,5.479623874946729,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,RICE,Processed rice,Food and catering,MRIO supply-chain node,0.009269632406443249,climate_change,kt CO2eq per M.EUR,2.369464105041466,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,SUGR,Sugar refining,Food and catering,MRIO supply-chain node,0.07408028441957482,climate_change,kt CO2eq per M.EUR,1.311815343966551,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
