study,consuming_country_iso3,reference_year,purchased_sector_name,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Landfill of waste: Textiles,0.2440677582214563,climate_change,kt CO2eq per M.EUR,1.29146852262773,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Landfill of waste: Wood,0.6257470622594626,climate_change,kt CO2eq per M.EUR,1.049273084239169,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Lead, zinc and tin production",2.700742825934206,climate_change,kt CO2eq per M.EUR,0.41312140495956,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2.124016701172442,climate_change,kt CO2eq per M.EUR,1.309938500573142,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of beverages,58.89969045632905,climate_change,kt CO2eq per M.EUR,0.5134664087163087,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Manufacture of bricks, tiles and construction products, in baked clay",2.512558889984792,climate_change,kt CO2eq per M.EUR,0.7098218079062205,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Manufacture of cement, lime and plaster",2.622776552523429,climate_change,kt CO2eq per M.EUR,2.897828599019694,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of ceramic goods,7.770818965733888,climate_change,kt CO2eq per M.EUR,1.251135125474419,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of coke oven products,1.56086366800369,climate_change,kt CO2eq per M.EUR,3.57222603829283,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of electrical machinery and apparatus n.e.c. (31),66.30459168923733,climate_change,kt CO2eq per M.EUR,0.4248050072263816,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Manufacture of fabricated metal products, except machinery and equipment (28)",59.00619507230394,climate_change,kt CO2eq per M.EUR,0.5257471319523143,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of fish products,7.400666626497972,climate_change,kt CO2eq per M.EUR,0.8141906706686474,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of furniture; manufacturing n.e.c. (36),26.21720829050562,climate_change,kt CO2eq per M.EUR,0.5092319298651821,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of gas; distribution of gaseous fuels through mains,2.758703757366061,climate_change,kt CO2eq per M.EUR,1.685977283327671,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of glass and glass products,24.75489760084347,climate_change,kt CO2eq per M.EUR,1.014104395608227,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of machinery and equipment n.e.c. (29),146.7091918824482,climate_change,kt CO2eq per M.EUR,0.4210902976662343,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",4062.842639010757,climate_change,kt CO2eq per M.EUR,0.3173834133370722,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
