study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,ghg_protocol_scope,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SDCL,Quarrying of sand and clay,Minerals and Metals,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.02677954763924526,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.005829911438897102,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PCAT,Processing of meat cattle,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.8807524869110895,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PPIG,Processing of meat pigs,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.04199452077334168,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PPLT,Processing of meat poultry,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.001638562208250679,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,POME,Production of meat products nec,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.0004621163166468201,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,VOIL,Processing vegetable oils and fats,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.0003449813851270695,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,DAIR,Processing of dairy products,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.1303880199912077,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,RICE,Processed rice,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.0001468172395781087,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SUGR,Sugar refining,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.008148957290288689,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OFOD,Processing of Food products nec,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.3256324880995703,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,BEVR,Manufacture of beverages,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.2094196115080499,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FSHP,Manufacture of fish products,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.00277329149681975,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,TOBC,Manufacture of tobacco products (16),Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,3.811212718115754e-06,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,TEXT,Manufacture of textiles (17),Textile,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.08485068622314708,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),Textile,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.0008889535908272073,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Textile,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.000169886799488088,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,WOOD,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Furniture and timber,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.06276507495123512,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
