study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,"Steam, hot water supply and water distribution",material_extraction,kt,0.1689865266253183,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Textile,material_extraction,kt,0.3002745179160927,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport,material_extraction,kt,7.49359065150901,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport Equipment,material_extraction,kt,0.1059101916276047,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Waste management and disposal,material_extraction,kt,10.23990908987731,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Direct,Operational impact,blue_water_consumption,Mm3,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Chemical,blue_water_consumption,Mm3,14.96657553415669,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Coal and Petroleum,blue_water_consumption,Mm3,0.09127569011500604,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Construction,blue_water_consumption,Mm3,0.01355528552241468,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Electrical, electronic and measuring equipment",blue_water_consumption,Mm3,3.537540311118711,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Electricity,blue_water_consumption,Mm3,7.136609371393202,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Food and catering,blue_water_consumption,Mm3,350.5518675866737,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Furniture and timber,blue_water_consumption,Mm3,0.7309667499366159,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,General and special Machinery,blue_water_consumption,Mm3,0.8562653237588143,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Metal Products,blue_water_consumption,Mm3,4.841712397813517,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Minerals and Metals,blue_water_consumption,Mm3,2.401988437760809,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
