study,consuming_country_iso3,reference_year,purchased_sector_group,demand_component,indicator,unit,value,source
steenmeijer_2022,NLD,2016,General and special Machinery,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,medical_appliances,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
