study,consuming_country_iso3,reference_year,purchased_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Paper Products,material_extraction,kt,194.8514789333743,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,material_extraction,kt,42.17910000000001,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,material_extraction,kt,1397.277678143822,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",material_extraction,kt,12.03212580345218,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,material_extraction,kt,64.23957035966963,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,material_extraction,kt,174.6212025504454,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,material_extraction,kt,33.52070432124162,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,material_extraction,kt,55.65938171638341,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Chemical,blue_water_consumption,Mm3,249.5619178060792,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Coal and Petroleum,blue_water_consumption,Mm3,0.7652428565033009,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Construction,blue_water_consumption,Mm3,1.783496318227779,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",blue_water_consumption,Mm3,11.63480020223662,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,blue_water_consumption,Mm3,5.529894345076968,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,blue_water_consumption,Mm3,94.15065925727004,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,blue_water_consumption,Mm3,0.5364031119621342,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,blue_water_consumption,Mm3,2.352194275351259,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,blue_water_consumption,Mm3,0.4408540357793221,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,blue_water_consumption,Mm3,1.115258452245343,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,blue_water_consumption,Mm3,0.08138729107709806,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,blue_water_consumption,Mm3,0.3139166158301626,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Operational impact,blue_water_consumption,Mm3,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,blue_water_consumption,Mm3,2.759729622164953,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,blue_water_consumption,Mm3,0.2925,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,blue_water_consumption,Mm3,18.33092330013636,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",blue_water_consumption,Mm3,0.1310758211437773,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,blue_water_consumption,Mm3,1.668465482091064,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,blue_water_consumption,Mm3,2.418226786170543,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,blue_water_consumption,Mm3,0.2391661378606751,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,blue_water_consumption,Mm3,0.7377848177846011,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Chemical,land_use,km2,14363.97511744568,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Coal and Petroleum,land_use,km2,37.22959883984682,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Construction,land_use,km2,172.0518493358696,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",land_use,km2,619.4588550759647,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,land_use,km2,108.0357691811972,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,land_use,km2,5645.366416644622,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,land_use,km2,224.980135095886,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,land_use,km2,119.7110759546039,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,land_use,km2,16.4538257733025,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,land_use,km2,32.33203445105692,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,land_use,km2,3.742927292553365,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,land_use,km2,16.97876467656028,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Operational impact,land_use,km2,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,land_use,km2,849.287688923741,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,land_use,km2,2.7462,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,land_use,km2,1300.58893332711,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",land_use,km2,7.257631487581754,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,land_use,km2,109.3211185962835,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,land_use,km2,188.1702960895744,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,land_use,km2,16.83515563227435,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,land_use,km2,48.64621206605926,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Chemical,waste_generation,kt,2616.345072178751,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Coal and Petroleum,waste_generation,kt,9.536888203610737,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Construction,waste_generation,kt,132.5859941597646,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",waste_generation,kt,378.2933207349207,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,waste_generation,kt,72.09430138580915,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,waste_generation,kt,641.4225618334154,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,waste_generation,kt,4.488395689557827,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,waste_generation,kt,75.10163600550119,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,waste_generation,kt,39.8823476696433,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,waste_generation,kt,161.7245917812513,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
