study,consuming_country_iso3,reference_year,purchased_sector_group,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Metal Products,77.64249571374846,land_use,km2 per M.EUR,0.2119177857698482,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,177.9120207755214,land_use,km2 per M.EUR,0.1817304660478874,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,69.6171912465597,land_use,km2 per M.EUR,0.05376441113944438,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,46.56848770501325,land_use,km2 per M.EUR,0.3645977250563036,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,675.8007126873321,land_use,km2 per M.EUR,1.256713218822359,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,9757.417535069237,land_use,km2 per M.EUR,0.1332923315675126,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",49.81248630512268,land_use,km2 per M.EUR,0.1456990410622283,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,79.31772237361132,land_use,km2 per M.EUR,1.378268504500757,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,1102.691235121235,land_use,km2 per M.EUR,0.1706464058988244,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,66.18338095814354,land_use,km2 per M.EUR,0.2543713450197027,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,258.2922008962467,land_use,km2 per M.EUR,0.1883379052765125,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Chemical,5861.267663643347,waste_generation,kt per M.EUR,0.4463787054816805,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Coal and Petroleum,147.2752485701147,waste_generation,kt per M.EUR,0.06475553968642886,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Construction,554.8974547507368,waste_generation,kt per M.EUR,0.2389378308093394,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",4193.566990054689,waste_generation,kt per M.EUR,0.09020800708133847,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,828.4167148769216,waste_generation,kt per M.EUR,0.08702661364880868,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,1947.588512596705,waste_generation,kt per M.EUR,0.329341931154755,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,48.71268333600666,waste_generation,kt per M.EUR,0.09214018572120347,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,353.2508476265621,waste_generation,kt per M.EUR,0.2126014318439644,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,77.64249571374846,waste_generation,kt per M.EUR,0.5136664825494678,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,177.9120207755214,waste_generation,kt per M.EUR,0.9090144166554411,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,69.6171912465597,waste_generation,kt per M.EUR,0.01487349909755733,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,46.56848770501325,waste_generation,kt per M.EUR,0.138905155766695,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,675.8007126873321,waste_generation,kt per M.EUR,0.1086114138768501,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,9757.417535069237,waste_generation,kt per M.EUR,0.02863512168537408,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",49.81248630512268,waste_generation,kt per M.EUR,0.07899840643944135,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,79.31772237361132,waste_generation,kt per M.EUR,0.1397640085423052,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,1102.691235121235,waste_generation,kt per M.EUR,0.04128975710608656,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,66.18338095814354,waste_generation,kt per M.EUR,0.1407807698478239,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,258.2922008962467,waste_generation,kt per M.EUR,0.2247874087037031,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
