study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_country_name,producing_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Belgium,Natural gas and gaseous fuels,climate_change,kt CO2eq,1.318380415247971,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,Non-metallic mineral products,climate_change,kt CO2eq,12.25463722326674,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,Paper Products,climate_change,kt CO2eq,0.756853226765033,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,Services,climate_change,kt CO2eq,4.791725416614987,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,4.438244421696955,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,Textile,climate_change,kt CO2eq,0.7801229628630592,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,Transport,climate_change,kt CO2eq,8.676672906313529,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,Transport Equipment,climate_change,kt CO2eq,0.5340254350794029,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,Waste management and disposal,climate_change,kt CO2eq,6.361751444115919,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Chemical,climate_change,kt CO2eq,12.34437095650336,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Coal and Petroleum,climate_change,kt CO2eq,14.22671934656757,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Construction,climate_change,kt CO2eq,0.00214820905905589,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,"Electrical, electronic and measuring equipment",climate_change,kt CO2eq,0.03700698051539997,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Electricity,climate_change,kt CO2eq,22.37332325242819,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Food and catering,climate_change,kt CO2eq,192.8190361598299,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Furniture and timber,climate_change,kt CO2eq,0.1048805966429063,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,General and special Machinery,climate_change,kt CO2eq,0.01536050209829859,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Metal Products,climate_change,kt CO2eq,11.46991750182698,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Minerals and Metals,climate_change,kt CO2eq,7.661721645577504,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Natural gas and gaseous fuels,climate_change,kt CO2eq,4.567102820920484,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Non-metallic mineral products,climate_change,kt CO2eq,3.86217078963072,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Paper Products,climate_change,kt CO2eq,1.412642195995286,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Services,climate_change,kt CO2eq,2.156975246860821,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,6.348608376442484e-09,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Textile,climate_change,kt CO2eq,0.6675945579455159,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Transport,climate_change,kt CO2eq,5.808048040451816,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Transport Equipment,climate_change,kt CO2eq,0.01594872437358465,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,Waste management and disposal,climate_change,kt CO2eq,2.326645250062592,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Chemical,climate_change,kt CO2eq,2.413875273179116,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Coal and Petroleum,climate_change,kt CO2eq,0.6133664484659672,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Construction,climate_change,kt CO2eq,0.01064589826991521,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,"Electrical, electronic and measuring equipment",climate_change,kt CO2eq,0.02323374851668053,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Electricity,climate_change,kt CO2eq,1.654915360832602,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Food and catering,climate_change,kt CO2eq,3.398408611758071,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Furniture and timber,climate_change,kt CO2eq,0.008124036913438049,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,General and special Machinery,climate_change,kt CO2eq,0.01467416979045385,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Metal Products,climate_change,kt CO2eq,0.2186755375902641,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Minerals and Metals,climate_change,kt CO2eq,0.3768171416409601,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Natural gas and gaseous fuels,climate_change,kt CO2eq,0.02615308864944451,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,Non-metallic mineral products,climate_change,kt CO2eq,0.7597157904262362,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
