study,consuming_country_iso3,reference_year,purchased_country_name,purchased_sector_group,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Austria,Non-metallic mineral products,0.1066758906298514,climate_change,kt CO2eq per M.EUR,0.9604945607260248,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Paper Products,0.5949933352002152,climate_change,kt CO2eq per M.EUR,0.284727651832308,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Services,8.840272492391014,climate_change,kt CO2eq per M.EUR,0.1188860778925341,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,"Steam, hot water supply and water distribution",0.006203541156503452,climate_change,kt CO2eq per M.EUR,5.33415786571906,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Textile,0.2893663312159465,climate_change,kt CO2eq per M.EUR,0.2968884674746433,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Transport,3.910449256337332,climate_change,kt CO2eq per M.EUR,0.2660606342382513,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Transport Equipment,0.05247796038134538,climate_change,kt CO2eq per M.EUR,0.2879853942512015,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Austria,Waste management and disposal,0.03170200793937959,climate_change,kt CO2eq per M.EUR,1.29847927351703,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Chemical,50.52069265985205,climate_change,kt CO2eq per M.EUR,0.633192264227771,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Coal and Petroleum,0.4261902990417639,climate_change,kt CO2eq per M.EUR,1.008956233593208,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Construction,3.060163019966015,climate_change,kt CO2eq per M.EUR,0.4200197241382315,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,"Electrical, electronic and measuring equipment",30.32694256777797,climate_change,kt CO2eq per M.EUR,0.4051364615061955,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Electricity,0.1848039784022557,climate_change,kt CO2eq per M.EUR,1.056150354098314,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Food and catering,53.8868716701559,climate_change,kt CO2eq per M.EUR,0.6919689012269461,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Furniture and timber,3.967730774558056,climate_change,kt CO2eq per M.EUR,0.5841423399609825,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,General and special Machinery,3.066187166058165,climate_change,kt CO2eq per M.EUR,0.2864111331181194,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Metal Products,1.750332335339776,climate_change,kt CO2eq per M.EUR,0.4907657780515664,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Minerals and Metals,1.067086700024344,climate_change,kt CO2eq per M.EUR,0.6999690534167057,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Natural gas and gaseous fuels,0.002212530438329235,climate_change,kt CO2eq per M.EUR,1.126888053252586,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Non-metallic mineral products,5.671438123279327,climate_change,kt CO2eq per M.EUR,1.308895943230732,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Paper Products,6.991868218927501,climate_change,kt CO2eq per M.EUR,0.2761208124911781,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Services,51.99332488475256,climate_change,kt CO2eq per M.EUR,0.1208891568894487,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,"Steam, hot water supply and water distribution",0.1856274403499217,climate_change,kt CO2eq per M.EUR,5.266819647224772,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Textile,7.944279439318853,climate_change,kt CO2eq per M.EUR,0.7786053691753269,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Transport,9.065290018580129,climate_change,kt CO2eq per M.EUR,0.4995185140871001,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Transport Equipment,0.7428038462643896,climate_change,kt CO2eq per M.EUR,0.69362564899549,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Belgium,Waste management and disposal,3.559329370900275,climate_change,kt CO2eq per M.EUR,1.053505070380943,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Chemical,68.96512305536348,climate_change,kt CO2eq per M.EUR,0.6949240168870866,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Coal and Petroleum,0.03967113986030551,climate_change,kt CO2eq per M.EUR,1.435490889015626,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Construction,0.04859417774519074,climate_change,kt CO2eq per M.EUR,0.8248664385858661,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,"Electrical, electronic and measuring equipment",2.322544863497543,climate_change,kt CO2eq per M.EUR,0.4589939905201539,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Electricity,0.0002956393588941179,climate_change,kt CO2eq per M.EUR,46.66376798133128,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Food and catering,9.914047819179004,climate_change,kt CO2eq per M.EUR,1.393436514483547,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
