study,consuming_country_iso3,reference_year,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,component_type,ghg_protocol_scope,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PAPE,Paper,Paper Products,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.172139078247775,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,MDIA,"Publishing, printing and reproduction of recorded media (22)",Paper Products,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.2397428691009238,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,COKE,Manufacture of coke oven products,Coal and Petroleum,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.1421655157035453,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,REFN,Petroleum Refinery,Coal and Petroleum,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.3923204054266496,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,NUCF,Processing of nuclear fuel,Chemical,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.01688808681846092,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PLAS,"Plastics, basic",Chemical,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.2479378628794291,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PLAW,Re-processing of secondary plastic into new plastic,Chemical,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.1222225539182798,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,NFER,N-fertiliser,Chemical,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.004548154199005932,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PFER,P- and other fertiliser,Chemical,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.02370769892372205,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,CHEM,Chemicals nec,Chemical,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.3019978077659823,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
