indicator,unit,layer,origin,value,share_of_total_pct
blue_water_consumption,Mm3,19,domestic,3.347002820542227e-07,0.011806490896681853
blue_water_consumption,Mm3,19,imported,0.002834548966534547,99.98819350910331
blue_water_consumption,Mm3,20,domestic,1.9560618811271418e-07,0.0113226726739156
blue_water_consumption,Mm3,20,imported,0.0017273663727370432,99.98867732732609
climate_change,kt CO2eq,0,domestic,177.59862522099658,50.26291498313914
climate_change,kt CO2eq,0,imported,175.74066136947005,49.73708501686087
climate_change,kt CO2eq,1,domestic,328.6679666314424,29.176814898916852
climate_change,kt CO2eq,1,imported,797.8016900809622,70.82318510108314
climate_change,kt CO2eq,2,domestic,237.58770481170671,22.023360491988022
climate_change,kt CO2eq,2,imported,841.2108958747772,77.97663950801197
climate_change,kt CO2eq,3,domestic,69.99150797517454,10.322747164338864
climate_change,kt CO2eq,3,imported,608.0402878336814,89.67725283566115
climate_change,kt CO2eq,4,domestic,21.81544630926783,5.833529059343162
climate_change,kt CO2eq,4,imported,352.1510855678218,94.16647094065684
climate_change,kt CO2eq,5,domestic,6.38669777902175,3.176452678392768
climate_change,kt CO2eq,5,imported,194.67714373406235,96.82354732160722
climate_change,kt CO2eq,6,domestic,1.9125659213769945,1.7438029050925299
climate_change,kt CO2eq,6,imported,107.76530626197676,98.25619709490748
climate_change,kt CO2eq,7,domestic,0.587157534952617,0.9696418552722249
climate_change,kt CO2eq,7,imported,59.966904953178506,99.03035814472778
climate_change,kt CO2eq,8,domestic,0.18758314481409816,0.5537049470692637
climate_change,kt CO2eq,8,imported,33.69023315554002,99.44629505293074
climate_change,kt CO2eq,9,domestic,0.06312828430928627,0.32872032514467014
climate_change,kt CO2eq,9,imported,19.141125143434632,99.67127967485533
climate_change,kt CO2eq,10,domestic,0.022716606157096034,0.20609793080889832
climate_change,kt CO2eq,10,imported,10.99952222367362,99.79390206919109
climate_change,kt CO2eq,11,domestic,0.008843647838811116,0.13822713942286916
climate_change,kt CO2eq,11,imported,6.3890662530210545,99.86177286057713
climate_change,kt CO2eq,12,domestic,0.0037407920974625772,0.09971682278711085
climate_change,kt CO2eq,12,imported,3.7476744585157,99.9002831772129
climate_change,kt CO2eq,13,domestic,0.0017105874290916617,0.07707041245160866
climate_change,kt CO2eq,13,imported,2.217801900798104,99.9229295875484
climate_change,kt CO2eq,14,domestic,0.0008357956633294526,0.06313251975818782
climate_change,kt CO2eq,14,imported,1.3230392318672424,99.93686748024182
climate_change,kt CO2eq,15,domestic,0.00043034665326757514,0.054089608920210475
climate_change,kt CO2eq,15,imported,0.7951876322128673,99.94591039107978
climate_change,kt CO2eq,16,domestic,0.00023063514296844367,0.047881724151289586
climate_change,kt CO2eq,16,imported,0.48144613622749616,99.95211827584872
climate_change,kt CO2eq,17,domestic,0.00012741799036582397,0.0433589926058697
climate_change,kt CO2eq,17,imported,0.29374008839762816,99.95664100739414
climate_change,kt CO2eq,18,domestic,7.20666924355652e-05,0.03984483856800231
climate_change,kt CO2eq,18,imported,0.18079625910733033,99.960155161432
climate_change,kt CO2eq,19,domestic,4.1527180479869945e-05,0.036902381988553896
climate_change,kt CO2eq,19,imported,0.11249099305832351,99.96309761801145
climate_change,kt CO2eq,20,domestic,2.4298742277403395e-05,0.03421647997536482
climate_change,kt CO2eq,20,imported,0.07099043537092771,99.96578352002464
