scope,consuming_country_iso3,model,analysis_year,indicator,unit,sector_code,sector_name,sector_group,national,healthcare,healthcare_vs_sector_ratio_pct,sector_share_of_national_pct
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Food and catering,298.3602306671084,3.4895936321260352,1.1695907408046968,0.4971353009273021
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FORE,"Forestry, logging and related service activities (02)",Food and catering,42.846574234657794,0.6296957682578047,1.4696525440030526,0.07139203682818036
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FSHP,Manufacture of fish products,Food and catering,716.8877225364998,17.887489245438438,2.495159099970178,1.1944963069555636
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FURN,Manufacture of furniture; manufacturing n.e.c. (36),Furniture and timber,854.1694386190611,16.810176336325124,1.9680142576281114,1.423238546106957
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,416.9790065145769,0.5399437724555038,0.1294894380819693,0.6947808808851551
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),Textile,1159.312818221838,0.2773994362160687,0.023927919354980128,1.9316760999512392
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_GASD,Manufacture of gas; distribution of gaseous fuels through mains,Natural gas and gaseous fuels,106.68399608349691,1.0009623175660205,0.9382497415850556,0.1777595505222377
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Natural gas and gaseous fuels,520.912835239522,11.314706604532338,2.172092111980635,0.8679580335645667
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_GLAS,Manufacture of glass and glass products,Non-metallic mineral products,86.18604610641229,2.8970847741360175,3.3614313511482377,0.1436053520639975
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_GLAW,Re-processing of secondary glass into new glass,Non-metallic mineral products,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_HEAL,Health and social work (85),Services,1073.0761694165512,29.954252574903073,2.791437684352797,1.7879864324009707
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_HORE,Hotels and restaurants (55),Food and catering,2350.5619207670898,63.898098674186976,2.7184180135673377,3.9165652379877534
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",47.3065078795166,218.69219655260278,462.2877619916117,0.07882329014801871
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_INCF,Incineration of waste: Food,Waste management and disposal,3.170914772967243,3.383782667850635,106.71313832519682,0.0052834577394891375
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_INCL,Incineration of waste: Plastic,Waste management and disposal,2.8037005869972402,0.5675265054198257,20.242051096748742,0.004671596250983134
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_INCM,Incineration of waste: Metals and Inert materials,Waste management and disposal,8.186877457110862,1.648656324306787,20.13779164209691,0.013641180592988578
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_INCO,Incineration of waste: Oil/Hazardous waste,Waste management and disposal,4.650052821915734,1.25555013595,27.00077147581169,0.00774803466193249
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_INCP,Incineration of waste: Paper,Waste management and disposal,3.2883640007169124,3.3349896366756218,101.4178976521013,0.005479154589067448
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_INCT,Incineration of waste: Textiles,Waste management and disposal,2.094014328183884,0.43971808572669163,20.998809788854423,0.003489099203537181
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_INCW,Incineration of waste: Wood,Waste management and disposal,2.2453645969680642,0.665296820142603,29.629790237227365,0.003741282818120189
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_IRON,Mining of iron ores,Minerals and Metals,0.047794517973841634,0.00325762284211845,6.815892240824305,7.963642480928166e-05
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LANF,Landfill of waste: Food,Waste management and disposal,13.755071885658424,3.343064487856787,24.30423130934268,0.022919045832160624
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LANI,Landfill of waste: Inert/metal/hazardous,Waste management and disposal,4.38845904596006,1.3004937993332972,29.634406649653243,0.007312160550159422
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LANL,Landfill of waste: Plastic,Waste management and disposal,0.5315754666801923,0.11498185040988404,21.6303907191149,0.0008857243775511042
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LANP,Landfill of waste: Paper,Waste management and disposal,5.84496874651033,1.0726705240289744,18.352031816584134,0.009739033550852597
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LANT,Landfill of waste: Textiles,Waste management and disposal,0.480882258002996,0.12691109840755024,26.39130396171937,0.0008012580815760664
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LANW,Landfill of waste: Wood,Waste management and disposal,0.8078152209930103,0.16449645523167383,20.363128962767732,0.001346001985868177
