producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
America,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.03585737842860739,0.0032020944938736576
Middle East,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.0253943366179745,0.002267735931166578
Denmark,Transport,Scope 3,climate_change,kt CO2eq,1432.7765118754567,21.46235102825167
Europe,Transport,Scope 3,climate_change,kt CO2eq,617.344327106944,9.247541779091346
Asia and Pacific,Transport,Scope 3,climate_change,kt CO2eq,549.5794411724365,8.232454110315928
Denmark,Private travel,Scope 3,climate_change,kt CO2eq,316.8201,4.745823331585197
Asia and Pacific,Electricity,Scope 3,climate_change,kt CO2eq,253.59787661970952,3.798782715182154
Denmark,Waste management and disposal,Scope 3,climate_change,kt CO2eq,237.1295249644713,3.552094176424104
Asia and Pacific,Chemical,Scope 3,climate_change,kt CO2eq,213.63482323151322,3.200154057558831
Asia and Pacific,Food and catering,Scope 3,climate_change,kt CO2eq,187.77131715451765,2.8127303095807163
Asia and Pacific,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,185.45969211855774,2.7781032009170454
Middle East,Transport,Scope 3,climate_change,kt CO2eq,184.8351006877737,2.7687471007677082
Europe,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,145.3845841296741,2.1777960155161185
Denmark,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,129.27151957096527,1.9364295184849678
Denmark,Services,Scope 3,climate_change,kt CO2eq,123.21085121797121,1.8456434185038137
Europe,Chemical,Scope 3,climate_change,kt CO2eq,116.6737150985413,1.7477200445848646
Denmark,Food and catering,Scope 3,climate_change,kt CO2eq,107.58177551637792,1.6115268579834023
Europe,Food and catering,Scope 3,climate_change,kt CO2eq,89.112614285259,1.3348670870741297
Middle East,Electricity,Scope 3,climate_change,kt CO2eq,85.00280665900411,1.2733040078345004
America,Food and catering,Scope 3,climate_change,kt CO2eq,84.56498918054216,1.2667456979158416
Middle East,Services,Scope 3,climate_change,kt CO2eq,82.85329831434824,1.2411053346647585
Europe,Electricity,Scope 3,climate_change,kt CO2eq,82.56951299692945,1.2368543575942779
Europe,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,80.76947737711582,1.209890629465299
America,Transport,Scope 3,climate_change,kt CO2eq,78.86350127568414,1.1813399603265093
America,Chemical,Scope 3,climate_change,kt CO2eq,69.22562518467883,1.0369688891109514
Europe,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,64.08421798588459,0.9599529098810422
Middle East,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,62.05276325685651,0.929522627048354
America,Electricity,Scope 3,climate_change,kt CO2eq,61.912280807000855,0.9274182628107213
Asia and Pacific,Metal Products,Scope 3,climate_change,kt CO2eq,53.63581035331688,0.8034404388586774
Denmark,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,52.90893017801893,0.792552099087319
